row,id,time,position_x,position_z,looking_at
1,ASDFME,12-42-31-14,0,0,none
2,ASDFME,12-42-32-96,0.004,0.002,none
3,ASDFME,12-42-33-48,0.006,0.003,none
4,ASDFME,12-42-33-99,0.006,0.003,none
5,ASDFME,12-42-34-49,0.006,0.003,none
6,ASDFME,12-42-35-01,0.006,0.003,none
7,ASDFME,12-42-35-52,0.053,-0.621,none
8,ASDFME,12-42-36-03,0.166,-2.142,none
9,ASDFME,12-42-36-55,0.181,-2.342,none
10,ASDFME,12-42-37-05,1.18,-2.315,none
11,ASDFME,12-42-37-56,2.279,-2.287,PA-0083
12,ASDFME,12-42-38-06,2.251,-1.212,PA-0083
13,ASDFME,12-42-38-57,2.612,-0.677,PA-0083
14,ASDFME,12-42-39-07,2.612,-0.677,PA-0083
15,ASDFME,12-42-39-59,2.612,-0.677,PA-0083
16,ASDFME,12-42-40-09,2.612,-0.677,PA-0083
17,ASDFME,12-42-40-61,2.612,-0.677,PA-0083
18,ASDFME,12-42-41-11,2.612,-0.677,PA-0083
19,ASDFME,12-42-41-63,2.612,-0.677,PA-0083
20,ASDFME,12-42-42-15,2.612,-0.677,PA-0083
21,ASDFME,12-42-42-68,2.612,-0.677,PA-0083
22,ASDFME,12-42-43-20,2.612,-0.677,PA-0083
23,ASDFME,12-42-43-71,2.618,-1.077,PA-0083
24,ASDFME,12-42-44-23,2.621,-1.227,PA-0083
25,ASDFME,12-42-44-75,2.562,-0.58,PA-0083
26,ASDFME,12-42-45-26,2.562,-0.58,PA-0083
27,ASDFME,12-42-45-76,2.562,-0.58,PA-0083
28,ASDFME,12-42-46-27,2.562,-0.58,PA-0083
29,ASDFME,12-42-46-79,2.562,-0.58,PA-0083
30,ASDFME,12-42-47-29,2.562,-0.58,PA-0083
31,ASDFME,12-42-47-80,2.562,-0.58,PA-0083
32,ASDFME,12-42-48-32,2.562,-0.58,none
33,ASDFME,12-42-48-82,2.562,-0.58,PA-0083
34,ASDFME,12-42-49-34,2.835,-0.556,PA-0083
35,ASDFME,12-42-49-85,2.91,-0.549,PA-0083
36,ASDFME,12-42-50-36,2.535,-0.548,PA-0083
37,ASDFME,12-42-50-88,2.535,-0.548,PA-0083
38,ASDFME,12-42-51-39,2.535,-0.548,PA-0083
39,ASDFME,12-42-51-89,3.135,-0.553,none
40,ASDFME,12-42-52-39,3.146,0.772,none
41,ASDFME,12-42-52-91,3.15,1.122,none
42,ASDFME,12-42-53-42,3.15,1.122,none
43,ASDFME,12-42-53-92,3.15,1.122,none
44,ASDFME,12-42-54-43,3.15,1.122,none
45,ASDFME,12-42-54-94,3.15,1.122,none
46,ASDFME,12-42-55-45,3.15,1.122,none
47,ASDFME,12-42-55-96,3.15,1.097,none
48,ASDFME,12-42-56-48,3.146,0.697,none
49,ASDFME,12-42-56-99,3.146,0.697,none
50,ASDFME,12-42-57-50,3.146,0.697,none
51,ASDFME,12-42-58-00,3.175,1.071,none
52,ASDFME,12-42-58-50,3.195,1.32,none
53,ASDFME,12-42-59-01,3.195,1.32,none
54,ASDFME,12-42-59-53,3.195,1.32,none
55,ASDFME,12-43-00-04,3.195,1.32,none
56,ASDFME,12-43-00-55,3.195,1.32,none
57,ASDFME,12-43-01-05,3.195,1.32,none
58,ASDFME,12-43-01-56,3.195,1.32,none
59,ASDFME,12-43-02-07,3.073,1.291,PA-0083
60,ASDFME,12-43-02-59,2.77,0.398,PA-0083
61,ASDFME,12-43-03-10,2.868,-0.117,PA-0083
62,ASDFME,12-43-03-61,2.868,-0.117,PA-0083
63,ASDFME,12-43-04-13,2.494,-0.142,PA-0083
64,ASDFME,12-43-04-65,2.494,-0.142,PA-0083
65,ASDFME,12-43-05-15,3.093,-0.103,PA-0083
66,ASDFME,12-43-05-66,3.334,0.414,none
67,ASDFME,12-43-06-19,3.334,0.414,none
68,ASDFME,12-43-06-70,3.334,0.414,none
69,ASDFME,12-43-07-21,3.306,1.139,none
70,ASDFME,12-43-07-72,3.306,1.139,none
71,ASDFME,12-43-08-23,3.306,1.139,none
72,ASDFME,12-43-08-74,3.306,1.139,none
73,ASDFME,12-43-09-25,3.306,1.139,none
74,ASDFME,12-43-09-76,3.306,1.139,none
75,ASDFME,12-43-10-26,3.306,1.139,none
76,ASDFME,12-43-10-79,3.306,1.139,none
77,ASDFME,12-43-11-30,3.306,1.139,none
78,ASDFME,12-43-11-81,3.306,1.139,none
79,ASDFME,12-43-12-33,3.306,1.139,none
80,ASDFME,12-43-12-84,3.306,1.139,none
81,ASDFME,12-43-13-35,3.306,1.139,none
82,ASDFME,12-43-13-87,2.732,1.151,PA-0083
83,ASDFME,12-43-14-38,2.719,0.576,PA-0083
84,ASDFME,12-43-14-89,2.719,0.576,PA-0083
85,ASDFME,12-43-15-40,2.719,0.576,PA-0083
86,ASDFME,12-43-15-91,2.719,0.576,PA-0083
87,ASDFME,12-43-16-42,2.719,0.576,PA-0083
88,ASDFME,12-43-16-92,2.719,0.576,PA-0083
89,ASDFME,12-43-17-43,2.719,0.576,PA-0083
90,ASDFME,12-43-17-93,2.807,0.756,none
91,ASDFME,12-43-18-45,3.059,1.273,none
92,ASDFME,12-43-18-95,3.059,1.273,none
93,ASDFME,12-43-19-46,3.059,1.273,none
94,ASDFME,12-43-19-96,3.059,1.273,none
95,ASDFME,12-43-20-47,3.059,1.273,none
96,ASDFME,12-43-20-97,3.059,1.273,none
97,ASDFME,12-43-21-48,2.887,0.542,none
98,ASDFME,12-43-21-98,2.783,0.104,PA-0083
99,ASDFME,12-43-22-50,2.783,0.104,PA-0083
100,ASDFME,12-43-23-02,2.783,0.104,PA-0083
101,ASDFME,12-43-23-53,3.957,0.166,none
102,ASDFME,12-43-24-03,4.83,0.211,PA-0063
103,ASDFME,12-43-24-53,4.83,0.211,PA-0063
104,ASDFME,12-43-25-05,4.83,0.211,PA-0063
105,ASDFME,12-43-25-57,4.83,0.211,none
106,ASDFME,12-43-26-08,5.211,1.109,none
107,ASDFME,12-43-26-59,5.211,1.109,none
108,ASDFME,12-43-27-11,5.296,1.525,none
109,ASDFME,12-43-27-63,5.191,1.011,none
110,ASDFME,12-43-28-14,5.191,1.011,none
111,ASDFME,12-43-28-64,5.191,1.011,none
112,ASDFME,12-43-29-17,5.191,1.011,none
113,ASDFME,12-43-29-69,5.191,1.011,none
114,ASDFME,12-43-30-22,5.191,1.011,none
115,ASDFME,12-43-30-74,5.191,1.011,none
116,ASDFME,12-43-31-27,5.191,1.011,none
117,ASDFME,12-43-31-78,5.191,1.011,none
118,ASDFME,12-43-32-28,5.191,1.011,none
119,ASDFME,12-43-32-79,5.191,1.011,none
120,ASDFME,12-43-33-29,5.191,1.011,none
