row,id,time,position_x,position_z,looking_at
1,CHIEN,12-47-20-99,0,0,none
2,CHIEN,12-47-21-56,0.009,0.004,none
3,CHIEN,12-47-22-07,0.01,0.004,none
4,CHIEN,12-47-22-60,0.01,0.004,none
5,CHIEN,12-47-23-14,0.01,0.004,none
6,CHIEN,12-47-23-69,0.01,0.004,none
7,CHIEN,12-47-24-24,0.608,-0.744,none
8,CHIEN,12-47-24-78,2.058,-0.744,PA-0083
9,CHIEN,12-47-25-31,2.508,-0.744,PA-0083
10,CHIEN,12-47-25-84,2.508,-2.195,PA-0083
11,CHIEN,12-47-26-38,2.508,-3.796,PA-0083
12,CHIEN,12-47-26-89,2.498,-2.65,PA-0083
13,CHIEN,12-47-27-44,2.498,-0.999,PA-0083
14,CHIEN,12-47-27-96,2.498,-0.249,PA-0083
15,CHIEN,12-47-28-49,2.148,-0.248,PA-0083
16,CHIEN,12-47-29-03,2.298,-0.248,PA-0083
17,CHIEN,12-47-29-54,2.498,-0.249,PA-0083
18,CHIEN,12-47-30-08,2.498,-0.249,PA-0083
19,CHIEN,12-47-30-63,2.498,-0.249,PA-0083
20,CHIEN,12-47-31-18,2.498,-0.549,PA-0083
21,CHIEN,12-47-31-70,2.498,-1.55,PA-0083
22,CHIEN,12-47-32-21,2.498,-2.05,PA-0083
23,CHIEN,12-47-32-75,2.498,-2.05,PA-0083
24,CHIEN,12-47-33-26,3.449,-2.05,none
25,CHIEN,12-47-33-78,3.449,-1.249,none
26,CHIEN,12-47-34-32,4.199,-1.249,PA-0063
27,CHIEN,12-47-34-83,4.399,-0.349,PA-0063
28,CHIEN,12-47-35-37,4.399,-0.349,PA-0063
29,CHIEN,12-47-35-90,4.9,-0.349,PA-0063
30,CHIEN,12-47-36-44,4.9,-0.349,PA-0063
31,CHIEN,12-47-36-95,4.749,-0.349,PA-0063
32,CHIEN,12-47-37-48,3.449,-0.349,none
33,CHIEN,12-47-38-03,3.299,-0.349,none
34,CHIEN,12-47-38-57,2.748,-0.349,PA-0083
35,CHIEN,12-47-39-12,2.748,0.452,PA-0083
36,CHIEN,12-47-39-64,2.748,-0.099,PA-0083
37,CHIEN,12-47-40-19,2.748,-0.249,PA-0083
38,CHIEN,12-47-40-69,2.748,0.652,PA-0083
39,CHIEN,12-47-41-22,2.748,0.652,PA-0083
40,CHIEN,12-47-41-74,2.748,0.301,PA-0083
41,CHIEN,12-47-42-25,2.748,0.301,PA-0083
42,CHIEN,12-47-42-77,2.748,0.301,PA-0083
43,CHIEN,12-47-43-29,2.748,0.301,PA-0083
44,CHIEN,12-47-43-81,2.748,-0.199,PA-0083
45,CHIEN,12-47-44-37,2.748,-0.199,PA-0083
46,CHIEN,12-47-44-87,2.748,-0.199,PA-0083
47,CHIEN,12-47-45-37,3.398,-0.199,none
48,CHIEN,12-47-45-87,4.899,-0.199,PA-0063
49,CHIEN,12-47-46-41,4.899,-0.199,PA-0063
50,CHIEN,12-47-46-94,4.899,-0.199,PA-0063
51,CHIEN,12-47-47-48,4.899,-0.199,PA-0063
52,CHIEN,12-47-48-01,4.899,-0.199,PA-0063
53,CHIEN,12-47-48-54,4.899,-0.199,PA-0063
54,CHIEN,12-47-49-08,4.899,-0.199,PA-0063
55,CHIEN,12-47-49-61,4.899,-0.199,PA-0063
56,CHIEN,12-47-50-14,4.899,-0.199,PA-0063
57,CHIEN,12-47-50-68,5.049,-0.199,PA-0063
58,CHIEN,12-47-51-21,5.199,-0.199,PA-0063
59,CHIEN,12-47-51-74,5.85,-0.2,none
60,CHIEN,12-47-52-26,6,-0.2,none
61,CHIEN,12-47-52-80,4.399,-0.199,PA-0063
62,CHIEN,12-47-53-35,3.398,-0.549,none
63,CHIEN,12-47-53-88,3.399,-2.151,none
64,CHIEN,12-47-54-40,3.399,-3.552,none
65,CHIEN,12-47-54-93,2.348,-3.552,PA-0083
66,CHIEN,12-47-55-45,2.348,-3.551,PA-0083
67,CHIEN,12-47-55-98,2.348,-2.601,PA-0083
