row,id,time,position_x,position_z,looking_at
1,DABIN,12-42-57-48,0,0,none
2,DABIN,12-42-58-00,0.01,0.004,none
3,DABIN,12-42-58-51,0.01,0.004,none
4,DABIN,12-42-59-02,0.01,0.004,none
5,DABIN,12-42-59-52,0.884,0.004,none
6,DABIN,12-43-00-04,1.995,-0.399,none
7,DABIN,12-43-00-54,2.517,-0.655,none
8,DABIN,12-43-01-05,2.713,-0.696,PA-0083
9,DABIN,12-43-01-57,2.713,-0.696,PA-0083
10,DABIN,12-43-02-07,2.824,-1.545,PA-0083
11,DABIN,12-43-02-59,2.824,-1.545,PA-0083
12,DABIN,12-43-03-10,3.661,-1.029,none
13,DABIN,12-43-03-61,5.12,-0.745,none
14,DABIN,12-43-04-12,5.536,-1.796,none
15,DABIN,12-43-04-62,5.536,-1.796,none
16,DABIN,12-43-05-14,5.606,-2.487,none
17,DABIN,12-43-05-64,5.121,-3.647,PA-0027
18,DABIN,12-43-06-15,6.228,-2.944,none
19,DABIN,12-43-06-66,7.653,-2.544,none
20,DABIN,12-43-07-18,8.987,-2.694,PA-0025
21,DABIN,12-43-07-68,8.987,-2.694,PA-0025
22,DABIN,12-43-08-19,8.987,-2.694,none
23,DABIN,12-43-08-69,8.05,-2.554,none
24,DABIN,12-43-09-21,8.05,-2.554,none
25,DABIN,12-43-09-71,8.05,-2.554,none
26,DABIN,12-43-10-23,8.05,-2.554,none
27,DABIN,12-43-10-74,8.05,-2.554,none
28,DABIN,12-43-11-24,7.966,-2.393,none
29,DABIN,12-43-11-76,6.826,-2.821,none
30,DABIN,12-43-12-27,5.854,-2.1,none
31,DABIN,12-43-12-78,4.442,-2.674,PA-0083
32,DABIN,12-43-13-29,3.062,-2.954,PA-0083
33,DABIN,12-43-13-80,2.972,-1.427,PA-0083
34,DABIN,12-43-14-31,3.309,-1.262,none
35,DABIN,12-43-14-82,4.542,-1.137,PA-0063
36,DABIN,12-43-15-32,4.75,-0.615,PA-0063
37,DABIN,12-43-15-83,4.786,-0.612,PA-0063
