row,id,time,position_x,position_z,looking_at
1,JTH,12-42-38-29,0,0,none
2,JTH,12-42-38-84,0.01,0.004,none
3,JTH,12-42-39-42,0.01,0.004,none
4,JTH,12-42-39-94,0.01,0.004,none
5,JTH,12-42-40-46,0.01,0.004,none
6,JTH,12-42-40-96,0.01,0.004,none
7,JTH,12-42-41-52,0.01,0.004,none
8,JTH,12-42-42-04,0.01,0.004,PA-0083
9,JTH,12-42-42-62,0.01,0.004,none
10,JTH,12-42-43-14,0.01,0.004,none
11,JTH,12-42-43-64,0.01,0.004,none
12,JTH,12-42-44-19,0.01,0.004,none
13,JTH,12-42-44-72,0.01,0.004,none
14,JTH,12-42-45-23,0.01,0.004,none
15,JTH,12-42-45-76,0.567,0.428,none
16,JTH,12-42-46-36,1.444,-0.726,PA-0067
17,JTH,12-42-46-89,1.625,-0.965,PA-0067
18,JTH,12-42-47-41,2.188,-0.644,PA-0067
19,JTH,12-42-47-96,3.079,-0.593,none
20,JTH,12-42-48-53,3.053,-0.942,none
21,JTH,12-42-49-08,3.601,-0.988,PA-0067
22,JTH,12-42-49-66,3.601,-0.988,PA-0067
23,JTH,12-42-50-19,3.601,-0.988,PA-0067
24,JTH,12-42-50-73,3.601,-0.988,PA-0067
25,JTH,12-42-51-33,3.601,-0.988,none
26,JTH,12-42-51-87,4.827,-1.232,none
27,JTH,12-42-52-44,5.855,-2.611,PA-0027
28,JTH,12-42-52-96,6.799,-2.281,PA-0025
29,JTH,12-42-53-53,7.272,-2.116,PA-0025
30,JTH,12-42-54-08,7.63,-3.156,PA-0025
31,JTH,12-42-54-68,7.63,-3.156,none
32,JTH,12-42-55-25,8.035,-3.9,none
33,JTH,12-42-55-80,8.353,-4.633,PA-0027
34,JTH,12-42-56-35,8.353,-4.633,PA-0027
35,JTH,12-42-56-90,8.353,-4.633,PA-0027
36,JTH,12-42-57-45,8.353,-4.633,PA-0027
37,JTH,12-42-57-98,8.353,-4.633,PA-0027
38,JTH,12-42-58-52,8.353,-4.633,PA-0027
39,JTH,12-42-59-15,8.353,-4.633,PA-0027
40,JTH,12-42-59-67,8.353,-4.633,PA-0027
41,JTH,12-43-00-32,8.353,-4.633,PA-0025
42,JTH,12-43-00-85,8.353,-4.633,PA-0025
43,JTH,12-43-01-38,8.353,-4.633,PA-0025
44,JTH,12-43-01-89,8.353,-4.633,PA-0025
45,JTH,12-43-02-42,8.353,-4.633,none
46,JTH,12-43-02-95,8.353,-4.633,PA-0087
47,JTH,12-43-03-48,8.651,-4.663,PA-0087
48,JTH,12-43-04-02,9.845,-4.783,PA-0087
49,JTH,12-43-04-62,9.845,-4.783,PA-0087
50,JTH,12-43-05-22,9.845,-4.783,PA-0087
51,JTH,12-43-05-79,9.845,-4.783,PA-0087
52,JTH,12-43-06-30,9.845,-4.783,PA-0087
53,JTH,12-43-06-88,9.845,-4.783,PA-0087
54,JTH,12-43-07-47,9.845,-4.783,PA-0087
55,JTH,12-43-08-07,9.845,-4.783,PA-0087
56,JTH,12-43-08-66,9.845,-4.783,PA-0070
57,JTH,12-43-09-17,9.647,-4.558,PA-0070
58,JTH,12-43-09-71,9.406,-3.516,none
59,JTH,12-43-10-27,9.406,-3.517,PA-0070
60,JTH,12-43-10-84,9.406,-3.517,PA-0070
61,JTH,12-43-11-34,9.406,-3.517,PA-0070
62,JTH,12-43-11-90,9.477,-3.013,none
63,JTH,12-43-12-43,9.477,-3.013,PA-0070
64,JTH,12-43-13-00,9.477,-3.013,PA-0070
65,JTH,12-43-13-57,9.477,-3.013,PA-0070
66,JTH,12-43-14-11,9.477,-3.013,none
67,JTH,12-43-14-67,9.243,-2.407,none
68,JTH,12-43-15-20,9.14,-2.021,none
69,JTH,12-43-15-74,9.434,-1.617,none
70,JTH,12-43-16-32,9.757,-1.172,none
71,JTH,12-43-16-90,9.702,-0.827,none
72,JTH,12-43-17-48,9.702,-0.827,none
73,JTH,12-43-18-02,9.702,-0.827,none
74,JTH,12-43-18-59,8.049,-0.43,none
