row,id,time,position_x,position_z,looking_at
1,KLB,12-41-54-13,0,0,none
2,KLB,12-42-07-21,0.01,0.004,none
3,KLB,12-42-07-87,0.01,0.004,none
4,KLB,12-42-08-41,0.01,0.004,none
5,KLB,12-42-09-03,0.01,0.004,none
6,KLB,12-42-09-56,0.01,0.004,none
7,KLB,12-42-10-09,0.01,0.004,none
8,KLB,12-42-10-69,0.01,0.004,none
9,KLB,12-42-11-27,0.01,0.004,none
10,KLB,12-42-11-84,0.01,0.004,none
11,KLB,12-42-12-42,0.01,0.004,none
12,KLB,12-42-13-01,0.01,0.004,none
13,KLB,12-42-13-59,0.01,0.004,none
14,KLB,12-42-14-17,0.01,0.004,none
15,KLB,12-42-14-76,0.01,0.004,none
16,KLB,12-42-15-37,0.01,0.004,none
17,KLB,12-42-15-92,0.01,0.004,none
18,KLB,12-42-16-52,0.01,0.004,none
19,KLB,12-42-17-10,0.01,0.004,none
20,KLB,12-42-17-69,0.01,0.004,none
21,KLB,12-42-18-31,0.01,0.004,none
22,KLB,12-42-18-87,0.01,0.004,none
23,KLB,12-42-19-45,0.01,0.004,none
24,KLB,12-42-20-06,0.01,0.004,none
25,KLB,12-42-20-62,0.01,0.004,none
26,KLB,12-42-21-21,0.01,0.004,none
27,KLB,12-42-21-81,0.01,0.004,none
28,KLB,12-42-22-39,0.01,0.004,none
29,KLB,12-42-23-01,0.01,0.004,none
30,KLB,12-42-23-55,0.01,0.004,none
31,KLB,12-42-24-21,0.01,0.004,none
32,KLB,12-42-24-77,0.01,0.004,none
33,KLB,12-42-25-74,0.01,0.004,none
34,KLB,12-42-26-67,0.01,0.004,none
35,KLB,12-42-27-23,0.31,0.004,none
36,KLB,12-42-28-19,0.31,0.004,none
37,KLB,12-42-29-15,0.61,0.004,none
38,KLB,12-42-29-68,0.91,0.004,none
39,KLB,12-42-30-65,1.509,0.004,none
40,KLB,12-42-31-19,1.809,0.004,PA-0083
41,KLB,12-42-31-70,2.109,0.004,PA-0083
42,KLB,12-42-32-61,2.109,0.004,PA-0083
43,KLB,12-42-33-12,2.109,0.004,PA-0083
44,KLB,12-42-34-12,2.409,0.004,PA-0083
45,KLB,12-42-34-62,2.709,0.004,PA-0083
46,KLB,12-42-35-66,3.308,0.004,none
47,KLB,12-42-36-17,3.608,0.004,none
48,KLB,12-42-36-67,3.908,0.004,none
49,KLB,12-42-37-19,4.208,0.004,PA-0063
50,KLB,12-42-37-71,4.208,0.004,PA-0063
51,KLB,12-42-38-65,4.208,0.004,PA-0063
52,KLB,12-42-39-67,4.808,0.004,PA-0063
53,KLB,12-42-40-61,5.408,0.004,none
54,KLB,12-42-41-49,6.008,0.004,none
55,KLB,12-42-42-02,6.308,0.004,none
56,KLB,12-42-42-99,6.908,0.003,PA-0024
57,KLB,12-42-43-97,7.507,0.003,PA-0024
58,KLB,12-42-44-92,8.107,0.003,PA-0024
59,KLB,12-42-45-89,8.707,0.003,PA-0024
60,KLB,12-42-46-84,9.307,0.003,PA-0024
61,KLB,12-42-47-79,9.907,0.003,PA-0024
62,KLB,12-42-48-29,10.207,0.002,PA-0024
63,KLB,12-42-49-24,10.807,0.002,PA-0024
64,KLB,12-42-50-21,11.407,0.002,none
65,KLB,12-42-51-11,12.007,0.002,none
66,KLB,12-42-51-84,12.007,0.002,none
67,KLB,12-42-52-57,11.286,-0.062,none
68,KLB,12-42-53-41,11.286,-0.063,none
69,KLB,12-42-54-39,10.985,-0.063,PA-0024
70,KLB,12-42-55-31,10.985,-0.063,PA-0024
71,KLB,12-42-56-17,10.685,-0.063,PA-0024
72,KLB,12-42-56-71,10.385,-0.063,PA-0024
73,KLB,12-42-57-21,10.086,-0.063,PA-0024
74,KLB,12-42-58-12,9.786,-0.063,PA-0024
75,KLB,12-42-59-09,9.786,-0.063,PA-0024
76,KLB,12-43-00-01,9.786,-0.063,PA-0024
77,KLB,12-43-00-76,9.786,-0.063,PA-0024
78,KLB,12-43-01-54,9.786,-0.063,PA-0024
79,KLB,12-43-02-06,9.786,-0.063,PA-0024
80,KLB,12-43-03-01,9.786,-0.063,none
81,KLB,12-43-03-82,9.786,-0.063,none
82,KLB,12-43-04-67,9.786,-0.063,none
