row,id,time,position_x,position_z,looking_at
1,LEE,19-03-13-67,0,0,none
2,LEE,19-03-14-96,0.009,0.004,none
3,LEE,19-03-15-48,0.01,0.004,none
4,LEE,19-03-16-00,0.01,0.004,none
5,LEE,19-03-16-51,0.01,0.004,none
6,LEE,19-03-17-03,0.01,0.004,none
7,LEE,19-03-17-55,0.01,0.004,none
8,LEE,19-03-18-08,0.01,0.004,none
9,LEE,19-03-18-60,0.01,0.004,none
10,LEE,19-03-19-11,0.01,0.004,none
11,LEE,19-03-19-61,0.01,0.004,none
12,LEE,19-03-20-13,0.01,0.004,PA-0083
13,LEE,19-03-20-67,0.099,-0.117,PA-0083
14,LEE,19-03-21-21,0.631,-0.843,none
15,LEE,19-03-21-73,1.052,-1.402,PA-0024
16,LEE,19-03-22-26,2.333,-0.891,PA-0085
17,LEE,19-03-22-81,3.704,-1.565,none
18,LEE,19-03-23-35,3.732,-1.747,PA-0070
19,LEE,19-03-23-88,3.732,-1.747,PA-0070
20,LEE,19-03-24-40,3.732,-1.747,PA-0070
21,LEE,19-03-24-91,3.732,-1.747,none
22,LEE,19-03-25-42,3.924,-1.906,none
23,LEE,19-03-25-93,4.657,-2.429,none
24,LEE,19-03-26-45,5.321,-1.823,none
25,LEE,19-03-27-00,5.321,-1.823,none
26,LEE,19-03-27-51,5.321,-1.823,none
27,LEE,19-03-28-06,5.321,-1.823,none
28,LEE,19-03-28-58,5.321,-1.823,none
29,LEE,19-03-29-10,5.321,-1.823,none
30,LEE,19-03-29-61,5.321,-1.823,none
31,LEE,19-03-30-13,5.321,-1.823,none
32,LEE,19-03-30-65,5.321,-1.823,none
33,LEE,19-03-31-15,5.321,-1.823,none
34,LEE,19-03-31-70,4.677,-1.737,none
35,LEE,19-03-32-25,4.677,-1.737,none
36,LEE,19-03-32-80,4.677,-1.737,PA-0064
37,LEE,19-03-33-30,4.677,-1.737,none
38,LEE,19-03-33-83,4.677,-1.737,none
39,LEE,19-03-34-33,4.677,-1.737,none
40,LEE,19-03-34-87,4.677,-1.737,none
41,LEE,19-03-35-40,4.677,-1.737,none
42,LEE,19-03-35-93,4.505,-1.376,PA-0083
43,LEE,19-03-36-45,4.179,-0.701,PA-0083
44,LEE,19-03-36-96,3.894,-0.116,PA-0083
45,LEE,19-03-37-47,2.892,-0.156,PA-0063
46,LEE,19-03-37-98,2.892,-0.156,none
47,LEE,19-03-38-50,2.892,-0.156,PA-0083
48,LEE,19-03-39-01,2.749,-0.202,PA-0083
49,LEE,19-03-39-53,2.405,-0.253,PA-0063
50,LEE,19-03-40-06,2.405,-0.254,PA-0083
51,LEE,19-03-40-60,2.405,-0.254,PA-0083
52,LEE,19-03-41-11,2.405,-0.254,PA-0083
53,LEE,19-03-41-63,2.405,-0.254,PA-0083
54,LEE,19-03-42-15,2.405,-0.254,PA-0083
55,LEE,19-03-42-66,2.405,-0.254,PA-0083
56,LEE,19-03-43-18,2.405,-0.254,PA-0083
57,LEE,19-03-43-69,2.405,-0.254,PA-0083
58,LEE,19-03-44-20,2.456,0.093,none
59,LEE,19-03-44-70,2.634,1.128,PA-0083
60,LEE,19-03-45-25,2.719,-0.216,PA-0083
61,LEE,19-03-45-80,2.719,-0.216,PA-0083
62,LEE,19-03-46-33,2.719,-0.216,PA-0083
63,LEE,19-03-46-86,2.719,-0.216,PA-0083
64,LEE,19-03-47-38,3.267,-0.171,none
65,LEE,19-03-47-93,3.417,-0.16,none
66,LEE,19-03-48-46,3.417,-0.16,none
67,LEE,19-03-49-01,3.417,-0.16,PA-0063
68,LEE,19-03-49-55,3.718,-0.338,PA-0063
69,LEE,19-03-50-07,3.718,-0.338,PA-0063
70,LEE,19-03-50-61,3.196,-0.437,PA-0063
71,LEE,19-03-51-16,3.196,-0.437,PA-0063
72,LEE,19-03-51-70,3.196,-0.437,PA-0063
73,LEE,19-03-52-21,3.51,-0.684,none
74,LEE,19-03-52-75,4.005,0.24,PA-0063
75,LEE,19-03-53-26,4.662,1.167,PA-0063
76,LEE,19-03-53-78,4.662,1.167,none
77,LEE,19-03-54-29,4.662,1.167,none
78,LEE,19-03-54-81,4.382,0.882,none
79,LEE,19-03-55-33,4.382,0.882,none
80,LEE,19-03-55-85,4.382,0.882,none
81,LEE,19-03-56-38,4.382,0.882,none
82,LEE,19-03-56-90,4.382,0.882,PA-0063
83,LEE,19-03-57-41,4.382,0.882,none
84,LEE,19-03-57-96,4.382,0.882,PA-0083
85,LEE,19-03-58-48,4.382,0.882,PA-0083
86,LEE,19-03-59-03,4.382,0.882,none
87,LEE,19-03-59-55,4.382,0.882,PA-0083
88,LEE,19-04-00-07,4.382,0.882,none
89,LEE,19-04-00-61,4.382,0.882,none
90,LEE,19-04-01-12,4.382,0.882,none
91,LEE,19-04-01-63,4.382,0.882,none
