row,id,time,position_x,position_z,looking_at
1,SSO,12-43-41-92,0,0,none
2,SSO,12-43-42-44,0.008,0.003,none
3,SSO,12-43-42-95,0.01,0.004,none
4,SSO,12-43-43-47,0.01,0.004,none
5,SSO,12-43-43-98,0.01,0.004,none
6,SSO,12-43-44-50,0.01,0.004,none
7,SSO,12-43-45-02,0.609,0.004,none
8,SSO,12-43-45-52,0.659,-0.795,none
9,SSO,12-43-46-03,0.659,-2.343,none
10,SSO,12-43-46-55,0.659,-3.342,none
11,SSO,12-43-47-05,0.659,-3.342,none
12,SSO,12-43-47-55,0.659,-3.342,none
13,SSO,12-43-48-07,0.659,-3.342,none
14,SSO,12-43-48-58,0.659,-3.342,PA-0084
15,SSO,12-43-49-10,0.659,-3.342,PA-0084
16,SSO,12-43-49-60,0.659,-3.342,none
17,SSO,12-43-50-12,0.659,-3.342,none
18,SSO,12-43-50-63,0.858,-3.325,none
19,SSO,12-43-51-15,1.903,-3.234,none
20,SSO,12-43-51-65,2.201,-3.208,PA-0083
21,SSO,12-43-52-17,2.17,-2.86,PA-0083
22,SSO,12-43-52-68,2.131,-2.412,PA-0083
23,SSO,12-43-53-20,2.131,-2.412,PA-0083
24,SSO,12-43-53-72,2.131,-2.412,none
25,SSO,12-43-54-23,2.131,-2.412,none
26,SSO,12-43-54-75,2.131,-2.412,none
27,SSO,12-43-55-27,2.131,-2.412,none
28,SSO,12-43-55-78,2.131,-2.412,none
29,SSO,12-43-56-30,2.777,-2.353,PA-0083
30,SSO,12-43-56-82,2.777,-2.353,PA-0083
31,SSO,12-43-57-33,2.777,-2.353,PA-0083
32,SSO,12-43-57-83,2.777,-2.353,none
33,SSO,12-43-58-35,2.678,-1.159,PA-0083
34,SSO,12-43-58-85,2.599,-0.213,PA-0083
35,SSO,12-43-59-37,2.525,0.633,PA-0083
36,SSO,12-43-59-88,2.477,1.181,PA-0083
37,SSO,12-44-00-40,2.533,0.545,PA-0083
38,SSO,12-44-00-92,2.533,0.545,PA-0083
39,SSO,12-44-01-43,2.533,0.545,PA-0083
40,SSO,12-44-01-95,2.621,-0.149,PA-0083
41,SSO,12-44-02-45,2.621,-0.149,PA-0083
42,SSO,12-44-02-97,2.621,-0.149,PA-0083
43,SSO,12-44-03-48,2.59,0.199,PA-0083
44,SSO,12-44-03-98,2.525,0.896,PA-0083
45,SSO,12-44-04-50,2.525,0.896,PA-0083
46,SSO,12-44-05-02,2.525,0.896,PA-0083
47,SSO,12-44-05-53,2.525,0.896,PA-0083
48,SSO,12-44-06-05,2.508,1.345,PA-0083
49,SSO,12-44-06-57,2.486,1.794,none
50,SSO,12-44-07-08,2.505,1.395,PA-0083
51,SSO,12-44-07-58,2.505,1.395,PA-0083
52,SSO,12-44-08-10,2.505,1.395,PA-0083
53,SSO,12-44-08-60,2.702,0.569,PA-0083
54,SSO,12-44-09-12,2.818,0.083,PA-0083
55,SSO,12-44-09-63,3.644,0.278,none
56,SSO,12-44-10-15,3.644,0.278,none
