row,id,time,position_x,position_z,looking_at
1,YJ,12-42-10-93,0,0,none
2,YJ,12-42-11-47,0.01,0.004,none
3,YJ,12-42-11-98,0.01,0.004,none
4,YJ,12-42-12-48,0.01,0.004,none
5,YJ,12-42-13-00,0.01,0.004,none
6,YJ,12-42-13-50,0.01,0.004,none
7,YJ,12-42-14-01,0.01,0.004,PA-0083
8,YJ,12-42-14-52,0.01,0.004,PA-0024
9,YJ,12-42-15-04,0.01,0.004,PA-0083
10,YJ,12-42-15-55,0.069,-0.055,PA-0083
11,YJ,12-42-16-06,0.864,-0.85,none
12,YJ,12-42-16-57,1.541,-1.528,none
13,YJ,12-42-17-07,1.541,-1.528,none
14,YJ,12-42-17-58,1.541,-1.528,none
15,YJ,12-42-18-09,1.541,-1.528,none
16,YJ,12-42-18-59,2.516,-1.831,none
17,YJ,12-42-19-10,2.516,-1.831,none
18,YJ,12-42-19-62,1.999,-1.67,none
19,YJ,12-42-20-14,2.314,-0.655,none
20,YJ,12-42-20-64,2.468,-0.158,none
21,YJ,12-42-21-16,2.468,-0.158,none
22,YJ,12-42-21-66,2.468,-0.158,PA-0083
23,YJ,12-42-22-19,2.468,-0.158,PA-0083
24,YJ,12-42-22-71,2.468,-0.158,PA-0083
25,YJ,12-42-23-23,2.468,-0.158,PA-0083
26,YJ,12-42-23-76,3.009,-0.161,PA-0083
27,YJ,12-42-24-28,3.009,-0.161,PA-0083
28,YJ,12-42-24-79,3.01,-0.077,PA-0083
29,YJ,12-42-25-29,3.014,0.86,PA-0083
30,YJ,12-42-25-82,3.014,0.86,none
31,YJ,12-42-26-33,3.014,0.86,PA-0083
32,YJ,12-42-26-85,3.014,0.86,PA-0083
33,YJ,12-42-27-36,3.014,0.86,PA-0083
34,YJ,12-42-27-88,3.014,0.86,PA-0083
35,YJ,12-42-28-39,3.075,0.301,none
36,YJ,12-42-28-91,3.233,0.004,PA-0083
37,YJ,12-42-29-41,3.234,0.759,none
38,YJ,12-42-29-93,3.185,1.214,none
39,YJ,12-42-30-43,3.185,1.214,none
40,YJ,12-42-30-94,3.185,1.214,none
41,YJ,12-42-31-46,3.185,1.214,none
42,YJ,12-42-31-98,3.185,1.214,none
43,YJ,12-42-32-49,3.185,1.214,none
44,YJ,12-42-33-02,3.185,1.214,none
45,YJ,12-42-33-53,3.185,1.214,none
46,YJ,12-42-34-03,3.185,1.214,none
47,YJ,12-42-34-54,3.185,1.214,none
48,YJ,12-42-35-05,3.185,1.214,PA-0083
49,YJ,12-42-35-55,3.185,1.214,none
50,YJ,12-42-36-08,3.364,1.011,PA-0063
51,YJ,12-42-36-59,4.302,-0.049,PA-0024
52,YJ,12-42-37-09,4.647,-0.44,PA-0024
53,YJ,12-42-37-59,4.122,0.153,PA-0024
54,YJ,12-42-38-12,4.122,0.153,PA-0063
55,YJ,12-42-38-63,4.122,0.153,PA-0063
56,YJ,12-42-39-15,4.411,0.034,PA-0063
57,YJ,12-42-39-65,4.95,-0.19,PA-0085
58,YJ,12-42-40-16,4.315,0.074,PA-0063
59,YJ,12-42-40-66,4.315,0.074,PA-0063
60,YJ,12-42-41-19,4.315,0.074,PA-0063
61,YJ,12-42-41-71,4.315,0.511,PA-0063
62,YJ,12-42-42-22,4.315,0.802,PA-0063
63,YJ,12-42-42-72,4.315,0.802,none
64,YJ,12-42-43-23,4.314,0.802,PA-0063
65,YJ,12-42-43-73,4.314,0.802,PA-0063
66,YJ,12-42-44-23,4.314,0.802,PA-0063
67,YJ,12-42-44-74,4.977,0.45,PA-0085
68,YJ,12-42-45-25,5.345,0.254,PA-0024
69,YJ,12-42-45-77,5.345,0.254,none
70,YJ,12-42-46-29,5.345,0.254,none
71,YJ,12-42-46-82,5.345,0.254,none
72,YJ,12-42-47-33,5.332,0.649,none
73,YJ,12-42-47-84,5.332,0.649,none
74,YJ,12-42-48-35,5.332,0.649,none
75,YJ,12-42-48-85,5.332,0.649,none
76,YJ,12-42-49-35,5.332,0.649,none
77,YJ,12-42-49-86,5.34,1.274,none
78,YJ,12-42-50-38,5.34,1.274,none
79,YJ,12-42-50-89,5.34,1.274,none
80,YJ,12-42-51-41,5.334,0.879,none
81,YJ,12-42-51-91,5.334,0.879,none
82,YJ,12-42-52-43,5.334,0.879,none
83,YJ,12-42-52-94,5.334,0.879,none
84,YJ,12-42-53-44,5.334,0.879,none
85,YJ,12-42-53-96,5.333,0.879,PA-0025
86,YJ,12-42-54-46,5.333,0.879,none
87,YJ,12-42-54-98,5.333,0.879,none
88,YJ,12-42-55-50,5.89,0.023,none
89,YJ,12-42-56-01,4.775,-0.899,none
90,YJ,12-42-56-51,3.657,-1.658,none
91,YJ,12-42-57-03,3.612,-1.775,none
92,YJ,12-42-57-55,2.85,-2.563,PA-0064
93,YJ,12-42-58-07,2.655,-2.347,PA-0064
94,YJ,12-42-58-57,2.655,-2.347,none
95,YJ,12-42-59-08,1.417,-2.178,PA-0064
96,YJ,12-42-59-59,1.417,-2.178,PA-0064
97,YJ,12-43-00-09,1.417,-2.178,PA-0064
98,YJ,12-43-00-62,1.463,-2.843,PA-0064
99,YJ,12-43-01-14,1.463,-2.843,PA-0064
100,YJ,12-43-01-64,1.463,-2.843,PA-0025
101,YJ,12-43-02-16,1.463,-2.843,PA-0064
102,YJ,12-43-02-68,0.872,-2.642,none
103,YJ,12-43-03-22,0.024,-2.354,none
104,YJ,12-43-03-73,0.024,-2.354,none
105,YJ,12-43-04-25,0.024,-2.354,none
106,YJ,12-43-04-75,0.024,-2.354,none
107,YJ,12-43-05-25,-0.002,-2.624,none
108,YJ,12-43-05-76,-0.074,-3.37,none
109,YJ,12-43-06-26,-0.074,-3.37,none
110,YJ,12-43-06-77,-0.074,-3.37,none
111,YJ,12-43-07-30,-0.074,-3.37,none
112,YJ,12-43-07-80,0.536,-2.97,PA-0064
113,YJ,12-43-08-32,0.657,-2.891,PA-0064
114,YJ,12-43-08-85,0.657,-2.891,PA-0064
115,YJ,12-43-09-36,0.657,-2.891,none
116,YJ,12-43-09-88,0.657,-2.891,PA-0064
117,YJ,12-43-10-40,0.657,-2.891,PA-0064
118,YJ,12-43-10-91,0.657,-2.891,PA-0064
119,YJ,12-43-11-41,0.657,-2.891,PA-0064
120,YJ,12-43-11-94,0.657,-2.891,PA-0064
121,YJ,12-43-12-46,0.657,-2.891,PA-0064
122,YJ,12-43-12-97,0.657,-2.891,PA-0064
123,YJ,12-43-13-49,0.657,-2.891,PA-0064
124,YJ,12-43-14-00,0.657,-2.891,PA-0064
125,YJ,12-43-14-52,0.657,-2.891,PA-0064
126,YJ,12-43-15-04,0.657,-2.891,PA-0064
127,YJ,12-43-15-55,0.657,-2.891,PA-0064
128,YJ,12-43-16-07,0.657,-2.891,PA-0064
129,YJ,12-43-16-60,0.657,-2.891,PA-0064
130,YJ,12-43-17-12,0.657,-2.891,PA-0064
131,YJ,12-43-17-64,0.657,-2.891,PA-0064
132,YJ,12-43-18-15,0.657,-2.891,PA-0064
133,YJ,12-43-18-67,0.657,-2.891,PA-0064
134,YJ,12-43-19-19,0.657,-2.891,PA-0064
135,YJ,12-43-19-71,0.657,-2.891,none
136,YJ,12-43-20-21,0.657,-2.891,none
137,YJ,12-43-20-73,0.657,-2.891,none
138,YJ,12-43-21-24,0.657,-2.891,none
139,YJ,12-43-21-75,0.657,-2.891,none
