row,id,time,position_x,position_z,looking_at
1,auin,12-50-48-95,0,0,none
2,auin,12-50-50-18,0.009,0.004,none
3,auin,12-50-50-69,0.01,0.004,none
4,auin,12-50-51-21,0.01,0.004,none
5,auin,12-50-51-72,0.01,0.004,none
6,auin,12-50-52-43,0.01,0.004,none
7,auin,12-50-52-94,0.01,0.004,none
8,auin,12-50-53-46,0.01,0.004,none
9,auin,12-50-53-96,0.01,0.004,none
10,auin,12-50-54-48,0.06,0.001,none
11,auin,12-50-54-99,1.008,-0.057,none
12,auin,12-50-55-51,1.008,-0.057,none
13,auin,12-50-56-01,1.63,-1.018,none
14,auin,12-50-56-51,2.229,-1,none
15,auin,12-50-57-02,2.229,-1,none
16,auin,12-50-57-53,2.229,-1,none
17,auin,12-50-58-04,2.229,-1,none
18,auin,12-50-58-56,2.229,-1,none
19,auin,12-50-59-06,2.229,-1,none
20,auin,12-50-59-57,2.229,-1,none
21,auin,12-51-00-09,2.229,-1,none
22,auin,12-51-00-59,2.229,-1,none
23,auin,12-51-01-10,2.229,-1,none
24,auin,12-51-01-61,2.229,-1,none
25,auin,12-51-02-13,3.027,-1.042,none
26,auin,12-51-02-64,3.426,-1.063,none
27,auin,12-51-03-16,3.426,-1.063,PA-0083
28,auin,12-51-03-67,3.426,-1.063,PA-0083
29,auin,12-51-04-19,3.426,-1.063,PA-0083
30,auin,12-51-04-69,3.426,-1.063,none
31,auin,12-51-05-21,3.426,-1.063,PA-0063
32,auin,12-51-05-72,4.187,-0.916,PA-0063
33,auin,12-51-06-24,4.187,-0.916,PA-0063
34,auin,12-51-06-76,4.187,-0.916,PA-0063
35,auin,12-51-07-27,4.187,-0.916,PA-0063
36,auin,12-51-07-79,4.187,-0.916,PA-0063
37,auin,12-51-08-29,4.337,-0.921,PA-0063
38,auin,12-51-08-81,5.886,-0.968,none
39,auin,12-51-09-31,7.209,-0.549,PA-0024
40,auin,12-51-09-82,8.066,-0.326,PA-0024
41,auin,12-51-10-34,8.078,0.074,PA-0024
42,auin,12-51-10-86,8.083,0.224,PA-0024
43,auin,12-51-11-36,8.448,0.713,PA-0024
44,auin,12-51-11-87,8.448,0.713,PA-0024
45,auin,12-51-12-39,8.448,0.713,PA-0024
46,auin,12-51-12-91,8.448,0.713,PA-0024
47,auin,12-51-13-41,8.448,0.713,PA-0086
48,auin,12-51-13-93,8.448,0.713,none
49,auin,12-51-14-43,8.448,0.713,PA-0086
50,auin,12-51-14-94,8.448,0.713,none
51,auin,12-51-15-46,8.448,0.713,none
52,auin,12-51-15-97,8.448,0.713,none
53,auin,12-51-16-49,8.448,0.713,none
54,auin,12-51-16-99,8.448,0.713,none
55,auin,12-51-17-51,8.448,0.713,none
56,auin,12-51-18-02,8.448,0.713,none
57,auin,12-51-18-54,8.448,0.713,none
58,auin,12-51-19-06,8.497,0.704,none
59,auin,12-51-19-57,10.023,0.434,none
60,auin,12-51-20-07,11.254,0.217,none
61,auin,12-51-20-59,10.515,0.347,none
62,auin,12-51-21-09,10.463,-0.215,none
63,auin,12-51-21-61,10.685,-1.465,none
64,auin,12-51-22-11,10.329,-2.921,PA-0070
65,auin,12-51-22-62,10.115,-3.795,none
66,auin,12-51-23-14,10.115,-3.795,PA-0087
67,auin,12-51-23-64,10.115,-3.795,PA-0087
68,auin,12-51-24-14,10.115,-3.795,PA-0025
69,auin,12-51-24-66,10.115,-3.795,PA-0027
70,auin,12-51-25-17,10.115,-3.795,PA-0027
71,auin,12-51-25-67,9.738,-2.979,none
72,auin,12-51-26-18,8.359,-2.432,none
73,auin,12-51-26-69,6.906,-1.897,none
74,auin,12-51-27-21,5.453,-1.361,none
75,auin,12-51-27-72,4.938,-1.145,none
76,auin,12-51-28-23,3.814,-0.969,none
77,auin,12-51-28-74,2.612,-1.684,none
78,auin,12-51-29-26,1.303,-1.861,none
79,auin,12-51-29-76,0.531,-2.32,none
80,auin,12-51-30-26,-0.757,-3.086,none
81,auin,12-51-30-77,-1.76,-3.042,none
82,auin,12-51-31-29,-2.802,-3.16,none
83,auin,12-51-31-81,-2.77,-3.909,none
84,auin,12-51-32-31,-2.704,-5.406,none
85,auin,12-51-32-82,-2.637,-6.953,none
86,auin,12-51-33-34,-2.6,-7.801,none
87,auin,12-51-33-86,-2.532,-9.348,none
88,auin,12-51-34-37,-2.473,-10.696,none
89,auin,12-51-34-89,-2.473,-10.696,none
90,auin,12-51-35-41,-2.473,-10.696,none
91,auin,12-51-35-91,-2.473,-10.696,none
92,auin,12-51-36-42,-2.473,-10.696,none
93,auin,12-51-36-94,-3.689,-10.696,none
94,auin,12-51-37-46,-4.336,-11.259,none
95,auin,12-51-37-96,-4.397,-11.45,PA-0039
96,auin,12-51-38-47,-4.213,-12.421,PA-0039
97,auin,12-51-38-99,-4.213,-12.421,PA-0039
98,auin,12-51-39-49,-3.813,-12.413,PA-0039
99,auin,12-51-40-01,-3.364,-12.403,PA-0039
100,auin,12-51-40-52,-3.364,-12.403,PA-0039
101,auin,12-51-41-04,-3.364,-12.403,PA-0039
102,auin,12-51-41-56,-3.364,-12.403,PA-0039
103,auin,12-51-42-07,-3.364,-12.403,PA-0039
104,auin,12-51-42-59,-3.364,-12.403,PA-0039
105,auin,12-51-43-11,-3.364,-12.403,PA-0039
106,auin,12-51-43-62,-3.364,-12.403,PA-0039
107,auin,12-51-44-14,-3.364,-12.403,PA-0039
108,auin,12-51-44-64,-2.415,-12.444,PA-0039
109,auin,12-51-45-16,-2.415,-12.444,PA-0039
110,auin,12-51-45-66,-2.415,-12.444,PA-0039
111,auin,12-51-46-16,-3.214,-12.409,PA-0039
112,auin,12-51-46-67,-2.514,-12.44,PA-0039
113,auin,12-51-47-19,-2.215,-12.453,PA-0039
114,auin,12-51-47-71,-2.365,-12.446,PA-0039
115,auin,12-51-48-22,-2.864,-12.424,PA-0039
116,auin,12-51-48-73,-3.214,-12.409,PA-0039
117,auin,12-51-49-24,-3.214,-12.409,PA-0039
118,auin,12-51-49-76,-3.214,-12.409,PA-0039
119,auin,12-51-50-27,-3.214,-12.409,PA-0039
120,auin,12-51-50-79,-3.214,-12.409,PA-0039
121,auin,12-51-51-31,-3.218,-12.909,PA-0039
122,auin,12-51-51-82,-3.218,-12.909,PA-0039
123,auin,12-51-52-34,-3.218,-12.909,PA-0039
124,auin,12-51-52-86,-3.218,-12.909,PA-0039
125,auin,12-51-53-37,-3.218,-12.909,PA-0039
126,auin,12-51-53-89,-3.228,-14.059,none
127,auin,12-51-54-41,-3.233,-14.609,PA-0013
128,auin,12-51-54-93,-3.233,-14.609,PA-0013
129,auin,12-51-55-44,-3.233,-14.609,PA-0013
130,auin,12-51-55-96,-3.233,-14.609,PA-0013
131,auin,12-51-56-47,-2.783,-14.613,PA-0013
132,auin,12-51-56-99,-2.383,-14.616,PA-0013
133,auin,12-51-57-51,-2.383,-14.616,PA-0013
134,auin,12-51-58-02,-2.983,-14.611,PA-0013
135,auin,12-51-58-52,-2.983,-14.611,none
136,auin,12-51-59-04,-2.983,-14.611,PA-0060
137,auin,12-51-59-56,-3.284,-15.565,PA-0060
138,auin,12-52-00-07,-3.898,-15.685,none
139,auin,12-52-00-59,-4.804,-15.4,none
140,auin,12-52-01-11,-3.898,-15.685,none
141,auin,12-52-01-61,-3.469,-15.821,PA-0060
142,auin,12-52-02-13,-3.469,-15.821,PA-0060
143,auin,12-52-02-64,-3.478,-16.521,PA-0060
144,auin,12-52-03-16,-3.478,-16.521,PA-0060
145,auin,12-52-03-67,-3.478,-16.521,PA-0060
146,auin,12-52-04-19,-3.478,-16.521,PA-0060
147,auin,12-52-04-71,-4.828,-16.503,none
148,auin,12-52-05-21,-6.328,-16.483,PA-0056
149,auin,12-52-05-72,-6.627,-16.43,PA-0056
150,auin,12-52-06-24,-6.624,-16.23,PA-0056
151,auin,12-52-06-76,-6.624,-16.23,PA-0056
152,auin,12-52-07-26,-6.625,-16.28,PA-0056
153,auin,12-52-07-77,-6.627,-16.43,PA-0056
154,auin,12-52-08-27,-6.62,-15.93,PA-0056
155,auin,12-52-08-79,-6.62,-15.93,PA-0056
156,auin,12-52-09-31,-6.62,-15.93,PA-0056
157,auin,12-52-09-82,-6.62,-15.93,PA-0056
158,auin,12-52-10-34,-6.62,-15.93,none
159,auin,12-52-10-86,-6.62,-15.93,none
160,auin,12-52-11-36,-6.62,-15.93,none
161,auin,12-52-11-87,-6.62,-15.93,PA-0020
162,auin,12-52-12-37,-6.486,-15.661,none
163,auin,12-52-12-89,-6.306,-14.621,none
164,auin,12-52-13-41,-6.306,-14.621,PA-0020
165,auin,12-52-13-93,-6.905,-14.642,PA-0020
166,auin,12-52-14-44,-7.554,-14.667,PA-0020
167,auin,12-52-14-96,-7.554,-14.667,PA-0020
168,auin,12-52-15-47,-7.603,-14.667,PA-0020
169,auin,12-52-15-97,-8.103,-14.667,PA-0020
170,auin,12-52-16-49,-8.103,-14.667,PA-0020
171,auin,12-52-17-01,-8.103,-13.917,none
172,auin,12-52-17-52,-8.103,-13.318,none
173,auin,12-52-18-04,-8.103,-13.318,none
174,auin,12-52-18-54,-8.103,-13.668,PA-0017
175,auin,12-52-19-06,-8.103,-13.668,PA-0017
176,auin,12-52-19-57,-8.103,-13.668,PA-0017
177,auin,12-52-20-09,-8.103,-13.668,PA-0017
178,auin,12-52-20-61,-8.103,-13.668,PA-0017
179,auin,12-52-21-12,-8.103,-13.668,PA-0017
180,auin,12-52-21-64,-8.103,-13.668,PA-0017
181,auin,12-52-22-16,-8.103,-13.668,PA-0017
182,auin,12-52-22-67,-7.853,-13.668,PA-0017
183,auin,12-52-23-19,-7.454,-13.668,PA-0017
184,auin,12-52-23-71,-7.454,-13.668,none
185,auin,12-52-24-22,-7.454,-13.668,none
186,auin,12-52-24-74,-7.456,-13.218,none
187,auin,12-52-25-26,-7.461,-12.017,PA-0019
188,auin,12-52-25-77,-7.461,-12.017,PA-0019
189,auin,12-52-26-29,-7.461,-12.017,PA-0019
190,auin,12-52-26-81,-8.311,-12.021,PA-0019
191,auin,12-52-27-32,-8.111,-12.02,PA-0019
192,auin,12-52-27-82,-7.611,-12.018,PA-0019
193,auin,12-52-28-33,-7.611,-12.018,PA-0089
194,auin,12-52-28-83,-7.611,-12.018,PA-0089
195,auin,12-52-29-34,-7.611,-12.018,PA-0089
196,auin,12-52-29-84,-8.065,-12.852,PA-0089
197,auin,12-52-30-36,-8.065,-12.852,PA-0089
198,auin,12-52-30-87,-7.483,-13.305,PA-0089
199,auin,12-52-31-39,-7.636,-13.832,PA-0089
200,auin,12-52-31-91,-7.636,-13.832,PA-0089
201,auin,12-52-32-42,-7.636,-13.832,PA-0089
202,auin,12-52-32-93,-7.636,-13.832,PA-0089
203,auin,12-52-33-44,-6.988,-13.886,PA-0089
204,auin,12-52-33-94,-5.493,-14.01,PA-0090
205,auin,12-52-34-46,-5.36,-13.62,PA-0090
206,auin,12-52-34-96,-5.262,-13.662,PA-0090
207,auin,12-52-35-47,-4.536,-13.247,none
208,auin,12-52-35-99,-4.572,-12.799,PA-0090
209,auin,12-52-36-49,-4.04,-12.659,none
210,auin,12-52-37-01,-4.426,-12.761,PA-0090
211,auin,12-52-37-52,-4.426,-12.761,PA-0090
212,auin,12-52-38-02,-4.426,-12.761,PA-0090
213,auin,12-52-38-54,-4.426,-12.761,PA-0090
214,auin,12-52-39-06,-3.227,-12.407,none
215,auin,12-52-39-57,-2,-12.051,none
216,auin,12-52-40-09,-2.049,-12.065,none
217,auin,12-52-40-61,-2.34,-11.328,none
218,auin,12-52-41-12,-2.577,-9.891,none
219,auin,12-52-41-62,-2.991,-8.449,none
220,auin,12-52-42-14,-3.363,-7.152,none
221,auin,12-52-42-66,-3.363,-7.152,none
222,auin,12-52-43-16,-3.363,-7.152,none
223,auin,12-52-43-66,-3.789,-6.729,none
224,auin,12-52-44-17,-4.89,-5.638,none
225,auin,12-52-44-69,-5.991,-4.547,none
226,auin,12-52-45-19,-6.772,-3.772,none
227,auin,12-52-45-71,-6.772,-3.772,none
228,auin,12-52-46-21,-6.772,-3.772,none
229,auin,12-52-46-72,-7.568,-4.07,none
230,auin,12-52-47-22,-8.973,-4.595,none
231,auin,12-52-47-74,-9.23,-4.478,none
232,auin,12-52-48-24,-9.23,-4.478,PA-0074
233,auin,12-52-48-76,-9.23,-4.478,none
234,auin,12-52-49-26,-9.23,-4.478,none
235,auin,12-52-49-77,-8.994,-4.156,none
236,auin,12-52-50-27,-9.879,-3.42,none
237,auin,12-52-50-77,-9.879,-3.42,none
238,auin,12-52-51-29,-10.224,-3.478,none
239,auin,12-52-51-81,-11.753,-3.734,none
240,auin,12-52-52-32,-11.999,-3.775,none
241,auin,12-52-52-84,-11.999,-3.775,none
242,auin,12-52-53-36,-11.999,-3.775,PA-0088
243,auin,12-52-53-88,-11.999,-3.775,none
244,auin,12-52-54-39,-11.999,-3.775,PA-0088
245,auin,12-52-54-91,-11.999,-3.775,PA-0088
246,auin,12-52-55-43,-11.999,-3.775,PA-0088
247,auin,12-52-55-94,-11.461,-4.138,PA-0088
248,auin,12-52-56-44,-10.798,-4.585,PA-0088
249,auin,12-52-56-96,-10.798,-4.585,PA-0088
250,auin,12-52-57-47,-10.798,-4.585,PA-0088
251,auin,12-52-57-97,-10.798,-4.585,PA-0088
252,auin,12-52-58-49,-10.798,-4.585,PA-0088
253,auin,12-52-59-01,-10.798,-4.585,PA-0088
254,auin,12-52-59-52,-10.798,-4.585,PA-0088
255,auin,12-53-00-03,-10.798,-4.585,PA-0088
256,auin,12-53-00-54,-10.798,-4.585,PA-0088
257,auin,12-53-01-06,-10.798,-4.585,PA-0088
258,auin,12-53-01-57,-11.035,-5.35,PA-0088
259,auin,12-53-02-07,-11.156,-5.782,PA-0088
260,auin,12-53-02-59,-11.123,-6.582,PA-0088
261,auin,12-53-03-09,-11.123,-6.582,PA-0088
262,auin,12-53-03-61,-11.123,-6.582,PA-0088
263,auin,12-53-04-11,-11.144,-5.982,PA-0088
264,auin,12-53-04-62,-11.144,-5.982,PA-0088
265,auin,12-53-05-12,-11.592,-5.941,PA-0088
266,auin,12-53-05-64,-11.592,-5.941,PA-0088
267,auin,12-53-06-14,-11.592,-5.941,PA-0084
268,auin,12-53-06-66,-11.991,-5.922,PA-0084
269,auin,12-53-07-17,-12.025,-6.813,PA-0084
270,auin,12-53-07-69,-11.176,-6.853,PA-0084
271,auin,12-53-08-21,-11.196,-7.253,PA-0084
272,auin,12-53-08-71,-11.181,-6.953,PA-0084
273,auin,12-53-09-22,-11.181,-6.953,PA-0084
274,auin,12-53-09-74,-11.181,-6.953,PA-0084
275,auin,12-53-10-26,-11.181,-6.953,PA-0084
276,auin,12-53-10-77,-11.181,-6.953,PA-0084
277,auin,12-53-11-29,-11.181,-6.953,PA-0084
278,auin,12-53-11-81,-11.181,-6.953,PA-0084
279,auin,12-53-12-32,-11.181,-6.953,PA-0084
280,auin,12-53-12-84,-11.181,-6.953,PA-0084
281,auin,12-53-13-34,-11.181,-6.953,PA-0084
282,auin,12-53-13-86,-11.181,-6.953,PA-0084
283,auin,12-53-14-37,-11.181,-6.953,PA-0084
284,auin,12-53-14-89,-11.181,-6.953,PA-0084
285,auin,12-53-15-39,-11.181,-6.953,PA-0084
286,auin,12-53-15-91,-11.181,-6.953,PA-0084
287,auin,12-53-16-41,-11.181,-6.953,PA-0084
288,auin,12-53-16-91,-11.181,-6.953,PA-0084
289,auin,12-53-17-42,-11.181,-6.953,PA-0084
290,auin,12-53-17-93,-11.181,-6.953,PA-0084
