row,id,time,position_x,position_z,looking_at
1,cyb,19-02-58-43,0,0,none
2,cyb,19-02-59-02,0.009,0.004,none
3,cyb,19-02-59-52,0.01,0.004,none
4,cyb,19-03-00-07,0.01,0.004,none
5,cyb,19-03-00-62,0.01,0.004,none
6,cyb,19-03-01-16,0.01,0.004,none
7,cyb,19-03-01-72,0.01,0.004,none
8,cyb,19-03-02-22,1.209,0.004,none
9,cyb,19-03-02-75,2.808,0.004,PA-0083
10,cyb,19-03-03-30,2.807,0.004,PA-0083
11,cyb,19-03-03-85,2.807,-0.145,PA-0083
12,cyb,19-03-04-40,2.807,-1.595,PA-0083
13,cyb,19-03-04-90,2.807,-2.295,PA-0083
14,cyb,19-03-05-43,3.357,-2.295,none
15,cyb,19-03-06-00,5.056,-2.295,PA-0063
16,cyb,19-03-06-56,5.905,-2.295,none
17,cyb,19-03-07-08,5.905,-2.295,none
18,cyb,19-03-07-61,6.455,-2.295,none
19,cyb,19-03-08-15,7.505,-2.295,PA-0024
20,cyb,19-03-08-70,8.604,-2.295,PA-0024
21,cyb,19-03-09-28,8.754,-1.496,PA-0024
22,cyb,19-03-09-80,8.754,-0.547,PA-0024
23,cyb,19-03-10-35,8.754,-0.247,PA-0024
24,cyb,19-03-10-89,8.754,-0.247,PA-0024
25,cyb,19-03-11-45,8.753,0.703,PA-0024
26,cyb,19-03-11-96,8.753,0.752,PA-0024
27,cyb,19-03-12-48,8.753,0.203,PA-0024
28,cyb,19-03-13-01,8.753,0.203,PA-0024
29,cyb,19-03-13-56,8.753,0.203,PA-0024
30,cyb,19-03-14-13,8.753,0.203,PA-0024
31,cyb,19-03-14-67,8.753,0.203,PA-0024
32,cyb,19-03-15-23,8.753,0.203,PA-0024
33,cyb,19-03-15-78,8.753,0.203,PA-0024
34,cyb,19-03-16-34,8.753,0.752,PA-0024
35,cyb,19-03-16-90,8.753,0.752,PA-0024
36,cyb,19-03-17-45,8.753,0.752,PA-0024
37,cyb,19-03-17-98,8.753,0.752,PA-0024
38,cyb,19-03-18-52,8.753,0.752,PA-0024
39,cyb,19-03-19-06,8.753,0.752,PA-0024
40,cyb,19-03-19-60,8.753,0.752,PA-0024
41,cyb,19-03-20-15,8.753,0.752,PA-0024
42,cyb,19-03-20-70,8.753,0.752,PA-0024
43,cyb,19-03-21-25,8.753,0.752,none
44,cyb,19-03-21-78,8.753,0.752,none
45,cyb,19-03-22-35,8.753,0.752,none
46,cyb,19-03-22-92,8.753,0.752,PA-0063
47,cyb,19-03-23-46,8.753,0.752,none
48,cyb,19-03-23-99,8.753,0.752,none
49,cyb,19-03-24-52,8.755,1.251,none
50,cyb,19-03-25-04,8.762,2.9,PA-0085
51,cyb,19-03-25-61,8.765,3.65,none
52,cyb,19-03-26-15,8.765,3.65,none
53,cyb,19-03-26-67,7.567,3.655,none
54,cyb,19-03-27-22,7.867,3.654,none
55,cyb,19-03-27-80,8.466,3.651,none
56,cyb,19-03-28-37,8.462,2.752,PA-0085
57,cyb,19-03-28-90,8.464,3.051,PA-0085
58,cyb,19-03-29-47,8.464,3.051,PA-0085
59,cyb,19-03-30-01,8.464,3.051,PA-0085
60,cyb,19-03-30-57,8.464,3.051,PA-0085
61,cyb,19-03-31-14,8.464,3.051,PA-0085
62,cyb,19-03-31-68,8.464,3.051,PA-0085
63,cyb,19-03-32-24,8.464,3.051,PA-0085
64,cyb,19-03-32-80,8.464,3.051,PA-0085
65,cyb,19-03-33-34,8.464,3.051,none
66,cyb,19-03-33-88,8.464,3.051,PA-0024
67,cyb,19-03-34-39,8.464,3.051,PA-0086
68,cyb,19-03-34-90,8.464,3.051,PA-0086
69,cyb,19-03-35-44,8.464,3.051,none
70,cyb,19-03-35-96,8.464,3.051,none
71,cyb,19-03-36-50,8.464,3.051,none
72,cyb,19-03-37-05,8.464,3.051,none
73,cyb,19-03-37-61,8.464,3.051,none
74,cyb,19-03-38-18,8.464,3.051,none
75,cyb,19-03-38-74,8.528,2.505,PA-0086
76,cyb,19-03-39-29,8.528,2.505,PA-0086
77,cyb,19-03-39-83,8.528,2.505,PA-0086
78,cyb,19-03-40-39,8.528,2.505,PA-0086
79,cyb,19-03-40-94,8.528,2.505,PA-0086
80,cyb,19-03-41-50,8.876,2.546,PA-0086
81,cyb,19-03-42-05,9.422,2.611,PA-0086
82,cyb,19-03-42-62,9.493,2.015,PA-0086
83,cyb,19-03-43-13,9.493,2.015,PA-0086
84,cyb,19-03-43-65,9.493,2.015,PA-0086
85,cyb,19-03-44-15,9.452,2.363,PA-0086
86,cyb,19-03-44-68,9.452,2.363,none
87,cyb,19-03-45-18,9.452,2.363,PA-0086
88,cyb,19-03-45-76,9.452,2.363,PA-0086
89,cyb,19-03-46-29,9.452,2.363,PA-0086
90,cyb,19-03-46-81,9.616,0.973,none
91,cyb,19-03-47-36,9.675,0.477,none
92,cyb,19-03-47-90,9.834,-0.863,none
93,cyb,19-03-48-43,9.911,-1.508,none
94,cyb,19-03-48-98,10.081,-2.947,none
95,cyb,19-03-49-50,10.111,-3.196,PA-0070
96,cyb,19-03-50-05,10.111,-3.196,PA-0070
97,cyb,19-03-50-63,9.168,-3.308,none
98,cyb,19-03-51-17,9.168,-3.308,none
99,cyb,19-03-51-75,9.203,-3.606,PA-0070
100,cyb,19-03-52-26,9.274,-4.201,none
101,cyb,19-03-52-81,9.344,-4.797,PA-0087
