row,id,time,position_x,position_z,looking_at
1,dafffdafd,12-43-51-47,0,0,none
2,dafffdafd,12-43-52-00,0.01,0.004,none
3,dafffdafd,12-43-52-55,0.01,0.004,none
4,dafffdafd,12-43-53-10,0.01,0.004,none
5,dafffdafd,12-43-53-63,0.01,0.004,none
6,dafffdafd,12-43-54-17,1.558,0.004,none
7,dafffdafd,12-43-54-72,3.006,0.004,PA-0083
8,dafffdafd,12-43-55-28,3.006,0.004,PA-0083
9,dafffdafd,12-43-55-83,3.006,0.004,PA-0083
10,dafffdafd,12-43-56-40,3.006,0.004,PA-0083
11,dafffdafd,12-43-56-93,3.006,0.004,none
12,dafffdafd,12-43-57-48,3.006,0.004,none
13,dafffdafd,12-43-58-03,3.006,0.004,none
14,dafffdafd,12-43-58-55,3.006,0.004,none
15,dafffdafd,12-43-59-11,3.006,0.004,none
16,dafffdafd,12-43-59-68,3.006,0.004,none
17,dafffdafd,12-44-00-23,3.006,0.004,none
18,dafffdafd,12-44-00-78,3.006,0.004,none
19,dafffdafd,12-44-01-33,3.006,0.004,none
20,dafffdafd,12-44-01-88,3.006,0.004,none
21,dafffdafd,12-44-02-43,3.006,0.004,PA-0083
22,dafffdafd,12-44-02-96,3.006,0.004,PA-0083
23,dafffdafd,12-44-03-51,3.006,0.004,PA-0083
24,dafffdafd,12-44-04-02,3.006,0.004,PA-0083
25,dafffdafd,12-44-04-56,3.006,0.004,PA-0083
26,dafffdafd,12-44-05-09,3.006,0.004,PA-0083
27,dafffdafd,12-44-05-62,3.295,-1.004,none
28,dafffdafd,12-44-06-17,2.951,0.196,none
29,dafffdafd,12-44-06-69,2.786,0.773,none
30,dafffdafd,12-44-07-21,2.786,0.773,none
31,dafffdafd,12-44-07-77,2.786,0.773,PA-0083
32,dafffdafd,12-44-08-29,2.786,0.773,PA-0083
33,dafffdafd,12-44-08-84,2.786,0.773,PA-0083
34,dafffdafd,12-44-09-42,2.785,0.773,PA-0083
35,dafffdafd,12-44-09-94,2.809,1.672,PA-0083
36,dafffdafd,12-44-10-47,2.839,2.82,none
37,dafffdafd,12-44-10-97,2.839,2.82,none
38,dafffdafd,12-44-11-52,2.839,2.82,none
39,dafffdafd,12-44-12-05,2.83,2.471,none
40,dafffdafd,12-44-12-60,2.777,1.12,PA-0083
41,dafffdafd,12-44-13-17,2.777,1.12,PA-0083
42,dafffdafd,12-44-13-73,2.777,1.12,PA-0083
43,dafffdafd,12-44-14-25,2.777,1.12,PA-0083
44,dafffdafd,12-44-14-83,2.777,1.12,PA-0083
45,dafffdafd,12-44-15-40,2.754,0.271,PA-0083
46,dafffdafd,12-44-15-96,2.754,0.271,PA-0083
47,dafffdafd,12-44-16-50,2.754,0.271,PA-0083
48,dafffdafd,12-44-17-05,2.749,0.071,PA-0083
49,dafffdafd,12-44-17-60,3.188,-0.34,none
50,dafffdafd,12-44-18-16,3.205,0.31,none
51,dafffdafd,12-44-18-75,3.415,0.704,none
52,dafffdafd,12-44-19-24,3.41,0.504,none
53,dafffdafd,12-44-19-76,3.411,0.554,none
54,dafffdafd,12-44-20-28,3.422,0.953,none
55,dafffdafd,12-44-20-79,3.422,0.953,none
56,dafffdafd,12-44-21-34,3.422,0.953,none
57,dafffdafd,12-44-21-89,3.422,0.953,none
58,dafffdafd,12-44-22-41,3.422,0.953,none
59,dafffdafd,12-44-22-98,3.422,0.953,none
60,dafffdafd,12-44-23-49,3.422,0.953,none
61,dafffdafd,12-44-24-03,3.39,-0.245,none
62,dafffdafd,12-44-24-54,3.423,1.003,none
63,dafffdafd,12-44-25-06,3.423,1.003,none
64,dafffdafd,12-44-25-57,3.423,1.003,none
65,dafffdafd,12-44-26-14,3.423,1.003,none
66,dafffdafd,12-44-26-72,3.423,1.003,none
67,dafffdafd,12-44-27-26,3.423,1.003,none
68,dafffdafd,12-44-27-77,3.423,1.003,none
69,dafffdafd,12-44-28-29,3.423,1.003,none
70,dafffdafd,12-44-28-80,3.423,1.003,none
71,dafffdafd,12-44-29-37,3.423,1.003,none
72,dafffdafd,12-44-29-92,3.423,1.003,none
73,dafffdafd,12-44-30-49,3.423,1.003,none
74,dafffdafd,12-44-31-04,2.19,0.807,PA-0083
75,dafffdafd,12-44-31-54,2.127,1.202,PA-0083
76,dafffdafd,12-44-32-05,2.127,1.202,PA-0083
77,dafffdafd,12-44-32-59,2.127,1.202,PA-0083
78,dafffdafd,12-44-33-10,2.127,1.202,PA-0083
79,dafffdafd,12-44-33-65,2.127,1.202,PA-0083
80,dafffdafd,12-44-34-19,2.127,1.202,PA-0083
81,dafffdafd,12-44-34-70,2.939,0.817,none
82,dafffdafd,12-44-35-25,3.706,0.455,PA-0063
83,dafffdafd,12-44-35-78,4.347,0.76,PA-0063
84,dafffdafd,12-44-36-33,4.347,0.76,PA-0063
85,dafffdafd,12-44-36-88,4.347,0.76,PA-0063
86,dafffdafd,12-44-37-43,4.347,0.76,PA-0063
87,dafffdafd,12-44-37-97,4.347,0.76,PA-0063
88,dafffdafd,12-44-38-50,5.317,0.518,none
89,dafffdafd,12-44-39-02,5.123,-0.258,none
90,dafffdafd,12-44-39-58,5.123,-0.258,none
91,dafffdafd,12-44-40-10,5.123,-0.258,none
92,dafffdafd,12-44-40-61,5.123,-0.258,none
93,dafffdafd,12-44-41-13,5.189,0.689,none
94,dafffdafd,12-44-41-68,5.203,0.888,none
95,dafffdafd,12-44-42-21,5.161,0.29,none
