row,id,time,position_x,position_z,looking_at
1,dk,12-41-53-91,0,0,none
2,dk,12-41-54-44,0.01,0.004,none
3,dk,12-41-54-95,0.01,0.004,none
4,dk,12-41-55-45,0.01,0.004,none
5,dk,12-41-55-97,0.01,0.004,none
6,dk,12-41-56-49,0.01,0.004,none
7,dk,12-41-57-00,0.81,0.004,none
8,dk,12-41-57-52,1.009,0.004,none
9,dk,12-41-58-04,1.009,0.004,none
10,dk,12-41-58-54,1.009,0.004,none
11,dk,12-41-59-05,1.405,0.059,none
12,dk,12-41-59-55,2.447,-0.79,none
13,dk,12-42-00-07,3.068,-2.094,none
14,dk,12-42-00-59,3.563,-2.514,none
15,dk,12-42-01-09,3.563,-2.514,none
16,dk,12-42-01-60,2.577,-3.28,none
17,dk,12-42-02-12,1.029,-3.347,none
18,dk,12-42-02-62,0.846,-2.659,none
19,dk,12-42-03-14,0.846,-2.659,none
20,dk,12-42-03-64,-0.179,-2.284,none
21,dk,12-42-04-15,-0.604,-3.274,none
22,dk,12-42-04-67,-1.804,-2.959,none
23,dk,12-42-05-19,-1.804,-2.959,none
24,dk,12-42-05-70,-2.102,-3.296,none
25,dk,12-42-06-22,-2.102,-3.296,PA-0083
26,dk,12-42-06-72,-2.744,-3.559,none
27,dk,12-42-07-24,-4.288,-3.624,PA-0092
28,dk,12-42-07-75,-5.838,-3.645,PA-0092
29,dk,12-42-08-27,-7.202,-3.219,none
30,dk,12-42-08-77,-8.613,-3.725,none
31,dk,12-42-09-29,-9.965,-4.48,none
32,dk,12-42-09-80,-11.429,-4.919,PA-0026
33,dk,12-42-10-32,-12.956,-5.188,PA-0026
34,dk,12-42-10-84,-14.383,-5.009,PA-0026
35,dk,12-42-11-34,-15.826,-5.37,none
36,dk,12-42-11-85,-17.051,-6.262,none
37,dk,12-42-12-37,-18.4,-6.803,none
38,dk,12-42-12-87,-19.709,-7.447,none
39,dk,12-42-13-39,-20.661,-8.409,none
40,dk,12-42-13-89,-20.661,-8.409,none
41,dk,12-42-14-40,-20.208,-8.95,none
42,dk,12-42-14-91,-20.208,-8.95,PA-0019
43,dk,12-42-15-42,-20.208,-8.95,none
44,dk,12-42-15-92,-20.46,-9.662,none
45,dk,12-42-16-44,-20.624,-10.438,none
46,dk,12-42-16-95,-21.804,-10.718,PA-0095
47,dk,12-42-17-47,-22.555,-10.465,none
48,dk,12-42-17-99,-22.9,-10.176,none
49,dk,12-42-18-49,-21.732,-9.784,none
50,dk,12-42-19-00,-20.853,-8.739,none
51,dk,12-42-19-50,-20.896,-8.163,none
52,dk,12-42-20-02,-19.956,-6.95,none
53,dk,12-42-20-54,-19.358,-5.536,none
54,dk,12-42-21-05,-18.448,-4.52,none
55,dk,12-42-21-57,-16.91,-4.327,none
56,dk,12-42-22-09,-15.372,-4.138,none
57,dk,12-42-22-60,-13.831,-3.968,none
58,dk,12-42-23-10,-12.336,-3.85,none
59,dk,12-42-23-62,-10.788,-3.779,none
60,dk,12-42-24-14,-9.245,-3.917,none
61,dk,12-42-24-65,-7.711,-4.133,none
62,dk,12-42-25-15,-6.447,-3.806,none
63,dk,12-42-25-65,-5.034,-3.361,none
64,dk,12-42-26-17,-3.661,-3.957,none
65,dk,12-42-26-69,-2.949,-4.885,none
66,dk,12-42-27-20,-2.352,-5.47,none
67,dk,12-42-27-72,-1.543,-6.791,none
68,dk,12-42-28-24,-1.628,-8.249,none
69,dk,12-42-28-75,-2.222,-9.68,none
70,dk,12-42-29-27,-2.476,-10.278,none
71,dk,12-42-29-77,-2.43,-10.297,none
72,dk,12-42-30-27,-2.43,-10.297,none
73,dk,12-42-30-79,-2.43,-10.297,none
74,dk,12-42-31-29,-2.43,-10.297,none
75,dk,12-42-31-80,-2.43,-10.297,none
76,dk,12-42-32-30,-2.43,-10.297,none
77,dk,12-42-32-80,-2.43,-10.297,none
78,dk,12-42-33-32,-2.43,-10.297,none
79,dk,12-42-33-82,-2.352,-11.387,none
80,dk,12-42-34-34,-2.643,-11.529,PA-0039
81,dk,12-42-34-85,-3.497,-12.732,PA-0039
82,dk,12-42-35-37,-4.327,-12.989,PA-0039
83,dk,12-42-35-87,-4.327,-12.989,PA-0039
84,dk,12-42-36-39,-4.327,-12.989,PA-0039
85,dk,12-42-36-90,-4.327,-12.989,PA-0039
86,dk,12-42-37-40,-4.327,-12.989,PA-0039
87,dk,12-42-37-92,-4.327,-12.989,PA-0039
88,dk,12-42-38-42,-4.327,-12.989,PA-0039
89,dk,12-42-38-94,-4.327,-12.989,PA-0039
90,dk,12-42-39-44,-4.327,-12.989,PA-0039
91,dk,12-42-39-95,-3.778,-12.965,PA-0039
92,dk,12-42-40-47,-3.778,-12.965,PA-0039
93,dk,12-42-40-99,-3.328,-12.945,PA-0039
94,dk,12-42-41-50,-3.328,-12.945,PA-0039
95,dk,12-42-42-02,-2.848,-13.443,PA-0039
96,dk,12-42-42-54,-2.848,-13.443,PA-0039
97,dk,12-42-43-05,-2.848,-13.443,none
98,dk,12-42-43-57,-2.848,-13.443,none
99,dk,12-42-44-07,-2.848,-13.443,none
100,dk,12-42-44-59,-2.848,-13.443,none
101,dk,12-42-45-09,-2.848,-13.443,PA-0039
102,dk,12-42-45-60,-2.848,-13.443,PA-0039
103,dk,12-42-46-12,-2.848,-13.443,PA-0039
104,dk,12-42-46-64,-2.848,-13.443,PA-0039
105,dk,12-42-47-14,-2.848,-13.443,PA-0039
106,dk,12-42-47-65,-2.848,-13.443,PA-0039
107,dk,12-42-48-17,-2.848,-13.443,PA-0039
108,dk,12-42-48-69,-2.848,-13.443,PA-0039
109,dk,12-42-49-19,-2.848,-13.443,PA-0039
110,dk,12-42-49-70,-2.848,-13.443,PA-0039
111,dk,12-42-50-22,-2.848,-13.443,PA-0039
112,dk,12-42-50-72,-2.848,-13.443,PA-0039
113,dk,12-42-51-24,-2.848,-13.443,PA-0039
114,dk,12-42-51-74,-2.848,-13.443,PA-0039
115,dk,12-42-52-25,-2.906,-13.305,PA-0039
116,dk,12-42-52-77,-3.058,-12.882,PA-0039
117,dk,12-42-53-27,-2.997,-13.73,none
118,dk,12-42-53-77,-3.031,-14.875,none
119,dk,12-42-54-29,-2.736,-14.822,PA-0013
120,dk,12-42-54-80,-2.781,-14.576,PA-0013
121,dk,12-42-55-32,-2.781,-14.576,PA-0013
122,dk,12-42-55-82,-2.781,-14.576,PA-0013
123,dk,12-42-56-34,-2.781,-14.576,PA-0013
124,dk,12-42-56-84,-2.781,-14.576,none
125,dk,12-42-57-35,-2.781,-14.576,PA-0013
126,dk,12-42-57-85,-2.781,-14.576,none
127,dk,12-42-58-37,-2.781,-14.576,PA-0013
128,dk,12-42-58-87,-2.781,-14.576,PA-0013
129,dk,12-42-59-39,-2.781,-14.576,PA-0013
130,dk,12-42-59-90,-2.781,-14.576,PA-0013
131,dk,12-43-00-40,-2.781,-14.576,PA-0013
132,dk,12-43-00-92,-2.781,-14.576,PA-0013
133,dk,12-43-01-42,-2.781,-14.576,PA-0013
134,dk,12-43-01-94,-2.781,-14.576,PA-0013
135,dk,12-43-02-45,-2.781,-14.576,PA-0013
136,dk,12-43-02-97,-2.781,-14.576,PA-0013
137,dk,12-43-03-47,-2.781,-14.576,PA-0013
138,dk,12-43-03-99,-2.781,-14.576,PA-0013
139,dk,12-43-04-50,-2.781,-14.576,PA-0013
140,dk,12-43-05-02,-2.781,-14.576,PA-0013
141,dk,12-43-05-54,-2.781,-14.576,PA-0013
142,dk,12-43-06-05,-2.781,-14.576,PA-0013
143,dk,12-43-06-55,-2.781,-14.576,PA-0013
144,dk,12-43-07-07,-2.781,-14.576,PA-0013
145,dk,12-43-07-59,-2.781,-14.576,PA-0013
146,dk,12-43-08-09,-2.781,-14.576,PA-0013
147,dk,12-43-08-60,-2.781,-14.576,PA-0013
148,dk,12-43-09-10,-2.781,-14.576,PA-0013
149,dk,12-43-09-62,-2.781,-14.576,PA-0013
150,dk,12-43-10-14,-2.781,-14.576,PA-0013
151,dk,12-43-10-64,-2.781,-14.576,PA-0013
152,dk,12-43-11-15,-2.781,-14.576,PA-0013
153,dk,12-43-11-65,-2.781,-14.576,PA-0013
154,dk,12-43-12-17,-2.781,-14.576,PA-0013
155,dk,12-43-12-69,-2.781,-14.576,PA-0013
156,dk,12-43-13-20,-2.781,-14.576,PA-0013
157,dk,12-43-13-70,-2.781,-14.576,none
158,dk,12-43-14-22,-2.781,-14.576,none
159,dk,12-43-14-74,-2.781,-14.576,none
160,dk,12-43-15-24,-2.781,-14.576,none
161,dk,12-43-15-75,-2.781,-14.576,none
162,dk,12-43-16-27,-2.766,-14.427,none
163,dk,12-43-16-77,-2.622,-12.933,none
164,dk,12-43-17-29,-2.585,-11.391,none
165,dk,12-43-17-80,-2.904,-9.908,none
166,dk,12-43-18-32,-2.983,-9.567,none
167,dk,12-43-18-84,-2.983,-9.567,none
168,dk,12-43-19-35,-2.983,-9.567,none
169,dk,12-43-19-85,-2.983,-9.567,none
170,dk,12-43-20-37,-2.983,-9.567,none
171,dk,12-43-20-89,-2.983,-9.567,none
172,dk,12-43-21-40,-2.983,-9.567,none
