row,id,time,position_x,position_z,looking_at
1,ivory,12-42-57-19,0,0,none
2,ivory,12-43-15-12,0.01,0.004,none
3,ivory,12-43-15-66,0.01,0.004,none
4,ivory,12-43-16-29,0.01,0.004,none
5,ivory,12-43-16-97,0.01,0.004,none
6,ivory,12-43-17-65,0.01,0.004,none
7,ivory,12-43-18-32,0.01,0.004,none
8,ivory,12-43-18-86,0.01,0.004,none
9,ivory,12-43-19-50,0.01,0.004,none
10,ivory,12-43-20-22,0.01,0.004,none
11,ivory,12-43-20-91,0.01,0.004,none
12,ivory,12-43-21-62,0.01,0.004,none
13,ivory,12-43-22-32,0.01,0.004,none
14,ivory,12-43-23-05,0.01,0.004,none
15,ivory,12-43-23-75,0.01,0.004,none
16,ivory,12-43-24-28,0.01,0.004,none
17,ivory,12-43-24-98,0.01,0.004,none
18,ivory,12-43-25-68,0.01,0.004,none
19,ivory,12-43-26-40,0.01,0.004,none
20,ivory,12-43-27-10,0.01,0.004,none
21,ivory,12-43-27-81,0.01,0.004,none
22,ivory,12-43-28-51,0.01,0.004,PA-0083
23,ivory,12-43-29-20,0.01,0.004,PA-0083
24,ivory,12-43-29-84,0.01,0.004,none
25,ivory,12-43-30-50,0.01,0.004,none
26,ivory,12-43-31-16,0.01,0.004,none
27,ivory,12-43-31-85,0.01,0.004,none
28,ivory,12-43-32-36,-0.015,-0.295,none
29,ivory,12-43-33-00,-0.015,-0.295,none
30,ivory,12-43-33-63,-0.015,-0.295,none
31,ivory,12-43-34-31,-0.015,-0.295,none
32,ivory,12-43-34-81,-0.015,-0.295,none
33,ivory,12-43-35-46,-0.015,-0.295,none
34,ivory,12-43-36-15,-0.015,-0.295,none
35,ivory,12-43-36-83,-0.015,-0.295,none
36,ivory,12-43-37-53,0.874,-0.157,none
37,ivory,12-43-38-08,1.171,-0.113,none
38,ivory,12-43-38-59,1.768,-0.07,none
39,ivory,12-43-39-41,1.768,-0.07,PA-0083
40,ivory,12-43-39-99,1.768,-0.07,PA-0083
41,ivory,12-43-40-58,2.063,-0.129,PA-0083
42,ivory,12-43-41-14,2.651,-0.246,none
43,ivory,12-43-41-75,2.945,-0.304,none
44,ivory,12-43-42-32,3.533,-0.422,none
45,ivory,12-43-42-88,4.121,-0.539,PA-0063
46,ivory,12-43-43-57,4.416,-0.597,PA-0063
47,ivory,12-43-44-25,4.416,-0.597,none
48,ivory,12-43-44-76,4.416,-0.597,none
49,ivory,12-43-45-48,4.416,-0.597,none
50,ivory,12-43-45-99,4.416,-0.597,none
51,ivory,12-43-46-74,4.416,-0.597,none
52,ivory,12-43-47-26,4.416,-0.597,none
53,ivory,12-43-47-79,4.416,-0.597,none
54,ivory,12-43-48-47,4.416,-0.597,none
55,ivory,12-43-49-12,4.415,-0.597,none
56,ivory,12-43-49-92,4.415,-0.597,PA-0064
57,ivory,12-43-50-66,4.221,-0.369,none
58,ivory,12-43-51-33,3.636,0.315,none
59,ivory,12-43-51-96,3.636,0.315,none
60,ivory,12-43-52-46,3.636,0.315,PA-0064
61,ivory,12-43-53-10,3.636,0.315,none
62,ivory,12-43-53-73,3.636,0.315,PA-0064
63,ivory,12-43-54-37,3.087,0.557,none
64,ivory,12-43-54-99,2.946,0.237,none
65,ivory,12-43-55-65,2.946,0.237,none
66,ivory,12-43-56-22,2.946,0.237,none
67,ivory,12-43-56-75,2.946,0.237,none
68,ivory,12-43-57-35,2.805,-0.084,PA-0064
69,ivory,12-43-58-04,2.732,-0.374,PA-0064
70,ivory,12-43-58-75,2.592,-0.958,PA-0064
71,ivory,12-43-59-45,3.175,-1.098,none
72,ivory,12-44-00-15,4.05,-1.308,PA-0067
73,ivory,12-44-00-67,4.342,-1.378,PA-0067
74,ivory,12-44-01-37,4.342,-1.378,PA-0067
75,ivory,12-44-02-03,4.342,-1.378,none
76,ivory,12-44-02-75,4.342,-1.378,PA-0025
77,ivory,12-44-03-46,4.342,-1.378,none
78,ivory,12-44-04-10,4.342,-1.378,none
79,ivory,12-44-04-80,4.342,-1.378,none
80,ivory,12-44-05-40,4.887,-1.127,none
81,ivory,12-44-06-00,5.704,-0.75,none
82,ivory,12-44-06-62,6.491,-0.323,none
