row,id,time,position_x,position_z,looking_at
1,jinacoulon,12-41-55-96,0,0,none
2,jinacoulon,12-41-59-94,0.008,0.003,none
3,jinacoulon,12-42-00-45,0.01,0.004,none
4,jinacoulon,12-42-00-96,0.01,0.004,none
5,jinacoulon,12-42-01-47,0.01,0.004,none
6,jinacoulon,12-42-01-97,0.01,0.004,none
7,jinacoulon,12-42-02-49,0.01,0.004,none
8,jinacoulon,12-42-03-01,0.01,0.004,none
9,jinacoulon,12-42-03-53,0.01,0.004,none
10,jinacoulon,12-42-05-13,0.01,0.004,none
11,jinacoulon,12-42-05-64,0.01,0.004,none
12,jinacoulon,12-42-06-17,0.01,0.004,PA-0083
13,jinacoulon,12-42-06-69,0.01,0.004,PA-0083
14,jinacoulon,12-42-07-20,0.01,0.004,none
15,jinacoulon,12-42-07-72,0.01,0.004,PA-0067
16,jinacoulon,12-42-08-25,0.01,0.004,none
17,jinacoulon,12-42-08-75,0.01,0.004,PA-0064
18,jinacoulon,12-42-09-27,0.01,0.004,none
19,jinacoulon,12-42-09-78,0.01,0.004,PA-0064
20,jinacoulon,12-42-10-31,0.01,0.004,none
21,jinacoulon,12-42-10-83,0.01,0.004,none
22,jinacoulon,12-42-11-34,0.01,0.004,none
23,jinacoulon,12-42-11-86,0.01,0.004,PA-0064
24,jinacoulon,12-42-12-39,0.01,0.004,PA-0064
25,jinacoulon,12-42-12-90,-0.005,-0.17,none
26,jinacoulon,12-42-13-43,-0.052,-1.646,none
27,jinacoulon,12-42-13-94,0.12,-1.673,none
28,jinacoulon,12-42-14-45,-0.736,-1.514,none
29,jinacoulon,12-42-14-96,-0.852,-0.752,none
30,jinacoulon,12-42-15-48,-0.851,-0.752,none
31,jinacoulon,12-42-16-00,-0.943,-1.021,none
32,jinacoulon,12-42-16-51,-0.86,-1.376,none
33,jinacoulon,12-42-17-02,-0.887,-1.234,none
34,jinacoulon,12-42-17-54,-0.872,0.24,none
35,jinacoulon,12-42-18-05,-0.863,-0.219,none
36,jinacoulon,12-42-18-58,-0.848,-0.219,none
37,jinacoulon,12-42-19-10,-0.875,0.226,none
38,jinacoulon,12-42-19-61,-0.854,1.584,PA-0064
39,jinacoulon,12-42-20-12,-0.846,1.584,none
40,jinacoulon,12-42-20-63,-0.85,1.259,none
41,jinacoulon,12-42-21-14,0.108,0.255,none
42,jinacoulon,12-42-21-67,0.258,0.251,none
43,jinacoulon,12-42-22-19,0.258,0.251,none
44,jinacoulon,12-42-22-70,0.258,0.251,none
45,jinacoulon,12-42-23-22,0.258,0.251,none
46,jinacoulon,12-42-23-76,0.258,0.251,none
47,jinacoulon,12-42-24-27,0.258,0.251,none
48,jinacoulon,12-42-24-78,0.258,0.251,PA-0083
49,jinacoulon,12-42-25-31,0.258,0.251,PA-0083
50,jinacoulon,12-42-25-81,0.841,0.026,none
51,jinacoulon,12-42-26-32,1.237,-0.126,PA-0083
52,jinacoulon,12-42-26-86,1.237,-0.126,PA-0083
53,jinacoulon,12-42-27-37,1.237,-0.126,PA-0083
54,jinacoulon,12-42-27-90,1.237,-0.126,PA-0083
55,jinacoulon,12-42-28-42,1.237,-0.126,PA-0083
56,jinacoulon,12-42-28-94,1.237,-0.126,PA-0083
57,jinacoulon,12-42-29-46,1.727,-0.314,PA-0083
58,jinacoulon,12-42-29-97,2.088,0.418,none
59,jinacoulon,12-42-30-48,2.088,0.418,PA-0083
60,jinacoulon,12-42-30-98,2.203,0.695,PA-0083
61,jinacoulon,12-42-31-49,2.27,0.857,PA-0083
62,jinacoulon,12-42-32-01,2.27,0.857,PA-0083
63,jinacoulon,12-42-32-51,2.27,0.857,PA-0083
64,jinacoulon,12-42-33-03,2.27,0.857,PA-0083
65,jinacoulon,12-42-33-54,2.221,0.083,PA-0083
66,jinacoulon,12-42-34-06,2.221,0.083,PA-0083
67,jinacoulon,12-42-34-57,3.313,-0.041,none
68,jinacoulon,12-42-35-08,4.058,-0.126,PA-0063
69,jinacoulon,12-42-35-60,4.841,0.564,PA-0063
70,jinacoulon,12-42-36-12,4.86,0.738,PA-0063
71,jinacoulon,12-42-36-63,4.839,0.289,PA-0063
72,jinacoulon,12-42-37-15,4.839,0.289,PA-0063
73,jinacoulon,12-42-37-67,4.839,0.289,PA-0063
74,jinacoulon,12-42-38-19,4.839,0.289,PA-0063
75,jinacoulon,12-42-38-72,4.839,0.289,PA-0063
76,jinacoulon,12-42-39-24,4.839,0.289,PA-0063
77,jinacoulon,12-42-39-76,4.839,0.289,PA-0063
78,jinacoulon,12-42-40-28,4.464,0.285,PA-0063
79,jinacoulon,12-42-40-79,4.464,0.285,none
80,jinacoulon,12-42-41-31,4.464,0.285,PA-0083
81,jinacoulon,12-42-41-82,4.464,0.285,PA-0063
82,jinacoulon,12-42-42-34,4.464,0.285,PA-0063
83,jinacoulon,12-42-42-87,4.505,0.657,PA-0063
84,jinacoulon,12-42-43-39,4.514,0.932,PA-0063
85,jinacoulon,12-42-43-89,4.518,1.032,PA-0063
86,jinacoulon,12-42-44-41,4.518,1.032,PA-0063
87,jinacoulon,12-42-44-93,4.476,0.333,PA-0063
88,jinacoulon,12-42-45-43,4.476,0.333,PA-0063
89,jinacoulon,12-42-45-95,4.537,0.855,PA-0063
90,jinacoulon,12-42-46-48,4.537,0.855,PA-0063
91,jinacoulon,12-42-46-98,4.537,0.855,PA-0024
92,jinacoulon,12-42-47-50,4.537,0.855,none
93,jinacoulon,12-42-48-01,4.537,0.855,none
94,jinacoulon,12-42-48-54,4.537,0.855,none
95,jinacoulon,12-42-49-07,4.537,0.855,none
96,jinacoulon,12-42-49-57,4.537,0.855,none
97,jinacoulon,12-42-50-07,4.602,0.892,none
98,jinacoulon,12-42-50-60,6.013,1.319,PA-0024
99,jinacoulon,12-42-51-11,6.569,1.502,PA-0024
100,jinacoulon,12-42-51-63,6.918,1.487,PA-0024
101,jinacoulon,12-42-52-16,7.535,1.572,none
102,jinacoulon,12-42-52-68,7.671,2.558,PA-0085
103,jinacoulon,12-42-53-21,7.423,2.676,PA-0085
104,jinacoulon,12-42-53-75,7.489,2.943,PA-0085
105,jinacoulon,12-42-54-28,7.573,3.282,none
106,jinacoulon,12-42-54-80,7.573,3.282,PA-0085
107,jinacoulon,12-42-55-32,7.573,3.282,PA-0085
108,jinacoulon,12-42-55-84,7.626,2.785,none
109,jinacoulon,12-42-56-36,7.626,2.785,PA-0085
110,jinacoulon,12-42-56-87,7.626,2.785,PA-0085
111,jinacoulon,12-42-57-38,7.626,2.785,PA-0085
112,jinacoulon,12-42-57-89,7.626,2.785,PA-0085
113,jinacoulon,12-42-58-40,7.626,2.785,PA-0085
114,jinacoulon,12-42-58-90,7.626,2.785,PA-0085
115,jinacoulon,12-42-59-41,7.626,2.785,PA-0085
116,jinacoulon,12-42-59-92,7.626,2.785,PA-0085
117,jinacoulon,12-43-00-43,7.626,2.785,PA-0085
118,jinacoulon,12-43-00-94,7.626,2.785,PA-0085
119,jinacoulon,12-43-01-45,7.626,2.785,PA-0085
120,jinacoulon,12-43-01-95,7.626,2.785,PA-0085
121,jinacoulon,12-43-02-46,7.626,2.785,PA-0085
122,jinacoulon,12-43-02-97,7.691,2.057,none
123,jinacoulon,12-43-03-50,6.799,0.785,none
124,jinacoulon,12-43-04-04,5.592,-0.116,none
125,jinacoulon,12-43-04-55,4.025,0.032,none
126,jinacoulon,12-43-05-07,2.527,0.302,none
127,jinacoulon,12-43-05-60,2.295,0.353,PA-0083
128,jinacoulon,12-43-06-13,2.613,-0.051,none
129,jinacoulon,12-43-06-63,4.067,0.396,none
130,jinacoulon,12-43-07-15,5.489,0.786,PA-0024
131,jinacoulon,12-43-07-67,6.74,1.282,PA-0024
132,jinacoulon,12-43-08-20,7.14,1.698,PA-0024
133,jinacoulon,12-43-08-72,7.409,1.565,PA-0024
134,jinacoulon,12-43-09-24,7.409,1.565,PA-0024
135,jinacoulon,12-43-09-75,7.409,1.565,PA-0024
136,jinacoulon,12-43-10-28,7.409,1.565,PA-0024
137,jinacoulon,12-43-10-78,7.409,1.565,PA-0024
138,jinacoulon,12-43-11-31,7.409,1.565,PA-0024
139,jinacoulon,12-43-11-83,7.409,1.565,PA-0024
140,jinacoulon,12-43-12-35,7.409,1.565,PA-0024
141,jinacoulon,12-43-12-87,7.409,1.565,PA-0086
142,jinacoulon,12-43-13-39,8.104,2.508,none
143,jinacoulon,12-43-13-90,9.377,3.215,PA-0086
144,jinacoulon,12-43-14-41,10.135,3.053,PA-0086
145,jinacoulon,12-43-14-92,10.525,2.965,PA-0086
146,jinacoulon,12-43-15-44,10.525,2.965,PA-0086
147,jinacoulon,12-43-15-95,10.525,2.965,none
148,jinacoulon,12-43-16-48,10.525,2.965,none
149,jinacoulon,12-43-17-00,10.525,2.965,PA-0086
150,jinacoulon,12-43-17-52,10.525,2.965,PA-0086
151,jinacoulon,12-43-18-05,10.525,2.965,PA-0086
