row,id,time,position_x,position_z,looking_at
1,kyungeun3,12-48-33-67,0,0,none
2,kyungeun3,12-48-34-70,0.01,0.004,none
3,kyungeun3,12-48-35-21,0.01,0.004,none
4,kyungeun3,12-48-35-73,0.01,0.004,none
5,kyungeun3,12-48-36-25,0.01,0.004,none
6,kyungeun3,12-48-36-76,0.01,0.004,none
7,kyungeun3,12-48-37-28,0.01,0.004,none
8,kyungeun3,12-48-37-78,0.01,-0.846,none
9,kyungeun3,12-48-38-29,0.01,-2.396,none
10,kyungeun3,12-48-38-81,0.01,-3.771,none
11,kyungeun3,12-48-39-33,0.661,-3.709,none
12,kyungeun3,12-48-39-84,2.21,-3.707,PA-0083
13,kyungeun3,12-48-40-36,3.759,-3.707,none
14,kyungeun3,12-48-40-88,4.98,-3.337,PA-0063
15,kyungeun3,12-48-41-39,5.179,-1.987,PA-0063
16,kyungeun3,12-48-41-91,6.729,-1.987,PA-0024
17,kyungeun3,12-48-42-43,7.391,-0.975,PA-0024
18,kyungeun3,12-48-42-94,7.391,0.575,PA-0024
19,kyungeun3,12-48-43-46,8.54,0.924,PA-0024
20,kyungeun3,12-48-43-98,8.99,0.924,PA-0024
21,kyungeun3,12-48-44-49,8.99,1.623,PA-0024
22,kyungeun3,12-48-44-99,8.99,1.073,PA-0024
23,kyungeun3,12-48-45-51,9.761,0.253,PA-0024
24,kyungeun3,12-48-46-03,10.561,0.253,PA-0024
25,kyungeun3,12-48-46-53,10.561,0.253,PA-0024
26,kyungeun3,12-48-47-04,10.561,0.253,none
27,kyungeun3,12-48-47-56,10.561,0.253,none
28,kyungeun3,12-48-48-08,10.561,0.253,none
29,kyungeun3,12-48-48-58,9.863,-0.392,none
30,kyungeun3,12-48-49-09,9.462,-0.767,none
31,kyungeun3,12-48-49-61,9.569,-1.1,none
32,kyungeun3,12-48-50-13,9.737,-1.624,none
33,kyungeun3,12-48-50-63,10.482,-2.033,none
34,kyungeun3,12-48-51-14,10.657,-2.129,PA-0025
35,kyungeun3,12-48-51-66,10.657,-2.129,none
36,kyungeun3,12-48-52-18,9.871,-3.163,none
37,kyungeun3,12-48-52-69,9.043,-4.085,none
38,kyungeun3,12-48-53-21,9.043,-4.085,none
39,kyungeun3,12-48-53-71,9.043,-4.085,none
40,kyungeun3,12-48-54-23,8.294,-4.111,none
41,kyungeun3,12-48-54-74,7.994,-4.121,none
42,kyungeun3,12-48-55-26,7.544,-4.137,none
43,kyungeun3,12-48-55-78,7.544,-4.137,none
44,kyungeun3,12-48-56-29,7.994,-4.121,none
45,kyungeun3,12-48-56-79,8.394,-4.107,none
46,kyungeun3,12-48-57-31,8.943,-4.088,none
47,kyungeun3,12-48-57-83,8.943,-4.088,none
48,kyungeun3,12-48-58-34,8.244,-4.113,none
49,kyungeun3,12-48-58-86,7.244,-4.147,none
50,kyungeun3,12-48-59-38,7.244,-4.147,none
51,kyungeun3,12-48-59-89,7.244,-4.147,none
52,kyungeun3,12-49-00-41,7.444,-4.133,none
53,kyungeun3,12-49-00-93,8.291,-4.07,none
54,kyungeun3,12-49-01-43,8.306,-4.269,none
55,kyungeun3,12-49-01-94,7.963,-5.047,PA-0027
56,kyungeun3,12-49-02-46,7.215,-5.102,PA-0027
57,kyungeun3,12-49-02-98,7.215,-5.102,PA-0027
58,kyungeun3,12-49-03-49,7.215,-5.102,PA-0027
59,kyungeun3,12-49-04-01,7.215,-5.102,none
60,kyungeun3,12-49-04-51,7.129,-4.006,none
61,kyungeun3,12-49-05-03,6.728,-3.302,none
62,kyungeun3,12-49-05-53,5.288,-3.132,none
63,kyungeun3,12-49-06-04,3.957,-3.201,PA-0064
64,kyungeun3,12-49-06-54,2.792,-3.486,PA-0064
65,kyungeun3,12-49-07-06,1.627,-3.732,PA-0064
66,kyungeun3,12-49-07-58,1.627,-3.731,none
67,kyungeun3,12-49-08-09,1.529,-3.712,none
68,kyungeun3,12-49-08-59,0.057,-3.426,none
69,kyungeun3,12-49-09-11,-1.445,-3.13,none
70,kyungeun3,12-49-09-61,-2.672,-2.892,none
71,kyungeun3,12-49-10-13,-2.672,-2.892,none
72,kyungeun3,12-49-10-64,-3.519,-3.508,PA-0088
73,kyungeun3,12-49-11-16,-4.46,-3.559,none
74,kyungeun3,12-49-11-66,-5.499,-3.196,none
75,kyungeun3,12-49-12-18,-6.962,-2.685,none
76,kyungeun3,12-49-12-69,-7.953,-2.336,none
77,kyungeun3,12-49-13-21,-7.953,-2.336,none
78,kyungeun3,12-49-13-73,-7.953,-2.336,none
79,kyungeun3,12-49-14-24,-7.953,-2.336,none
80,kyungeun3,12-49-14-76,-7.953,-2.336,none
81,kyungeun3,12-49-15-26,-8.029,-2.271,none
82,kyungeun3,12-49-15-78,-8.827,-1.59,none
83,kyungeun3,12-49-16-29,-9.321,-1.167,none
84,kyungeun3,12-49-16-79,-9.321,-1.167,PA-0075
85,kyungeun3,12-49-17-31,-9.321,-1.167,PA-0075
86,kyungeun3,12-49-17-83,-9.321,-1.167,PA-0075
87,kyungeun3,12-49-18-34,-9.447,-0.841,PA-0075
88,kyungeun3,12-49-18-86,-9.447,-0.841,PA-0075
89,kyungeun3,12-49-19-38,-9.447,-0.841,PA-0075
90,kyungeun3,12-49-19-88,-9.447,-0.841,PA-0075
91,kyungeun3,12-49-20-39,-9.447,-0.841,PA-0075
92,kyungeun3,12-49-20-91,-9.447,-0.841,PA-0075
93,kyungeun3,12-49-21-41,-9.447,-0.841,none
94,kyungeun3,12-49-21-92,-9.447,-0.841,none
95,kyungeun3,12-49-22-43,-9.447,-0.841,none
96,kyungeun3,12-49-22-94,-9.579,-0.991,none
97,kyungeun3,12-49-23-44,-10.142,-1.627,none
98,kyungeun3,12-49-23-94,-10.96,-2.572,none
99,kyungeun3,12-49-24-46,-11.329,-3.501,none
100,kyungeun3,12-49-24-96,-11.307,-4.1,none
101,kyungeun3,12-49-25-48,-11.209,-4.743,PA-0084
102,kyungeun3,12-49-25-98,-10.822,-5.483,PA-0088
103,kyungeun3,12-49-26-49,-10.623,-5.501,PA-0088
104,kyungeun3,12-49-26-99,-10.424,-5.519,PA-0088
105,kyungeun3,12-49-27-51,-10.424,-5.519,PA-0088
106,kyungeun3,12-49-28-03,-10.101,-5.901,PA-0088
107,kyungeun3,12-49-28-54,-9.681,-6.397,PA-0088
108,kyungeun3,12-49-29-04,-9.681,-6.397,PA-0088
109,kyungeun3,12-49-29-54,-9.681,-6.397,PA-0084
110,kyungeun3,12-49-30-06,-10.366,-6.702,none
111,kyungeun3,12-49-30-56,-11.736,-7.312,none
112,kyungeun3,12-49-31-08,-11.782,-7.333,PA-0026
113,kyungeun3,12-49-31-59,-13.204,-7.05,PA-0026
114,kyungeun3,12-49-32-11,-14.581,-6.873,KO-0004
115,kyungeun3,12-49-32-62,-14.971,-7.186,none
116,kyungeun3,12-49-33-14,-15.751,-7.812,none
117,kyungeun3,12-49-33-66,-15.751,-7.812,KO-0001
118,kyungeun3,12-49-34-16,-16.335,-8.506,none
119,kyungeun3,12-49-34-68,-16.335,-8.506,none
120,kyungeun3,12-49-35-19,-16.912,-8.512,none
121,kyungeun3,12-49-35-69,-17.53,-8.566,none
122,kyungeun3,12-49-36-21,-17.857,-8.309,KO-0004
123,kyungeun3,12-49-36-71,-18.953,-7.287,none
124,kyungeun3,12-49-37-23,-18.953,-7.287,KO-0004
125,kyungeun3,12-49-37-74,-18.87,-7.523,KO-0004
126,kyungeun3,12-49-38-26,-18.755,-7.853,KO-0004
127,kyungeun3,12-49-38-78,-18.656,-8.445,none
128,kyungeun3,12-49-39-28,-18.639,-8.53,none
129,kyungeun3,12-49-39-79,-19.795,-8.562,none
130,kyungeun3,12-49-40-29,-20.689,-8.552,none
131,kyungeun3,12-49-40-81,-20.689,-8.551,none
132,kyungeun3,12-49-41-31,-20.78,-7.255,none
133,kyungeun3,12-49-41-82,-20.821,-6.656,none
134,kyungeun3,12-49-42-34,-20.821,-6.656,PA-0026
135,kyungeun3,12-49-42-84,-20.642,-6.745,PA-0026
136,kyungeun3,12-49-43-36,-19.524,-7.303,PA-0026
137,kyungeun3,12-49-43-86,-19.524,-7.303,PA-0026
138,kyungeun3,12-49-44-37,-19.419,-6.661,PA-0026
139,kyungeun3,12-49-44-89,-19.259,-5.674,none
140,kyungeun3,12-49-45-39,-19.999,-5.554,none
141,kyungeun3,12-49-45-91,-19.929,-4.501,PA-0092
142,kyungeun3,12-49-46-43,-18.63,-4.612,none
143,kyungeun3,12-49-46-94,-17.1,-4.861,none
144,kyungeun3,12-49-47-46,-15.619,-5.102,none
145,kyungeun3,12-49-47-97,-16.36,-4.981,none
146,kyungeun3,12-49-48-49,-17.889,-4.732,none
147,kyungeun3,12-49-49-01,-19.342,-4.409,PA-0092
148,kyungeun3,12-49-49-52,-19.165,-3.324,none
149,kyungeun3,12-49-50-02,-19.757,-3.227,none
150,kyungeun3,12-49-50-54,-20.3,-3.139,none
151,kyungeun3,12-49-51-06,-20.3,-3.139,none
152,kyungeun3,12-49-51-57,-20.268,-2.941,none
153,kyungeun3,12-49-52-09,-20.131,-2.102,PA-0093
154,kyungeun3,12-49-52-61,-20.131,-2.102,PA-0093
155,kyungeun3,12-49-53-12,-20.674,-2.014,PA-0093
156,kyungeun3,12-49-53-62,-20.674,-2.014,PA-0093
157,kyungeun3,12-49-54-14,-20.674,-2.014,PA-0093
158,kyungeun3,12-49-54-64,-20.674,-2.014,PA-0093
159,kyungeun3,12-49-55-16,-20.47,-1.503,none
160,kyungeun3,12-49-55-67,-20.47,-1.503,none
161,kyungeun3,12-49-56-18,-20.47,-1.503,none
162,kyungeun3,12-49-56-69,-20.47,-1.503,PA-0095
163,kyungeun3,12-49-57-21,-20.47,-1.503,PA-0095
164,kyungeun3,12-49-57-72,-20.26,-0.995,PA-0095
165,kyungeun3,12-49-58-24,-20.26,-0.995,none
166,kyungeun3,12-49-58-76,-19.013,-1.082,none
167,kyungeun3,12-49-59-28,-17.766,-1.169,PA-0098
168,kyungeun3,12-49-59-79,-17.766,-1.169,PA-0098
169,kyungeun3,12-50-00-31,-17.766,-1.169,PA-0098
170,kyungeun3,12-50-00-82,-17.766,-1.169,PA-0098
171,kyungeun3,12-50-01-34,-17.766,-1.169,none
172,kyungeun3,12-50-01-84,-17.305,-1.363,none
173,kyungeun3,12-50-02-36,-15.875,-1.962,none
174,kyungeun3,12-50-02-86,-15.783,-2.001,none
175,kyungeun3,12-50-03-37,-15.783,-2.001,PA-0061
176,kyungeun3,12-50-03-87,-15.783,-2.001,PA-0052
177,kyungeun3,12-50-04-39,-15.51,-2.293,PA-0052
178,kyungeun3,12-50-04-91,-14.453,-3.427,none
179,kyungeun3,12-50-05-42,-13.457,-3.25,PA-0075
180,kyungeun3,12-50-05-93,-12.359,-2.227,PA-0075
181,kyungeun3,12-50-06-44,-11.592,-1.51,PA-0075
182,kyungeun3,12-50-06-96,-11.592,-1.51,PA-0074
183,kyungeun3,12-50-07-47,-11.592,-1.51,none
184,kyungeun3,12-50-07-99,-11.592,-1.51,none
185,kyungeun3,12-50-08-51,-11.592,-1.51,none
186,kyungeun3,12-50-09-02,-11.592,-1.51,none
187,kyungeun3,12-50-09-54,-10.575,-1.929,none
188,kyungeun3,12-50-10-04,-9.186,-2.497,none
189,kyungeun3,12-50-10-56,-7.752,-3.084,none
190,kyungeun3,12-50-11-06,-6.539,-3.861,none
191,kyungeun3,12-50-11-57,-6.079,-4.97,none
192,kyungeun3,12-50-12-09,-5.958,-5.905,none
193,kyungeun3,12-50-12-59,-4.709,-5.856,none
194,kyungeun3,12-50-13-11,-3.16,-5.795,none
195,kyungeun3,12-50-13-62,-1.612,-5.734,none
196,kyungeun3,12-50-14-14,-1.513,-6.981,none
197,kyungeun3,12-50-14-66,-1.452,-8.53,none
198,kyungeun3,12-50-15-17,-2.621,-8.962,none
199,kyungeun3,12-50-15-69,-2.562,-10.461,none
200,kyungeun3,12-50-16-21,-2.447,-12.002,none
201,kyungeun3,12-50-16-71,-2.325,-12.329,PA-0039
202,kyungeun3,12-50-17-22,-2.325,-12.329,PA-0039
203,kyungeun3,12-50-17-72,-2.325,-12.329,PA-0039
204,kyungeun3,12-50-18-24,-2.325,-12.329,PA-0039
205,kyungeun3,12-50-18-74,-2.572,-12.082,PA-0039
206,kyungeun3,12-50-19-26,-3.562,-11.092,PA-0039
207,kyungeun3,12-50-19-77,-4.153,-10.977,none
208,kyungeun3,12-50-20-29,-4.707,-11.033,none
209,kyungeun3,12-50-20-81,-4.707,-11.033,PA-0039
210,kyungeun3,12-50-21-32,-4.707,-11.033,none
211,kyungeun3,12-50-21-84,-5.128,-12.525,none
212,kyungeun3,12-50-22-34,-5.373,-13.895,none
213,kyungeun3,12-50-22-86,-3.882,-14.316,none
214,kyungeun3,12-50-23-37,-2.534,-14.696,none
