row,id,time,position_x,position_z,looking_at
1,lindensun,19-02-46-85,0,0,none
2,lindensun,19-02-47-39,0.01,0.004,none
3,lindensun,19-02-47-90,0.01,0.004,none
4,lindensun,19-02-48-42,0.01,0.004,none
5,lindensun,19-02-48-92,0.01,0.004,none
6,lindensun,19-02-49-42,0.01,0.004,none
7,lindensun,19-02-49-92,0.01,0.004,none
8,lindensun,19-02-50-42,0.708,-0.019,PA-0024
9,lindensun,19-02-50-94,0.708,-0.019,none
10,lindensun,19-02-51-44,0.857,-0.04,none
11,lindensun,19-02-51-94,2.343,-0.09,PA-0083
12,lindensun,19-02-52-44,2.886,-0.001,none
13,lindensun,19-02-52-94,2.886,-0.001,none
14,lindensun,19-02-53-44,2.544,0.073,PA-0083
15,lindensun,19-02-53-94,2.544,0.073,PA-0083
16,lindensun,19-02-54-44,2.544,0.073,PA-0083
17,lindensun,19-02-54-94,2.544,0.073,PA-0083
18,lindensun,19-02-55-44,2.544,0.073,PA-0083
19,lindensun,19-02-55-94,2.544,0.073,PA-0083
20,lindensun,19-02-56-44,2.544,0.073,PA-0083
21,lindensun,19-02-56-94,2.544,0.073,PA-0083
22,lindensun,19-02-57-44,2.544,0.073,PA-0083
23,lindensun,19-02-57-94,2.544,0.073,PA-0083
24,lindensun,19-02-58-44,3.343,0.038,none
25,lindensun,19-02-58-94,4.593,-0.017,PA-0063
26,lindensun,19-02-59-44,4.593,-0.017,PA-0063
27,lindensun,19-02-59-94,4.593,-0.017,PA-0063
28,lindensun,19-03-00-44,4.593,-0.017,PA-0063
29,lindensun,19-03-00-95,4.593,-0.017,PA-0063
30,lindensun,19-03-01-45,4.593,-0.017,PA-0063
31,lindensun,19-03-01-95,4.593,-0.017,PA-0063
32,lindensun,19-03-02-45,6.026,0.121,PA-0063
33,lindensun,19-03-02-95,7.186,0.974,PA-0063
34,lindensun,19-03-03-45,7.422,1.47,none
35,lindensun,19-03-03-95,7.727,2.93,PA-0085
36,lindensun,19-03-04-47,8.039,3.307,PA-0085
37,lindensun,19-03-04-97,8.095,3.55,none
38,lindensun,19-03-05-47,8.095,3.55,none
39,lindensun,19-03-05-97,8.095,3.55,none
40,lindensun,19-03-06-47,8.095,3.55,none
41,lindensun,19-03-06-97,8.095,3.55,none
42,lindensun,19-03-07-47,8.095,3.55,none
43,lindensun,19-03-07-97,8.095,3.55,none
44,lindensun,19-03-08-47,8.095,3.55,none
45,lindensun,19-03-08-98,8.095,3.55,none
46,lindensun,19-03-09-49,8.095,3.55,none
47,lindensun,19-03-09-99,8.145,3.544,none
48,lindensun,19-03-10-49,8.943,2.979,PA-0024
49,lindensun,19-03-10-99,9.045,2.084,PA-0024
50,lindensun,19-03-11-50,9.088,1.087,PA-0024
51,lindensun,19-03-12-00,9.088,1.087,PA-0024
52,lindensun,19-03-12-50,9.388,1.08,PA-0024
53,lindensun,19-03-13-00,9.388,1.08,PA-0024
54,lindensun,19-03-13-51,9.388,1.08,PA-0024
55,lindensun,19-03-14-01,9.398,1.53,PA-0024
56,lindensun,19-03-14-51,9.398,1.53,PA-0024
57,lindensun,19-03-15-01,9.398,1.53,PA-0024
58,lindensun,19-03-15-51,9.398,1.53,PA-0024
59,lindensun,19-03-16-01,9.398,1.53,PA-0024
60,lindensun,19-03-16-51,9.398,1.53,PA-0024
61,lindensun,19-03-17-01,9.398,1.53,PA-0024
62,lindensun,19-03-17-51,9.398,1.53,PA-0024
63,lindensun,19-03-18-01,9.398,1.53,PA-0024
64,lindensun,19-03-18-51,9.398,1.53,PA-0024
65,lindensun,19-03-19-01,9.398,1.53,PA-0024
66,lindensun,19-03-19-51,9.398,1.53,PA-0024
67,lindensun,19-03-20-01,9.398,1.53,PA-0024
68,lindensun,19-03-20-51,9.398,1.53,none
69,lindensun,19-03-21-01,8.998,1.537,none
70,lindensun,19-03-21-51,9.498,1.528,none
71,lindensun,19-03-22-01,9.898,1.521,none
72,lindensun,19-03-22-51,9.898,1.521,none
73,lindensun,19-03-23-01,9.898,1.521,none
74,lindensun,19-03-23-51,9.898,1.521,none
75,lindensun,19-03-24-01,9.898,1.521,none
76,lindensun,19-03-24-51,9.898,1.521,none
77,lindensun,19-03-25-02,10.438,1.628,none
78,lindensun,19-03-25-53,10.438,1.628,none
79,lindensun,19-03-26-03,10.438,1.628,PA-0024
80,lindensun,19-03-26-53,10.438,1.628,PA-0086
81,lindensun,19-03-27-03,10.438,1.628,none
82,lindensun,19-03-27-53,10.438,1.628,none
83,lindensun,19-03-28-03,10.438,1.628,none
84,lindensun,19-03-28-53,10.438,1.628,none
85,lindensun,19-03-29-04,10.438,1.628,none
86,lindensun,19-03-29-55,10.438,1.628,none
87,lindensun,19-03-30-05,9.936,1.299,PA-0086
88,lindensun,19-03-30-55,8.775,0.914,none
89,lindensun,19-03-31-05,8.437,-0.121,none
90,lindensun,19-03-31-55,8.422,-0.521,none
91,lindensun,19-03-32-05,8.65,-1.075,none
92,lindensun,19-03-32-55,10.14,-0.957,none
93,lindensun,19-03-33-05,10.433,-0.89,none
94,lindensun,19-03-33-55,10.433,-0.89,none
95,lindensun,19-03-34-06,10.433,-0.89,none
96,lindensun,19-03-34-57,10.993,-0.56,none
97,lindensun,19-03-35-07,10.894,-0.578,none
98,lindensun,19-03-35-57,9.4,-0.599,none
99,lindensun,19-03-36-07,9.046,-0.602,none
100,lindensun,19-03-36-57,8.576,-2.023,PA-0070
101,lindensun,19-03-37-07,8.355,-3.42,none
102,lindensun,19-03-37-58,8.947,-3.433,none
103,lindensun,19-03-38-08,9.279,-3.533,PA-0087
104,lindensun,19-03-38-58,9.747,-4.142,none
105,lindensun,19-03-39-08,9.704,-3.443,PA-0070
106,lindensun,19-03-39-58,10.004,-3.425,PA-0070
107,lindensun,19-03-40-08,10.004,-3.425,PA-0070
108,lindensun,19-03-40-58,10.004,-3.425,PA-0070
109,lindensun,19-03-41-08,10.004,-3.425,PA-0070
110,lindensun,19-03-41-58,10.004,-3.425,PA-0070
111,lindensun,19-03-42-08,10.004,-3.425,PA-0070
112,lindensun,19-03-42-58,10.004,-3.425,PA-0070
113,lindensun,19-03-43-08,9.988,-3.175,PA-0070
114,lindensun,19-03-43-58,10.101,-3.572,none
115,lindensun,19-03-44-08,10.751,-3.552,none
116,lindensun,19-03-44-58,10.751,-3.552,none
117,lindensun,19-03-45-08,10.751,-3.552,none
118,lindensun,19-03-45-58,10.751,-3.552,none
119,lindensun,19-03-46-08,10.751,-3.552,none
120,lindensun,19-03-46-58,10.751,-3.552,none
121,lindensun,19-03-47-08,10.751,-3.552,none
122,lindensun,19-03-47-58,10.351,-3.564,none
123,lindensun,19-03-48-08,9.795,-3.32,none
124,lindensun,19-03-48-58,9.795,-3.32,PA-0070
125,lindensun,19-03-49-08,9.795,-3.32,PA-0070
126,lindensun,19-03-49-58,9.795,-3.32,PA-0070
127,lindensun,19-03-50-08,9.795,-3.32,PA-0070
128,lindensun,19-03-50-58,9.795,-3.32,PA-0070
129,lindensun,19-03-51-09,10.01,-4.4,none
130,lindensun,19-03-51-59,10.156,-5.136,PA-0087
131,lindensun,19-03-52-09,9.715,-5.223,PA-0087
132,lindensun,19-03-52-59,9.715,-5.223,PA-0087
133,lindensun,19-03-53-09,9.715,-5.223,PA-0087
134,lindensun,19-03-53-59,9.715,-5.223,PA-0087
135,lindensun,19-03-54-10,9.715,-5.223,PA-0087
136,lindensun,19-03-54-61,9.715,-5.223,PA-0087
137,lindensun,19-03-55-11,9.715,-5.223,PA-0087
138,lindensun,19-03-55-61,9.715,-5.223,PA-0087
139,lindensun,19-03-56-11,9.715,-5.223,PA-0087
140,lindensun,19-03-56-61,9.715,-5.223,PA-0087
141,lindensun,19-03-57-11,9.715,-5.223,PA-0087
142,lindensun,19-03-57-61,9.715,-5.223,PA-0087
143,lindensun,19-03-58-11,9.715,-5.223,PA-0087
144,lindensun,19-03-58-61,9.715,-5.223,PA-0087
145,lindensun,19-03-59-11,9.715,-5.223,PA-0087
146,lindensun,19-03-59-61,9.715,-5.223,PA-0087
147,lindensun,19-04-00-11,9.715,-5.223,PA-0087
148,lindensun,19-04-00-61,9.715,-5.223,PA-0087
149,lindensun,19-04-01-11,9.715,-5.224,PA-0025
