row,id,time,position_x,position_z,looking_at
1,pepsi,19-03-08-40,0,0,none
2,pepsi,19-03-08-98,0.004,0.002,none
3,pepsi,19-03-11-18,0.006,0.002,none
4,pepsi,19-03-11-69,0.006,0.003,none
5,pepsi,19-03-12-19,0.006,0.003,none
6,pepsi,19-03-12-71,0.006,0.003,none
7,pepsi,19-03-13-21,0.006,0.003,none
8,pepsi,19-03-13-72,0.006,0.003,none
9,pepsi,19-03-14-24,0.006,0.003,none
10,pepsi,19-03-14-76,0.506,0.003,none
11,pepsi,19-03-15-26,0.706,-1.248,none
12,pepsi,19-03-15-77,0.706,-1.348,none
13,pepsi,19-03-16-29,0.706,-1.348,none
14,pepsi,19-03-16-79,0.706,-1.348,PA-0083
15,pepsi,19-03-17-31,0.706,-1.348,PA-0083
16,pepsi,19-03-17-81,0.706,-1.348,PA-0083
17,pepsi,19-03-18-32,0.706,-1.348,PA-0083
18,pepsi,19-03-18-89,0.706,-1.348,PA-0083
19,pepsi,19-03-19-41,0.706,-1.348,PA-0083
20,pepsi,19-03-19-94,0.706,-1.348,PA-0083
21,pepsi,19-03-20-47,0.706,-1.348,PA-0083
22,pepsi,19-03-21-01,0.706,-1.348,PA-0083
23,pepsi,19-03-21-54,0.706,-1.348,PA-0083
24,pepsi,19-03-22-08,0.706,-1.348,PA-0083
25,pepsi,19-03-22-61,0.969,-0.809,PA-0083
26,pepsi,19-03-23-11,1.363,0.001,PA-0083
27,pepsi,19-03-23-64,1.363,0.001,PA-0083
28,pepsi,19-03-24-14,1.363,0.001,PA-0083
29,pepsi,19-03-24-64,1.832,-0.529,none
30,pepsi,19-03-25-14,3.25,-0.041,PA-0063
31,pepsi,19-03-25-68,4.408,0.881,PA-0063
32,pepsi,19-03-26-21,5.888,0.867,PA-0024
33,pepsi,19-03-26-71,6.697,0.472,PA-0024
34,pepsi,19-03-27-21,7.147,0.253,none
35,pepsi,19-03-27-75,7.147,0.253,none
36,pepsi,19-03-28-28,7.147,0.253,PA-0087
37,pepsi,19-03-28-78,7.793,-0.351,PA-0060
38,pepsi,19-03-29-31,7.793,-0.351,PA-0089
39,pepsi,19-03-29-81,8.074,-0.764,PA-0067
40,pepsi,19-03-30-33,7.37,-1.82,PA-0067
41,pepsi,19-03-30-85,6.018,-2.356,PA-0067
42,pepsi,19-03-31-35,4.708,-2.863,PA-0089
43,pepsi,19-03-31-86,3.479,-2.125,PA-0064
44,pepsi,19-03-32-40,3.479,-2.125,PA-0064
45,pepsi,19-03-32-91,3.479,-2.125,PA-0064
46,pepsi,19-03-33-43,2.23,-2.89,PA-0064
47,pepsi,19-03-33-96,0.814,-3.34,none
48,pepsi,19-03-34-48,-0.587,-3.075,none
49,pepsi,19-03-35-01,-1.912,-3.14,none
50,pepsi,19-03-35-55,-2.932,-4.26,none
51,pepsi,19-03-36-08,-4.478,-4.674,none
52,pepsi,19-03-36-58,-5.289,-3.732,none
53,pepsi,19-03-37-11,-6.141,-3.172,PA-0092
54,pepsi,19-03-37-61,-7.488,-3.601,none
55,pepsi,19-03-38-12,-8.859,-3.486,none
56,pepsi,19-03-38-65,-9.253,-3.222,none
57,pepsi,19-03-39-15,-9.176,-1.932,none
58,pepsi,19-03-39-68,-9.176,-1.932,none
59,pepsi,19-03-40-22,-9.176,-1.932,none
60,pepsi,19-03-40-75,-9.57,-1.414,none
61,pepsi,19-03-41-25,-9.044,-0.701,PA-0081
62,pepsi,19-03-41-75,-9.044,-0.701,none
63,pepsi,19-03-42-25,-8.931,-1.084,none
64,pepsi,19-03-42-78,-8.457,-1.1,PA-0072
65,pepsi,19-03-43-30,-8.169,-1.015,PA-0072
66,pepsi,19-03-43-83,-8.169,-1.015,PA-0072
67,pepsi,19-03-44-35,-8.169,-1.015,PA-0072
68,pepsi,19-03-44-87,-8.169,-1.015,PA-0072
69,pepsi,19-03-45-37,-8.169,-1.015,PA-0072
70,pepsi,19-03-45-87,-8.169,-1.015,PA-0072
71,pepsi,19-03-46-40,-8.169,-1.015,PA-0072
72,pepsi,19-03-46-93,-8.169,-1.015,PA-0072
73,pepsi,19-03-47-43,-8.169,-1.015,PA-0072
74,pepsi,19-03-47-93,-8.169,-1.015,PA-0072
75,pepsi,19-03-48-45,-8.169,-1.015,PA-0072
76,pepsi,19-03-48-97,-8.169,-1.015,PA-0072
77,pepsi,19-03-49-49,-8.169,-1.015,PA-0072
78,pepsi,19-03-50-02,-8.169,-1.015,PA-0072
79,pepsi,19-03-50-52,-8.169,-1.015,PA-0072
80,pepsi,19-03-51-05,-8.169,-1.015,PA-0072
81,pepsi,19-03-51-55,-8.169,-1.015,PA-0072
82,pepsi,19-03-52-05,-8.169,-1.015,PA-0072
83,pepsi,19-03-52-57,-8.169,-1.015,PA-0072
84,pepsi,19-03-53-09,-8.169,-1.015,PA-0072
85,pepsi,19-03-53-60,-8.169,-1.015,PA-0072
86,pepsi,19-03-54-10,-8.169,-1.015,PA-0072
87,pepsi,19-03-54-64,-8.169,-1.015,PA-0072
88,pepsi,19-03-55-14,-8.169,-1.015,PA-0072
89,pepsi,19-03-55-65,-8.169,-1.015,PA-0072
90,pepsi,19-03-56-17,-8.169,-1.015,PA-0072
91,pepsi,19-03-56-67,-8.169,-1.015,PA-0072
92,pepsi,19-03-57-19,-8.169,-1.015,PA-0072
93,pepsi,19-03-57-70,-8.169,-1.015,PA-0072
94,pepsi,19-03-58-22,-8.169,-1.015,PA-0072
95,pepsi,19-03-58-72,-8.169,-1.015,PA-0072
96,pepsi,19-03-59-26,-8.169,-1.015,PA-0072
97,pepsi,19-03-59-79,-8.169,-1.015,PA-0072
98,pepsi,19-04-00-29,-8.169,-1.015,PA-0072
99,pepsi,19-04-00-81,-8.169,-1.015,PA-0072
100,pepsi,19-04-01-31,-8.169,-1.015,PA-0072
101,pepsi,19-04-01-84,-8.169,-1.015,PA-0072
102,pepsi,19-04-02-37,-8.169,-1.015,PA-0072
103,pepsi,19-04-02-87,-8.169,-1.015,PA-0072
104,pepsi,19-04-03-37,-8.169,-1.015,PA-0072
105,pepsi,19-04-03-91,-8.169,-1.015,PA-0072
106,pepsi,19-04-04-44,-8.169,-1.015,PA-0072
107,pepsi,19-04-04-94,-8.169,-1.015,PA-0072
108,pepsi,19-04-05-46,-8.169,-1.015,PA-0072
109,pepsi,19-04-05-97,-8.169,-1.015,PA-0072
110,pepsi,19-04-06-48,-8.169,-1.015,PA-0072
111,pepsi,19-04-07-01,-8.169,-1.015,PA-0072
112,pepsi,19-04-07-51,-8.169,-1.015,PA-0072
113,pepsi,19-04-08-03,-8.169,-1.015,PA-0072
114,pepsi,19-04-08-56,-8.169,-1.015,PA-0072
115,pepsi,19-04-09-08,-8.169,-1.015,PA-0072
116,pepsi,19-04-09-59,-8.169,-1.015,PA-0072
117,pepsi,19-04-10-09,-8.169,-1.015,PA-0072
118,pepsi,19-04-10-63,-8.169,-1.015,PA-0072
119,pepsi,19-04-11-13,-8.169,-1.015,PA-0072
120,pepsi,19-04-11-64,-8.169,-1.015,PA-0072
121,pepsi,19-04-12-14,-8.169,-1.015,PA-0072
122,pepsi,19-04-12-68,-8.169,-1.015,PA-0072
123,pepsi,19-04-13-19,-8.169,-1.015,PA-0072
124,pepsi,19-04-13-71,-8.169,-1.015,PA-0072
125,pepsi,19-04-14-23,-8.169,-1.015,PA-0072
126,pepsi,19-04-14-74,-8.169,-1.015,PA-0072
127,pepsi,19-04-15-25,-8.169,-1.015,none
128,pepsi,19-04-15-78,-8.169,-1.015,none
