row,id,time,position_x,position_z,looking_at
1,pro피실험자,12-42-59-79,0,0,none
2,pro피실험자,12-43-00-35,0.01,0.004,none
3,pro피실험자,12-43-00-88,0.01,0.004,none
4,pro피실험자,12-43-01-40,0.01,0.004,none
5,pro피실험자,12-43-01-93,0.01,0.004,none
6,pro피실험자,12-43-02-45,0.01,0.004,none
7,pro피실험자,12-43-02-97,0.01,0.004,none
8,pro피실험자,12-43-03-50,0.01,0.004,none
9,pro피실험자,12-43-04-03,0.01,0.004,none
10,pro피실험자,12-43-04-56,0.01,0.004,none
11,pro피실험자,12-43-05-11,0.01,0.004,none
12,pro피실험자,12-43-05-63,0.01,0.004,none
13,pro피실험자,12-43-06-16,0.01,0.004,none
14,pro피실험자,12-43-06-68,0.01,0.004,none
15,pro피실험자,12-43-07-18,0.01,0.004,none
16,pro피실험자,12-43-07-70,0.01,0.004,none
17,pro피실험자,12-43-08-21,0.01,0.004,none
18,pro피실험자,12-43-08-73,0.01,0.004,none
19,pro피실험자,12-43-09-25,0.01,0.004,none
20,pro피실험자,12-43-09-76,0.01,0.004,none
21,pro피실험자,12-43-10-28,0.01,0.004,none
22,pro피실험자,12-43-10-81,0.01,0.004,none
23,pro피실험자,12-43-11-33,0.01,0.004,none
24,pro피실험자,12-43-11-85,0.01,0.004,none
25,pro피실험자,12-43-12-36,0.01,0.004,none
26,pro피실험자,12-43-12-86,0.01,0.004,none
27,pro피실험자,12-43-13-43,0.01,0.004,none
28,pro피실험자,12-43-13-95,0.01,0.004,none
29,pro피실험자,12-43-14-48,0.01,0.004,none
30,pro피실험자,12-43-15-00,0.01,0.004,none
31,pro피실험자,12-43-15-51,0.01,0.004,none
32,pro피실험자,12-43-16-08,0.01,0.004,none
33,pro피실험자,12-43-16-63,0.01,0.004,none
34,pro피실험자,12-43-17-15,0.01,0.004,none
35,pro피실험자,12-43-17-66,0.01,0.004,none
36,pro피실험자,12-43-18-23,0.01,0.004,none
37,pro피실험자,12-43-18-78,0.01,0.004,none
38,pro피실험자,12-43-19-30,0.01,0.004,none
39,pro피실험자,12-43-19-81,0.01,0.004,none
40,pro피실험자,12-43-20-38,0.01,0.004,none
41,pro피실험자,12-43-20-88,0.01,0.004,none
42,pro피실험자,12-43-21-40,0.01,0.004,none
43,pro피실험자,12-43-21-91,0.01,0.004,none
44,pro피실험자,12-43-22-46,0.01,0.004,none
45,pro피실험자,12-43-22-98,0.01,0.004,none
46,pro피실험자,12-43-23-50,0.01,0.004,none
47,pro피실험자,12-43-24-01,0.01,0.004,none
48,pro피실험자,12-43-24-53,0.01,0.004,none
49,pro피실험자,12-43-25-06,0.01,0.004,none
50,pro피실험자,12-43-25-58,0.01,0.004,none
