row,id,time,position_x,position_z,looking_at
1,ruby,12-42-10-77,0,0,none
2,ruby,12-42-11-51,0.006,0.003,none
3,ruby,12-42-14-68,0.006,0.003,none
4,ruby,12-42-15-19,0.006,0.003,none
5,ruby,12-42-15-77,0.006,0.003,none
6,ruby,12-42-16-34,0.006,0.003,none
7,ruby,12-42-16-92,0.006,0.003,none
8,ruby,12-42-17-48,0.006,0.003,none
9,ruby,12-42-18-05,0.006,0.003,none
10,ruby,12-42-18-62,0.006,0.003,none
11,ruby,12-42-19-18,0.006,0.003,none
12,ruby,12-42-19-73,0.006,0.003,none
13,ruby,12-42-20-30,0.006,0.003,none
14,ruby,12-42-20-87,0.006,0.003,none
15,ruby,12-42-21-43,0.006,0.003,none
16,ruby,12-42-22-00,0.006,0.003,none
17,ruby,12-42-22-59,0.006,0.003,none
18,ruby,12-42-23-13,0.006,0.003,none
19,ruby,12-42-23-70,0.006,0.003,none
20,ruby,12-42-24-25,0.006,0.003,none
21,ruby,12-42-24-82,0.006,0.003,none
22,ruby,12-42-25-40,0.006,0.003,none
23,ruby,12-42-25-98,0.006,0.003,none
24,ruby,12-42-26-58,0.006,0.003,none
25,ruby,12-42-27-17,0.006,0.003,none
26,ruby,12-42-27-78,0.006,0.003,none
27,ruby,12-42-28-36,0.006,0.003,none
28,ruby,12-42-28-95,0.006,0.003,none
29,ruby,12-42-29-61,0.006,0.003,none
30,ruby,12-42-30-13,0.006,0.003,none
31,ruby,12-42-30-71,0.006,0.003,none
32,ruby,12-42-31-30,0.006,0.003,none
33,ruby,12-42-31-90,0.606,0.003,none
34,ruby,12-42-32-51,0.906,-0.297,none
35,ruby,12-42-33-10,0.906,-0.897,none
36,ruby,12-42-33-68,0.906,-0.897,none
37,ruby,12-42-34-28,0.906,-0.897,none
38,ruby,12-42-34-86,0.906,-0.897,none
39,ruby,12-42-35-44,0.906,-0.897,none
40,ruby,12-42-36-04,0.906,-0.897,none
41,ruby,12-42-36-61,0.906,-0.897,none
42,ruby,12-42-37-18,0.906,-0.897,none
43,ruby,12-42-37-74,0.906,-0.897,none
44,ruby,12-42-38-31,0.906,-0.897,none
45,ruby,12-42-38-91,0.906,-0.897,none
46,ruby,12-42-39-49,0.906,-0.897,none
47,ruby,12-42-40-06,0.906,-0.897,none
48,ruby,12-42-40-64,0.906,-0.897,none
49,ruby,12-42-41-23,0.906,-0.897,none
50,ruby,12-42-41-81,0.906,-0.897,none
51,ruby,12-42-42-34,0.906,-0.897,none
52,ruby,12-42-42-92,0.906,-0.897,none
53,ruby,12-42-43-49,0.906,-0.897,none
54,ruby,12-42-44-02,0.906,-0.897,none
55,ruby,12-42-44-56,0.905,-0.897,none
56,ruby,12-42-45-07,0.905,-0.897,none
57,ruby,12-42-45-59,0.905,-0.897,none
58,ruby,12-42-46-14,0.905,-0.897,none
59,ruby,12-42-46-69,0.905,-0.897,PA-0064
60,ruby,12-42-47-25,0.905,-0.897,PA-0064
61,ruby,12-42-47-80,0.905,-0.897,PA-0064
62,ruby,12-42-48-38,1.777,-1.339,PA-0064
63,ruby,12-42-48-94,1.816,-1.636,PA-0056
64,ruby,12-42-49-52,1.816,-1.636,none
65,ruby,12-42-50-09,1.816,-1.636,PA-0064
66,ruby,12-42-50-67,1.816,-1.636,PA-0064
67,ruby,12-42-51-24,1.816,-1.636,PA-0064
68,ruby,12-42-51-82,1.816,-1.636,PA-0064
69,ruby,12-42-52-39,1.816,-1.636,PA-0064
70,ruby,12-42-52-95,1.816,-1.636,PA-0064
71,ruby,12-42-53-52,1.816,-1.636,PA-0064
72,ruby,12-42-54-10,2.711,-1.731,none
73,ruby,12-42-54-69,3.308,-1.793,none
74,ruby,12-42-55-25,4.203,-1.887,PA-0067
75,ruby,12-42-55-82,4.203,-1.887,PA-0067
76,ruby,12-42-56-37,4.203,-1.887,PA-0067
77,ruby,12-42-56-94,4.203,-1.887,PA-0067
78,ruby,12-42-57-50,4.077,-3.081,PA-0067
79,ruby,12-42-58-09,4.077,-3.081,PA-0067
80,ruby,12-42-58-67,4.077,-3.081,none
81,ruby,12-42-59-29,4.077,-3.081,PA-0067
82,ruby,12-42-59-90,4.077,-3.081,PA-0067
83,ruby,12-43-00-53,4.077,-3.081,PA-0067
84,ruby,12-43-01-17,4.077,-3.081,PA-0067
85,ruby,12-43-01-80,3.808,-2.949,PA-0067
86,ruby,12-43-02-42,3.808,-2.949,PA-0067
87,ruby,12-43-03-03,3.808,-2.949,none
