row,id,time,position_x,position_z,looking_at
1,stayc,12-43-38-67,0,0,none
2,stayc,12-43-39-22,0.01,0.004,none
3,stayc,12-43-39-72,0.01,0.004,none
4,stayc,12-43-40-25,0.01,0.004,PA-0083
5,stayc,12-43-40-77,0.01,0.004,none
6,stayc,12-43-41-28,0.01,0.004,none
7,stayc,12-43-41-80,0.597,-0.112,none
8,stayc,12-43-42-30,1.885,-0.746,PA-0083
9,stayc,12-43-42-81,3.062,-1.171,none
10,stayc,12-43-43-33,3.5,-0.595,none
11,stayc,12-43-43-85,3.5,-0.595,none
12,stayc,12-43-44-38,3.5,-0.595,none
13,stayc,12-43-44-91,3.524,-0.944,none
14,stayc,12-43-45-43,3.543,-1.243,none
15,stayc,12-43-45-95,3.543,-1.243,none
16,stayc,12-43-46-46,3.543,-1.243,none
17,stayc,12-43-46-99,3.543,-1.243,none
18,stayc,12-43-47-52,3.543,-1.243,none
19,stayc,12-43-48-04,3.543,-1.243,none
20,stayc,12-43-48-56,3.543,-1.243,none
21,stayc,12-43-49-09,3.616,-1.551,none
22,stayc,12-43-49-61,4.781,-1.297,none
23,stayc,12-43-50-12,5.727,-0.851,none
24,stayc,12-43-50-65,5.727,-0.851,PA-0083
25,stayc,12-43-51-16,5.727,-0.851,PA-0083
26,stayc,12-43-51-67,5.727,-0.851,PA-0083
27,stayc,12-43-52-19,5.727,-0.851,PA-0083
28,stayc,12-43-52-70,5.727,-0.851,PA-0083
29,stayc,12-43-53-22,5.545,-0.769,none
30,stayc,12-43-53-75,5.054,-0.523,none
31,stayc,12-43-54-28,4.373,-0.281,none
32,stayc,12-43-54-80,2.992,-0.511,none
33,stayc,12-43-55-32,2.729,-1.917,PA-0083
34,stayc,12-43-55-85,2.937,-2.108,PA-0083
35,stayc,12-43-56-37,2.397,-2.044,none
36,stayc,12-43-56-88,2.748,-2.083,none
37,stayc,12-43-57-40,2.748,-2.083,none
38,stayc,12-43-57-93,2.748,-2.083,none
39,stayc,12-43-58-44,2.748,-2.083,none
40,stayc,12-43-58-96,2.748,-2.083,none
41,stayc,12-43-59-47,2.748,-2.083,none
42,stayc,12-43-59-98,2.748,-2.083,none
43,stayc,12-44-00-48,2.748,-2.083,none
44,stayc,12-44-01-01,2.748,-2.083,none
45,stayc,12-44-01-51,2.748,-2.083,none
46,stayc,12-44-02-04,2.748,-2.083,none
47,stayc,12-44-02-54,2.748,-2.083,none
48,stayc,12-44-03-06,2.748,-2.083,none
49,stayc,12-44-03-57,2.748,-2.083,none
50,stayc,12-44-04-09,2.748,-2.083,none
51,stayc,12-44-04-62,2.748,-2.083,none
52,stayc,12-44-05-14,2.748,-2.083,none
53,stayc,12-44-05-64,2.748,-2.083,none
54,stayc,12-44-06-15,2.748,-2.083,none
55,stayc,12-44-06-66,2.748,-2.083,none
56,stayc,12-44-07-17,2.748,-2.083,none
57,stayc,12-44-07-67,2.748,-2.083,none
58,stayc,12-44-08-20,2.748,-2.083,none
59,stayc,12-44-08-72,2.748,-2.083,none
60,stayc,12-44-09-23,2.748,-2.083,none
61,stayc,12-44-09-75,2.748,-2.083,none
62,stayc,12-44-10-26,2.748,-2.083,none
63,stayc,12-44-10-77,2.748,-2.083,none
64,stayc,12-44-11-28,2.748,-2.083,none
65,stayc,12-44-11-81,2.748,-2.083,none
66,stayc,12-44-12-32,2.349,-2.108,PA-0083
67,stayc,12-44-12-83,1.989,-2.234,none
68,stayc,12-44-13-36,1.547,-2.913,none
69,stayc,12-44-13-88,1.192,-2.802,PA-0064
70,stayc,12-44-14-39,0.677,-2.186,none
71,stayc,12-44-14-91,0.677,-2.186,none
72,stayc,12-44-15-41,0.637,-2.432,none
73,stayc,12-44-15-93,0.564,-3.126,none
74,stayc,12-44-16-44,0.564,-3.126,none
75,stayc,12-44-16-96,0.564,-3.126,none
76,stayc,12-44-17-47,0.556,-3.375,none
77,stayc,12-44-17-98,0.556,-3.375,none
78,stayc,12-44-18-50,0.566,-3.176,none
79,stayc,12-44-19-01,0.551,-3.475,none
80,stayc,12-44-19-54,0.551,-3.475,none
81,stayc,12-44-20-07,0.551,-3.475,none
82,stayc,12-44-20-59,0.55,-3.475,none
83,stayc,12-44-21-11,0.55,-3.475,none
84,stayc,12-44-21-64,0.55,-3.475,none
85,stayc,12-44-22-17,0.9,-2.74,PA-0064
86,stayc,12-44-22-70,1.249,-2.202,PA-0064
87,stayc,12-44-23-20,1.249,-2.202,PA-0088
88,stayc,12-44-23-72,1.249,-2.202,none
89,stayc,12-44-24-25,1.249,-2.202,none
90,stayc,12-44-24-78,1.726,-2.055,PA-0064
91,stayc,12-44-25-30,2.643,-1.839,none
92,stayc,12-44-25-83,2.685,-2.186,none
93,stayc,12-44-26-36,2.685,-2.186,none
94,stayc,12-44-26-88,2.685,-2.186,none
95,stayc,12-44-27-40,2.685,-2.186,none
96,stayc,12-44-27-93,2.685,-2.186,none
97,stayc,12-44-28-44,2.685,-2.186,none
98,stayc,12-44-28-98,2.685,-2.186,none
99,stayc,12-44-29-50,2.685,-2.186,none
100,stayc,12-44-30-01,2.685,-2.186,none
101,stayc,12-44-30-52,2.619,-1.24,none
102,stayc,12-44-31-03,3.088,-1.507,none
103,stayc,12-44-31-54,4.191,-1.53,PA-0067
104,stayc,12-44-32-04,4.219,-1.929,PA-0067
105,stayc,12-44-32-56,4.134,-2.421,PA-0067
106,stayc,12-44-33-09,3.296,-2.581,none
107,stayc,12-44-33-63,3.234,-2.976,none
108,stayc,12-44-34-14,3.762,-2.599,none
109,stayc,12-44-34-67,4.155,-2.02,none
110,stayc,12-44-35-21,4.077,-2.149,none
111,stayc,12-44-35-72,3.867,-2.919,PA-0067
112,stayc,12-44-36-22,3.456,-3.228,none
113,stayc,12-44-36-73,3.223,-3.507,none
114,stayc,12-44-37-24,3.304,-3.324,none
115,stayc,12-44-37-77,3.304,-3.324,none
116,stayc,12-44-38-27,3.304,-3.324,none
117,stayc,12-44-38-78,3.304,-3.324,none
118,stayc,12-44-39-31,3.304,-3.324,none
119,stayc,12-44-39-83,3.304,-3.324,none
120,stayc,12-44-40-35,3.771,-2.275,none
121,stayc,12-44-40-86,4.34,-0.998,none
122,stayc,12-44-41-36,4.34,-0.998,none
123,stayc,12-44-41-88,4.136,-0.779,none
124,stayc,12-44-42-39,2.779,-0.384,PA-0083
125,stayc,12-44-42-91,3.028,-0.369,none
126,stayc,12-44-43-44,2.231,-0.421,PA-0083
127,stayc,12-44-43-98,2.231,-0.421,PA-0083
128,stayc,12-44-44-51,2.231,-0.421,PA-0083
129,stayc,12-44-45-03,2.007,-0.163,PA-0083
130,stayc,12-44-45-54,2.029,0.186,PA-0083
131,stayc,12-44-46-07,2.476,0.149,PA-0083
132,stayc,12-44-46-59,2.565,0.618,PA-0083
133,stayc,12-44-47-11,3.011,0.948,none
134,stayc,12-44-47-61,3.136,1.432,none
