row,id,time,position_x,position_z,looking_at
1,user224,19-02-58-56,0,0,none
2,user224,19-02-59-33,0.009,0.004,none
3,user224,19-03-01-05,0.01,0.004,none
4,user224,19-03-01-64,0.01,0.004,none
5,user224,19-03-02-18,0.01,0.004,none
6,user224,19-03-02-73,0.01,0.004,none
7,user224,19-03-03-27,0.01,0.004,none
8,user224,19-03-03-80,0.01,0.004,none
9,user224,19-03-04-33,0.01,0.004,none
10,user224,19-03-04-87,0.01,0.004,none
11,user224,19-03-05-40,0.01,0.004,none
12,user224,19-03-05-93,0.01,0.004,none
13,user224,19-03-06-49,0.01,0.004,none
14,user224,19-03-07-03,0.01,0.004,none
15,user224,19-03-07-56,0.01,0.004,none
16,user224,19-03-08-09,0.01,0.004,none
17,user224,19-03-08-62,0.01,0.004,none
18,user224,19-03-09-16,0.01,0.004,none
19,user224,19-03-09-67,0.01,0.004,none
20,user224,19-03-10-24,0.01,0.004,none
21,user224,19-03-10-76,0.01,0.004,none
22,user224,19-03-11-29,0.01,0.004,none
23,user224,19-03-11-83,0.01,0.004,none
24,user224,19-03-12-36,0.01,0.004,none
25,user224,19-03-12-89,0.01,0.004,none
26,user224,19-03-13-41,0.01,0.004,PA-0085
27,user224,19-03-14-03,0.01,0.004,PA-0085
28,user224,19-03-14-54,0.01,0.004,PA-0085
29,user224,19-03-15-06,0.01,0.004,PA-0085
30,user224,19-03-15-58,0.01,0.004,PA-0085
31,user224,19-03-16-10,0.548,0.27,PA-0085
32,user224,19-03-16-64,1.624,0.8,PA-0085
33,user224,19-03-17-18,1.085,0.535,PA-0085
34,user224,19-03-17-71,0.278,0.137,PA-0085
35,user224,19-03-18-23,0.411,-0.132,PA-0063
36,user224,19-03-18-75,0.411,-0.132,PA-0063
37,user224,19-03-19-38,0.411,-0.132,PA-0063
38,user224,19-03-19-88,0.411,-0.132,PA-0063
39,user224,19-03-20-50,0.411,-0.132,PA-0063
40,user224,19-03-21-02,0.411,-0.132,PA-0063
41,user224,19-03-21-52,0.411,-0.132,PA-0063
42,user224,19-03-22-02,0.411,-0.132,none
43,user224,19-03-22-66,0.411,-0.132,none
44,user224,19-03-23-17,0.411,-0.132,none
45,user224,19-03-23-68,0.497,-0.726,none
46,user224,19-03-24-21,0.54,-1.023,none
47,user224,19-03-24-74,0.583,-1.32,none
48,user224,19-03-25-34,0.669,-1.913,none
49,user224,19-03-25-90,0.669,-1.913,none
50,user224,19-03-26-45,0.669,-1.913,none
51,user224,19-03-27-04,0.686,-1.614,none
52,user224,19-03-27-64,0.686,-1.614,none
53,user224,19-03-28-21,0.703,-1.314,none
54,user224,19-03-28-71,0.737,-0.715,none
55,user224,19-03-29-21,0.737,-0.715,none
56,user224,19-03-29-74,0.737,-0.715,none
57,user224,19-03-30-26,0.737,-0.715,none
58,user224,19-03-30-77,0.737,-0.715,none
59,user224,19-03-31-30,0.943,0.161,none
60,user224,19-03-31-91,1.08,0.745,none
61,user224,19-03-32-41,1.08,0.745,none
62,user224,19-03-32-94,1.664,0.607,PA-0083
63,user224,19-03-33-49,1.664,0.607,PA-0083
64,user224,19-03-34-04,1.664,0.607,none
65,user224,19-03-34-61,1.664,0.607,none
66,user224,19-03-35-16,1.958,0.666,none
67,user224,19-03-35-74,2.252,0.724,PA-0083
68,user224,19-03-36-31,2.311,0.43,PA-0083
69,user224,19-03-36-86,2.369,0.136,PA-0083
70,user224,19-03-37-40,2.369,0.136,PA-0083
71,user224,19-03-37-91,2.369,0.136,PA-0083
72,user224,19-03-38-45,2.369,0.136,PA-0083
73,user224,19-03-39-00,2.369,0.136,PA-0083
74,user224,19-03-39-53,2.369,0.136,PA-0083
75,user224,19-03-40-07,2.369,0.136,PA-0083
76,user224,19-03-40-61,2.369,0.136,PA-0083
77,user224,19-03-41-15,2.369,0.136,PA-0083
78,user224,19-03-41-70,2.369,0.136,PA-0083
79,user224,19-03-42-22,2.369,0.136,PA-0083
80,user224,19-03-42-72,2.369,0.136,PA-0083
81,user224,19-03-43-35,2.369,0.136,PA-0083
82,user224,19-03-43-97,2.369,0.136,PA-0083
83,user224,19-03-44-59,2.369,0.136,PA-0083
84,user224,19-03-45-10,2.369,0.136,PA-0083
85,user224,19-03-45-72,2.369,0.136,PA-0083
86,user224,19-03-46-35,2.369,0.136,PA-0083
87,user224,19-03-46-99,2.369,0.136,PA-0083
88,user224,19-03-47-60,2.369,0.136,PA-0083
89,user224,19-03-48-22,2.369,0.136,PA-0083
90,user224,19-03-48-72,2.369,0.136,PA-0083
91,user224,19-03-49-36,2.369,0.136,PA-0083
92,user224,19-03-49-96,2.957,0.253,PA-0083
93,user224,19-03-50-46,3.251,0.311,PA-0083
94,user224,19-03-50-99,3.839,0.428,none
95,user224,19-03-51-51,4.428,0.545,PA-0063
96,user224,19-03-52-02,4.722,0.604,PA-0063
97,user224,19-03-52-54,4.722,0.604,PA-0063
98,user224,19-03-53-08,4.722,0.604,PA-0063
99,user224,19-03-53-59,4.78,0.309,PA-0063
100,user224,19-03-54-13,4.78,0.309,PA-0063
101,user224,19-03-54-64,4.78,0.309,PA-0063
102,user224,19-03-55-18,4.78,0.309,PA-0063
103,user224,19-03-55-71,4.78,0.309,PA-0063
104,user224,19-03-56-23,4.78,0.309,PA-0063
105,user224,19-03-56-77,4.78,0.309,PA-0063
106,user224,19-03-57-30,4.78,0.309,PA-0063
107,user224,19-03-57-82,4.78,0.309,PA-0063
108,user224,19-03-58-35,4.78,0.309,PA-0063
109,user224,19-03-58-86,4.78,0.309,PA-0063
110,user224,19-03-59-40,4.78,0.309,PA-0063
111,user224,19-03-59-94,4.78,0.309,PA-0063
112,user224,19-04-00-55,4.78,0.309,PA-0063
113,user224,19-04-01-05,4.78,0.309,PA-0063
114,user224,19-04-01-57,4.78,0.309,PA-0063
115,user224,19-04-02-08,4.78,0.309,PA-0063
116,user224,19-04-02-60,4.78,0.309,PA-0063
117,user224,19-04-03-13,4.78,0.309,PA-0063
118,user224,19-04-03-67,4.78,0.309,PA-0063
119,user224,19-04-04-20,4.78,0.309,PA-0063
120,user224,19-04-04-73,4.78,0.309,PA-0063
121,user224,19-04-05-24,4.78,0.309,PA-0063
122,user224,19-04-05-80,4.78,0.309,none
123,user224,19-04-06-39,4.78,0.309,none
124,user224,19-04-06-99,4.78,0.309,PA-0063
125,user224,19-04-07-62,4.78,0.309,PA-0063
126,user224,19-04-08-22,4.78,0.309,PA-0063
127,user224,19-04-08-82,5.079,0.335,PA-0063
128,user224,19-04-09-41,5.079,0.335,PA-0063
129,user224,19-04-10-01,5.079,0.335,PA-0063
130,user224,19-04-10-62,5.079,0.335,PA-0063
131,user224,19-04-11-21,5.079,0.335,PA-0063
132,user224,19-04-11-81,5.079,0.335,PA-0063
133,user224,19-04-12-41,5.079,0.335,PA-0063
134,user224,19-04-13-04,5.079,0.335,PA-0063
135,user224,19-04-13-54,5.079,0.335,PA-0063
136,user224,19-04-14-06,5.079,0.335,PA-0063
137,user224,19-04-14-66,5.079,0.335,PA-0063
138,user224,19-04-15-16,5.079,0.335,PA-0063
139,user224,19-04-15-76,5.079,0.335,PA-0063
140,user224,19-04-16-26,5.079,0.335,PA-0063
141,user224,19-04-16-78,5.079,0.335,PA-0063
142,user224,19-04-17-28,5.053,0.634,PA-0063
143,user224,19-04-17-82,5.079,0.335,PA-0063
144,user224,19-04-18-33,5.079,0.335,PA-0063
145,user224,19-04-18-84,5.378,0.361,none
146,user224,19-04-19-40,5.677,0.388,none
147,user224,19-04-19-97,5.976,0.414,none
148,user224,19-04-20-55,6.274,0.44,none
149,user224,19-04-21-07,6.822,0.488,none
150,user224,19-04-21-69,7.121,0.513,PA-0024
151,user224,19-04-22-32,7.42,0.54,PA-0024
152,user224,19-04-22-92,7.42,0.54,PA-0024
153,user224,19-04-23-42,7.367,1.137,PA-0024
154,user224,19-04-23-92,7.288,2.033,PA-0024
155,user224,19-04-24-45,6.99,2.007,PA-0024
156,user224,19-04-24-99,6.99,2.007,none
157,user224,19-04-25-50,6.99,2.007,PA-0085
158,user224,19-04-26-09,6.99,2.007,none
159,user224,19-04-26-67,6.99,2.007,none
160,user224,19-04-27-26,6.99,2.007,none
161,user224,19-04-27-82,6.99,2.007,none
162,user224,19-04-28-39,7.75,2.258,none
163,user224,19-04-28-97,8.319,2.445,none
164,user224,19-04-29-59,8.225,2.73,none
165,user224,19-04-30-09,8.131,3.015,PA-0063
166,user224,19-04-30-71,7.943,3.585,PA-0085
167,user224,19-04-31-29,7.943,3.585,none
168,user224,19-04-31-89,7.943,3.585,none
169,user224,19-04-32-40,7.943,3.585,none
170,user224,19-04-33-01,7.943,3.585,none
171,user224,19-04-33-63,7.943,3.585,none
172,user224,19-04-34-13,7.943,3.585,none
