row,id,time,position_x,position_z,looking_at
1,user127,12-42-52-17,0,0,none
2,user127,12-42-52-68,0.006,0.003,none
3,user127,12-42-53-19,0.006,0.003,none
4,user127,12-42-53-69,0.006,0.003,none
5,user127,12-42-54-19,0.006,0.003,none
6,user127,12-42-54-70,0.006,0.003,none
7,user127,12-42-55-20,0.006,0.003,none
8,user127,12-42-55-71,0.006,0.003,none
9,user127,12-42-56-21,0.006,0.003,none
10,user127,12-42-56-71,0.006,0.003,none
11,user127,12-42-57-21,0.006,0.003,none
12,user127,12-42-57-72,0.006,0.003,none
13,user127,12-42-58-22,0.006,0.003,none
14,user127,12-42-58-73,0.006,0.003,none
15,user127,12-42-59-23,0.006,0.003,none
16,user127,12-42-59-74,0.006,0.003,none
17,user127,12-43-00-24,0.006,0.003,none
18,user127,12-43-00-74,0.006,0.003,none
19,user127,12-43-01-25,0.006,0.003,none
20,user127,12-43-01-75,0.006,0.003,none
21,user127,12-43-02-26,0.006,0.003,none
22,user127,12-43-02-76,0.006,0.003,none
23,user127,12-43-03-26,0.006,0.003,none
24,user127,12-43-03-76,0.006,0.003,none
25,user127,12-43-04-26,0.006,0.003,none
26,user127,12-43-04-77,0.006,0.003,none
27,user127,12-43-05-96,0.006,0.003,none
28,user127,12-43-06-47,0.006,0.003,none
29,user127,12-43-06-97,0.006,0.003,none
30,user127,12-43-07-47,0.006,0.003,none
31,user127,12-43-07-98,0.006,0.003,none
32,user127,12-43-08-48,0.006,0.003,none
33,user127,12-43-08-98,0.006,0.003,none
34,user127,12-43-09-48,0.006,0.003,none
35,user127,12-43-09-98,0.006,0.003,none
36,user127,12-43-10-49,0.006,0.003,none
37,user127,12-43-10-99,0.006,0.003,none
38,user127,12-43-11-49,0.006,0.003,none
39,user127,12-43-12-00,0.006,0.003,none
40,user127,12-43-12-50,0.006,0.003,none
41,user127,12-43-13-00,0.006,0.003,none
42,user127,12-43-13-51,0.006,0.003,none
43,user127,12-43-14-01,0.006,0.003,none
44,user127,12-43-14-51,0.006,0.003,none
45,user127,12-43-15-01,0.006,0.003,none
46,user127,12-43-15-52,0.006,0.003,none
47,user127,12-43-16-02,0.006,0.003,none
48,user127,12-43-16-52,0.006,0.003,none
49,user127,12-43-17-03,0.006,0.003,none
50,user127,12-43-17-53,0.006,0.003,none
51,user127,12-43-18-03,0.006,0.003,none
52,user127,12-43-18-54,0.006,0.003,none
53,user127,12-43-19-04,0.006,0.003,none
54,user127,12-43-19-54,0.006,0.003,none
55,user127,12-43-20-04,0.006,0.003,none
56,user127,12-43-20-55,0.006,0.003,none
57,user127,12-43-21-06,0.006,0.003,none
58,user127,12-43-21-56,0.006,0.003,none
59,user127,12-43-22-06,0.006,0.003,none
60,user127,12-43-22-56,0.006,0.003,none
61,user127,12-43-23-07,0.006,0.003,none
62,user127,12-43-23-57,0.006,0.003,none
63,user127,12-43-24-07,0.006,0.003,none
64,user127,12-43-24-58,0.006,0.003,none
65,user127,12-43-25-08,0.006,0.003,none
66,user127,12-43-25-59,0.006,0.003,none
67,user127,12-43-26-09,0.006,0.003,none
68,user127,12-43-26-59,0.006,0.003,none
69,user127,12-43-27-09,0.006,0.003,none
70,user127,12-43-27-60,0.006,0.003,none
71,user127,12-43-28-10,0.006,0.003,none
72,user127,12-43-28-61,0.006,0.003,none
73,user127,12-43-29-11,0.006,0.003,none
74,user127,12-43-29-61,0.006,0.003,none
75,user127,12-43-30-12,0.006,0.003,none
76,user127,12-43-30-62,0.006,0.003,none
77,user127,12-43-31-12,0.006,0.003,none
78,user127,12-43-31-63,0.006,0.003,none
79,user127,12-43-32-13,0.006,0.003,none
80,user127,12-43-32-63,0.006,0.003,none
81,user127,12-43-33-14,0.006,0.003,none
82,user127,12-43-33-64,0.006,0.003,none
83,user127,12-43-34-15,0.006,0.003,none
84,user127,12-43-34-65,0.006,0.003,none
85,user127,12-43-35-16,0.006,0.003,none
86,user127,12-43-35-67,0.006,0.003,none
87,user127,12-43-36-17,0.006,0.003,none
88,user127,12-43-36-67,0.006,0.003,none
89,user127,12-43-37-17,0.006,0.003,none
90,user127,12-43-37-68,0.006,0.003,none
91,user127,12-43-38-19,0.006,0.003,none
92,user127,12-43-38-69,0.006,0.003,none
93,user127,12-43-39-19,0.006,0.003,none
94,user127,12-43-39-69,0.006,0.003,none
95,user127,12-43-40-19,0.006,0.003,none
96,user127,12-43-40-70,0.006,0.003,none
97,user127,12-43-41-20,0.006,0.003,none
98,user127,12-43-41-70,0.006,0.003,none
99,user127,12-43-42-21,0.006,0.003,none
100,user127,12-43-42-71,0.006,0.003,none
101,user127,12-43-43-21,0.006,0.003,none
102,user127,12-43-43-71,0.006,0.003,none
103,user127,12-43-44-22,0.006,0.003,none
104,user127,12-43-44-72,0.006,0.003,none
105,user127,12-43-45-23,0.006,0.003,none
106,user127,12-43-45-73,0.006,0.003,none
107,user127,12-43-46-24,0.006,0.003,none
108,user127,12-43-46-74,0.006,0.003,none
109,user127,12-43-47-24,0.006,0.003,none
110,user127,12-43-47-75,0.006,0.003,none
111,user127,12-43-48-25,0.006,0.003,none
112,user127,12-43-48-76,0.006,0.003,none
113,user127,12-43-49-26,0.006,0.003,none
114,user127,12-43-49-76,0.006,0.003,none
115,user127,12-43-50-27,0.006,0.003,none
116,user127,12-43-50-78,0.006,0.003,none
117,user127,12-43-51-28,0.006,0.003,none
118,user127,12-43-51-79,0.006,0.003,none
119,user127,12-43-52-30,0.006,0.003,none
120,user127,12-43-52-81,0.006,0.003,none
121,user127,12-43-53-31,0.006,0.003,none
122,user127,12-43-53-82,0.006,0.003,none
123,user127,12-43-54-32,0.006,0.003,none
124,user127,12-43-54-82,0.006,0.003,none
125,user127,12-43-55-33,0.006,0.003,none
