row,id,time,position_x,position_z,looking_at
1,672,05-44-19-88,0,0,PA-0027
2,672,05-44-20-77,0,0,PA-0027
3,672,05-44-21-28,0,0,PA-0027
4,672,05-44-21-79,0,0,PA-0027
5,672,05-44-22-30,0,0,PA-0027
6,672,05-44-22-82,0,0,PA-0027
7,672,05-44-23-33,0,0,PA-0027
8,672,05-44-23-84,0,0,PA-0027
9,672,05-44-24-35,0,0,PA-0027
10,672,05-44-24-85,0,0,PA-0027
11,672,05-44-25-38,0,0,PA-0027
12,672,05-44-25-89,0,0,PA-0027
13,672,05-44-26-40,0,0,PA-0027
14,672,05-44-26-90,0,0,PA-0027
15,672,05-44-27-42,0,0,PA-0027
16,672,05-44-27-93,0,0,PA-0027
17,672,05-44-28-44,0,0,PA-0027
18,672,05-44-28-96,0,0,PA-0027
19,672,05-44-29-47,0,0,PA-0027
20,672,05-44-29-99,0,0,none
21,672,05-44-30-49,0,0,none
22,672,05-44-30-99,0,0,none
23,672,05-44-31-51,0,0,none
24,672,05-44-32-03,0,0,none
25,672,05-44-32-53,0,0,none
26,672,05-44-33-03,0,0,none
27,672,05-44-33-53,0,0,none
28,672,05-44-34-04,0,0,none
29,672,05-44-34-56,0,0,none
30,672,05-44-35-06,0,0,none
31,672,05-44-35-57,0,0,none
32,672,05-44-36-07,0,0,none
33,672,05-44-36-58,0,0,none
34,672,05-44-37-09,0,0,none
35,672,05-44-37-60,0,0,PA-0023
36,672,05-44-38-11,0,0,PA-0023
37,672,05-44-38-61,0.075,-1.435,PA-0023
38,672,05-44-39-12,0.152,-2.892,PA-0023
39,672,05-44-39-63,0.236,-4.494,PA-0023
40,672,05-44-40-14,0.262,-4.993,PA-0023
41,672,05-44-40-65,0.207,-3.953,PA-0023
42,672,05-44-41-18,0.124,-2.372,PA-0023
43,672,05-44-41-70,0.052,-0.999,PA-0023
44,672,05-44-42-22,0.124,-2.372,PA-0023
45,672,05-44-42-75,0.191,-3.641,PA-0023
46,672,05-44-43-26,1.481,-3.573,PA-0023
47,672,05-44-43-76,1.293,-3.583,PA-0023
48,672,05-44-44-28,0.045,-3.648,none
49,672,05-44-44-79,1.142,-3.487,PA-0023
50,672,05-44-45-29,0.995,-2,none
51,672,05-44-45-80,0.916,-0.481,none
52,672,05-44-46-31,0.963,-1.376,PA-0023
53,672,05-44-46-81,1.042,-2.895,PA-0023
54,672,05-44-47-33,1.124,-4.455,PA-0023
55,672,05-44-47-83,2.503,-4.508,PA-0023
56,672,05-44-48-34,4.001,-4.429,none
57,672,05-44-48-85,5.343,-4.705,PA-0026
58,672,05-44-49-36,5.423,-6.245,PA-0026
59,672,05-44-49-87,5.037,-7.599,PA-0026
60,672,05-44-50-40,5.887,-7.749,PA-0026
61,672,05-44-50-92,6.262,-7.73,none
62,672,05-44-51-42,5.076,-7.792,PA-0026
63,672,05-44-51-93,5.076,-7.792,PA-0026
64,672,05-44-52-44,5.076,-7.792,PA-0026
65,672,05-44-52-95,5.076,-7.792,PA-0026
66,672,05-44-53-47,4.036,-7.846,none
67,672,05-44-54-00,4.001,-9.184,none
68,672,05-44-54-52,3.938,-7.977,none
69,672,05-44-55-02,3.86,-6.479,none
70,672,05-44-55-54,3.829,-5.896,none
71,672,05-44-56-04,3.829,-5.896,none
72,672,05-44-56-57,3.911,-7.457,none
73,672,05-44-57-07,3.985,-8.872,none
74,672,05-44-57-58,3.985,-8.872,none
75,672,05-44-58-11,3.985,-8.872,none
76,672,05-44-58-62,3.985,-8.872,none
77,672,05-44-59-13,3.985,-8.872,none
78,672,05-44-59-65,3.985,-8.872,none
79,672,05-45-00-18,3.969,-8.559,none
80,672,05-45-00-69,3.888,-7.02,none
81,672,05-45-01-21,3.839,-6.084,none
82,672,05-45-01-72,5.295,-6.007,PA-0026
83,672,05-45-02-24,6.523,-5.943,none
84,672,05-45-02-75,5.57,-6.076,PA-0026
85,672,05-45-03-27,5.585,-7.557,PA-0026
86,672,05-45-03-78,5.244,-8.221,PA-0026
87,672,05-45-04-29,5.244,-8.221,PA-0026
88,672,05-45-04-81,5.244,-8.221,PA-0026
89,672,05-45-05-31,5.244,-8.221,PA-0026
90,672,05-45-05-82,5.244,-8.221,PA-0026
91,672,05-45-06-34,5.244,-8.221,PA-0026
92,672,05-45-06-85,5.244,-8.221,PA-0026
93,672,05-45-07-37,5.244,-8.221,PA-0026
94,672,05-45-07-89,5.244,-8.221,PA-0026
95,672,05-45-08-40,5.244,-8.221,PA-0026
96,672,05-45-08-92,5.244,-8.221,PA-0026
97,672,05-45-09-43,5.244,-9.096,PA-0026
98,672,05-45-09-95,5.244,-9.367,PA-0026
99,672,05-45-10-45,5.244,-9.367,PA-0026
100,672,05-45-10-95,5.244,-9.367,PA-0026
101,672,05-45-11-46,5.244,-9.367,PA-0026
102,672,05-45-11-98,5.244,-9.367,PA-0026
103,672,05-45-12-49,5.244,-9.367,PA-0026
104,672,05-45-13-00,5.244,-9.367,PA-0026
105,672,05-45-13-51,5.244,-9.367,PA-0026
106,672,05-45-14-01,5.244,-9.367,PA-0026
107,672,05-45-14-51,5.246,-9.742,PA-0026
108,672,05-45-15-04,5.25,-10.392,none
109,672,05-45-15-54,5.248,-9.872,PA-0026
110,672,05-45-16-06,5.248,-9.872,PA-0026
