row,id,time,position_x,position_z,looking_at
1,92doolgi,12-44-21-01,0,0,PA-0027
2,92doolgi,12-44-21-74,0,0,PA-0027
3,92doolgi,12-44-23-86,0,0,PA-0027
4,92doolgi,12-44-24-38,0,0,PA-0027
5,92doolgi,12-44-24-89,0,0,PA-0027
6,92doolgi,12-44-25-41,0,0,PA-0027
7,92doolgi,12-44-25-93,0,0,PA-0027
8,92doolgi,12-44-26-43,0,0,PA-0027
9,92doolgi,12-44-26-95,0,0,PA-0027
10,92doolgi,12-44-27-46,0,0.3,PA-0027
11,92doolgi,12-44-27-99,0,0.03,PA-0027
12,92doolgi,12-44-28-50,0,-1.53,none
13,92doolgi,12-44-29-00,0,-2.01,none
14,92doolgi,12-44-29-51,0,-3.54,none
15,92doolgi,12-44-30-03,0,-4.021,none
16,92doolgi,12-44-30-55,-0.42,-3.241,none
17,92doolgi,12-44-31-07,-0.764,-2.55,none
18,92doolgi,12-44-31-59,-1.18,-2.1,none
19,92doolgi,12-44-32-09,-2.681,-2.1,none
20,92doolgi,12-44-32-62,-3.19,-2.1,none
21,92doolgi,12-44-33-13,-3.521,-2.1,none
22,92doolgi,12-44-33-65,-1.99,-2.1,none
23,92doolgi,12-44-34-16,-0.431,-2.1,none
24,92doolgi,12-44-34-67,0.499,-2.1,PA-0027
25,92doolgi,12-44-35-19,1.063,-2.1,none
26,92doolgi,12-44-35-70,-0.288,-2.1,none
27,92doolgi,12-44-36-21,-1.093,-2.1,PA-0087
28,92doolgi,12-44-36-73,-1.093,-1.5,PA-0087
29,92doolgi,12-44-37-23,-1.093,-1.5,PA-0087
30,92doolgi,12-44-37-75,-1.093,-1.5,PA-0087
31,92doolgi,12-44-38-25,-1.093,-1.5,PA-0087
32,92doolgi,12-44-38-77,-1.093,-1.5,PA-0087
33,92doolgi,12-44-39-27,-2.473,-1.5,none
34,92doolgi,12-44-39-78,-3.373,-1.29,none
35,92doolgi,12-44-40-28,-3.373,0.21,none
36,92doolgi,12-44-40-78,-3.373,0.33,none
37,92doolgi,12-44-41-30,-3.883,0.33,none
38,92doolgi,12-44-41-82,-5.413,0.33,none
39,92doolgi,12-44-42-33,-5.923,0.69,none
40,92doolgi,12-44-42-84,-5.923,1.02,none
41,92doolgi,12-44-43-36,-5.923,1.02,none
42,92doolgi,12-44-43-88,-5.923,1.02,none
43,92doolgi,12-44-44-38,-5.923,1.02,none
44,92doolgi,12-44-44-90,-5.923,1.02,none
45,92doolgi,12-44-45-43,-5.923,1.02,none
46,92doolgi,12-44-45-96,-5.923,1.02,none
47,92doolgi,12-44-46-48,-5.923,1.02,none
48,92doolgi,12-44-46-99,-5.923,1.02,none
49,92doolgi,12-44-47-50,-5.923,1.02,none
50,92doolgi,12-44-48-01,-5.923,1.02,none
51,92doolgi,12-44-48-52,-5.923,1.02,none
52,92doolgi,12-44-49-03,-5.923,1.02,none
53,92doolgi,12-44-49-55,-5.923,1.02,none
54,92doolgi,12-44-50-06,-5.923,1.02,none
55,92doolgi,12-44-50-59,-5.923,1.02,none
56,92doolgi,12-44-51-11,-5.923,1.02,none
57,92doolgi,12-44-51-63,-5.923,1.02,none
58,92doolgi,12-44-52-13,-5.923,1.02,none
59,92doolgi,12-44-52-63,-5.923,1.02,none
60,92doolgi,12-44-53-15,-5.923,1.02,none
