row,id,time,position_x,position_z,looking_at
1,CKS,13-05-27-63,0,0,PA-0027
2,CKS,13-05-28-72,0,0,PA-0027
3,CKS,13-05-29-25,0,0,PA-0025
4,CKS,13-05-29-79,0,0,PA-0025
5,CKS,13-05-30-30,0,0,none
6,CKS,13-05-30-86,0,0,PA-0089
7,CKS,13-05-31-39,0,0,none
8,CKS,13-05-31-92,0,0,none
9,CKS,13-05-32-44,-0.737,-0.309,none
10,CKS,13-05-32-98,-1.003,-1.497,none
11,CKS,13-05-33-52,-0.265,-2.012,none
12,CKS,13-05-34-05,0.645,-3.259,none
13,CKS,13-05-34-61,0.944,-4.836,none
14,CKS,13-05-35-13,2.351,-5.294,none
15,CKS,13-05-35-65,3.897,-5.587,KO-0009
16,CKS,13-05-36-18,5.245,-5.966,KO-0009
17,CKS,13-05-36-72,5.043,-7.548,KO-0009
18,CKS,13-05-37-25,4.978,-7.567,none
19,CKS,13-05-37-78,5.098,-6.646,KO-0009
20,CKS,13-05-38-32,6.666,-7.017,KO-0009
21,CKS,13-05-38-82,6.829,-8.004,KO-0009
22,CKS,13-05-39-38,6.192,-9.058,KO-0009
23,CKS,13-05-39-93,6.367,-7.539,KO-0009
24,CKS,13-05-40-48,6.814,-6.728,KO-0009
25,CKS,13-05-40-99,6.527,-7.549,KO-0009
26,CKS,13-05-41-54,5.508,-6.769,none
27,CKS,13-05-42-08,6.035,-5.885,KO-0009
28,CKS,13-05-42-63,6.515,-7.015,KO-0009
29,CKS,13-05-43-13,6.839,-7.527,KO-0009
30,CKS,13-05-43-71,6.394,-7.033,KO-0009
31,CKS,13-05-44-26,6.614,-6.209,PA-0095
32,CKS,13-05-44-81,7.119,-5.304,KO-0009
33,CKS,13-05-45-38,8.534,-6.24,KO-0009
34,CKS,13-05-45-96,8.699,-7.225,KO-0009
35,CKS,13-05-46-49,8.26,-7.795,KO-0009
36,CKS,13-05-47-01,9.467,-8.07,KO-0009
37,CKS,13-05-47-56,9.726,-8.723,PA-0098
38,CKS,13-05-48-11,9.339,-9.389,none
39,CKS,13-05-48-65,8.643,-8.653,KO-0009
40,CKS,13-05-49-15,8.35,-7.586,PA-0095
41,CKS,13-05-49-70,8.486,-7.016,KO-0009
42,CKS,13-05-50-22,8.872,-6.495,KO-0009
43,CKS,13-05-50-72,9.327,-6.013,KO-0009
44,CKS,13-05-51-28,8.575,-7.507,KO-0009
45,CKS,13-05-51-80,8.844,-8.95,KO-0009
46,CKS,13-05-52-37,8.456,-8.83,none
47,CKS,13-05-52-93,8.603,-8.076,KO-0009
48,CKS,13-05-53-43,9.46,-7.116,KO-0009
49,CKS,13-05-53-95,9.013,-5.9,PA-0095
50,CKS,13-05-54-53,8.942,-4.814,PA-0095
51,CKS,13-05-55-08,8.658,-6.216,KO-0009
52,CKS,13-05-55-58,9.933,-7.004,KO-0009
53,CKS,13-05-56-14,10.269,-8.409,PA-0098
54,CKS,13-05-56-69,9.289,-8.587,KO-0009
55,CKS,13-05-57-20,8.529,-8.076,KO-0009
56,CKS,13-05-57-71,8.149,-6.995,KO-0009
57,CKS,13-05-58-23,9.372,-6.583,KO-0009
58,CKS,13-05-58-74,9.844,-6.582,KO-0009
59,CKS,13-05-59-30,9.518,-8.031,KO-0009
60,CKS,13-05-59-85,8.501,-8.767,none
61,CKS,13-06-00-36,8.254,-7.95,KO-0009
62,CKS,13-06-00-89,8.881,-7.862,KO-0009
63,CKS,13-06-01-43,8.838,-8.841,PA-0098
64,CKS,13-06-01-95,8.509,-9.365,none
65,CKS,13-06-02-45,8.921,-9.258,PA-0098
66,CKS,13-06-03-01,8.447,-9.259,KO-0009
67,CKS,13-06-03-57,8.977,-9.417,PA-0098
68,CKS,13-06-04-12,8.199,-8.461,KO-0009
69,CKS,13-06-04-63,7.714,-8.421,KO-0009
70,CKS,13-06-05-20,8.512,-8.893,KO-0009
71,CKS,13-06-05-76,8.178,-9.939,KO-0009
72,CKS,13-06-06-29,7.606,-10.259,KO-0009
73,CKS,13-06-06-83,7.381,-8.783,KO-0009
74,CKS,13-06-07-40,7.32,-7.246,KO-0009
75,CKS,13-06-07-91,7.752,-5.79,KO-0009
76,CKS,13-06-08-42,8.272,-4.447,none
77,CKS,13-06-08-96,7.712,-4.841,none
78,CKS,13-06-09-49,7.691,-5.8,PA-0095
79,CKS,13-06-10-06,8.566,-5.614,none
80,CKS,13-06-10-57,7.865,-6.968,KO-0009
81,CKS,13-06-11-08,7.055,-7.313,KO-0009
82,CKS,13-06-11-58,7.526,-8.238,KO-0009
83,CKS,13-06-12-15,8.671,-8.855,KO-0009
84,CKS,13-06-12-71,8.608,-10.179,PA-0098
85,CKS,13-06-13-24,7.58,-10.279,KO-0009
86,CKS,13-06-13-78,7.098,-9.096,none
87,CKS,13-06-14-33,6.045,-8.97,KO-0009
88,CKS,13-06-14-88,6.465,-9.306,none
89,CKS,13-06-15-43,6.563,-7.806,KO-0009
90,CKS,13-06-15-99,6.67,-7.929,KO-0009
91,CKS,13-06-16-56,8.215,-8.005,KO-0009
92,CKS,13-06-17-07,9.097,-9.229,KO-0009
93,CKS,13-06-17-62,8.257,-10.138,KO-0009
94,CKS,13-06-18-17,7.084,-9.079,KO-0009
95,CKS,13-06-18-73,5.499,-9.361,KO-0009
96,CKS,13-06-19-27,3.961,-9.802,KO-0009
97,CKS,13-06-19-82,3.222,-8.745,KO-0009
98,CKS,13-06-20-34,3.035,-7.194,KO-0009
99,CKS,13-06-20-89,3.826,-5.766,none
100,CKS,13-06-21-44,4.589,-4.318,KO-0009
101,CKS,13-06-21-96,4.882,-3.587,KO-0009
102,CKS,13-06-22-48,5.508,-4.71,none
103,CKS,13-06-23-02,6.649,-5.642,KO-0009
104,CKS,13-06-23-57,6.426,-7.281,KO-0009
105,CKS,13-06-24-13,6.786,-8.911,KO-0009
106,CKS,13-06-24-70,6.459,-10.139,KO-0009
107,CKS,13-06-25-23,6.598,-9.053,PA-0095
108,CKS,13-06-25-73,7.785,-8.207,none
109,CKS,13-06-26-23,8.41,-6.924,KO-0009
110,CKS,13-06-26-76,7.563,-5.819,PA-0101
111,CKS,13-06-27-27,6.213,-5.12,KO-0009
112,CKS,13-06-27-83,6.45,-6.369,PA-0052
113,CKS,13-06-28-38,7.349,-7.407,PA-0095
114,CKS,13-06-28-96,6.202,-8.516,KO-0009
115,CKS,13-06-29-52,6.118,-9.638,KO-0009
116,CKS,13-06-30-06,7.614,-9.116,KO-0009
117,CKS,13-06-30-63,8.985,-8.192,KO-0009
118,CKS,13-06-31-16,8.656,-6.658,none
119,CKS,13-06-31-69,7.558,-5.629,KO-0009
120,CKS,13-06-32-20,7.842,-5.879,none
121,CKS,13-06-32-70,8.299,-6.814,KO-0009
122,CKS,13-06-33-22,8.248,-8.275,PA-0077
123,CKS,13-06-33-79,7.708,-9.271,none
124,CKS,13-06-34-34,7.997,-9.827,PA-0098
125,CKS,13-06-34-89,9.23,-9.839,KO-0007
126,CKS,13-06-35-44,8.788,-8.423,KO-0009
