row,id,time,position_x,position_z,looking_at
1,CYA,19-03-42-23,0,0,PA-0027
2,CYA,19-03-43-26,0,0,PA-0027
3,CYA,19-03-43-78,0,0,PA-0027
4,CYA,19-03-44-29,0,0,PA-0027
5,CYA,19-03-44-81,0,0,PA-0027
6,CYA,19-03-45-31,0,0,PA-0027
7,CYA,19-03-45-81,0,0,PA-0027
8,CYA,19-03-46-31,0,0,PA-0027
9,CYA,19-03-46-81,0,0,PA-0027
10,CYA,19-03-47-31,0,0,PA-0027
11,CYA,19-03-47-81,0,0,PA-0027
12,CYA,19-03-48-33,0,0,PA-0027
13,CYA,19-03-48-83,0,0,PA-0027
14,CYA,19-03-49-34,0,0,PA-0027
15,CYA,19-03-49-86,0,0,none
16,CYA,19-03-50-36,0,0,PA-0027
17,CYA,19-03-50-88,0,0,PA-0027
18,CYA,19-03-51-38,0,0,PA-0027
19,CYA,19-03-51-89,0,0,PA-0027
20,CYA,19-03-52-40,0,0,PA-0027
21,CYA,19-03-52-91,0,0,PA-0027
22,CYA,19-03-53-41,0,0,PA-0027
23,CYA,19-03-53-93,0,0,PA-0027
24,CYA,19-03-54-43,0,0,PA-0027
25,CYA,19-03-54-94,0,0,PA-0027
26,CYA,19-03-55-46,0,0,PA-0027
27,CYA,19-03-55-96,0,0,PA-0027
28,CYA,19-03-56-46,0,0,PA-0027
29,CYA,19-03-56-98,0,0,PA-0027
30,CYA,19-03-57-50,0,0,PA-0027
31,CYA,19-03-58-01,0,0,PA-0027
32,CYA,19-03-58-51,0,0,PA-0027
33,CYA,19-03-59-05,0,0,PA-0027
34,CYA,19-03-59-56,0,0,PA-0027
35,CYA,19-04-00-08,0,0,PA-0027
36,CYA,19-04-00-62,0,0,PA-0027
37,CYA,19-04-01-15,0,0,PA-0027
38,CYA,19-04-01-65,0,0,PA-0027
39,CYA,19-04-02-16,0,0,PA-0027
40,CYA,19-04-02-68,0,0,PA-0027
41,CYA,19-04-03-19,0,0,PA-0027
42,CYA,19-04-03-69,0,0,PA-0027
43,CYA,19-04-04-20,0,0,PA-0027
44,CYA,19-04-04-69,0,0,PA-0027
45,CYA,19-04-05-21,0,0,PA-0027
46,CYA,19-04-05-73,0,0,PA-0027
47,CYA,19-04-06-23,0,0,PA-0027
48,CYA,19-04-06-75,0,0,PA-0027
49,CYA,19-04-07-26,0,0,PA-0027
50,CYA,19-04-07-78,0,0,PA-0027
51,CYA,19-04-08-28,0,0,PA-0027
52,CYA,19-04-08-78,0,0,PA-0027
53,CYA,19-04-09-29,0,0,PA-0027
54,CYA,19-04-09-80,0,0,PA-0027
55,CYA,19-04-10-29,0,0,PA-0027
56,CYA,19-04-10-81,0,0,PA-0027
57,CYA,19-04-11-31,0,0,PA-0027
58,CYA,19-04-11-83,0,0,PA-0027
59,CYA,19-04-12-33,0,0,PA-0027
60,CYA,19-04-12-85,0,0,PA-0027
61,CYA,19-04-13-36,0,0,PA-0027
62,CYA,19-04-13-86,0,0,PA-0027
63,CYA,19-04-14-38,0,0,PA-0027
64,CYA,19-04-14-88,0,0,PA-0027
65,CYA,19-04-15-40,0,0,PA-0027
66,CYA,19-04-15-89,0,0,PA-0027
67,CYA,19-04-16-40,0,0,PA-0027
68,CYA,19-04-16-91,0,0,PA-0027
