row,id,time,position_x,position_z,looking_at
1,DK,12-44-25-04,0,0,PA-0027
2,DK,12-44-25-69,0,0,PA-0027
3,DK,12-44-26-20,0,0,PA-0027
4,DK,12-44-26-72,0,0,PA-0027
5,DK,12-44-27-22,0,0,PA-0027
6,DK,12-44-27-73,0,0,PA-0027
7,DK,12-44-28-25,0,0,PA-0027
8,DK,12-44-28-77,0,0,PA-0027
9,DK,12-44-29-29,0,0,PA-0027
10,DK,12-44-29-79,0,0,PA-0027
11,DK,12-44-30-30,0,0,PA-0027
12,DK,12-44-30-82,0,0,PA-0027
13,DK,12-44-31-34,0,0,PA-0027
14,DK,12-44-31-85,0,0,PA-0027
15,DK,12-44-32-35,0,0,PA-0027
16,DK,12-44-32-87,0,0,PA-0027
17,DK,12-44-33-39,0,0,PA-0027
18,DK,12-44-33-90,0,0,PA-0027
19,DK,12-44-34-42,0,0,PA-0027
20,DK,12-44-34-94,0,0,PA-0027
21,DK,12-44-35-44,0,0,PA-0027
22,DK,12-44-35-95,0,0,PA-0027
23,DK,12-44-36-46,0,0,PA-0027
24,DK,12-44-36-97,0,0,PA-0027
25,DK,12-44-37-47,0,0,PA-0027
26,DK,12-44-37-99,0,0,PA-0027
27,DK,12-44-38-49,0,0,PA-0027
28,DK,12-44-39-00,0,0,PA-0027
29,DK,12-44-39-50,0,0,PA-0027
30,DK,12-44-40-02,0,0,PA-0027
31,DK,12-44-40-54,0,0,PA-0027
32,DK,12-44-41-05,0,0,PA-0027
33,DK,12-44-41-57,0,-0.6,none
34,DK,12-44-42-09,-0.4,-1.25,none
35,DK,12-44-42-60,-1.947,-1.25,none
36,DK,12-44-43-10,-3.329,-0.967,none
37,DK,12-44-43-62,-3.485,-0.861,none
38,DK,12-44-44-14,-3.485,-0.861,none
39,DK,12-44-44-63,-2.135,-0.861,none
40,DK,12-44-45-15,-0.673,-0.649,none
41,DK,12-44-45-67,0.672,-1.144,PA-0027
42,DK,12-44-46-17,0.222,-1.144,PA-0027
43,DK,12-44-46-67,0.222,-1.144,PA-0027
44,DK,12-44-47-19,0.222,-1.144,PA-0027
45,DK,12-44-47-70,0.822,-1.144,PA-0027
46,DK,12-44-48-22,0.422,-1.144,PA-0027
47,DK,12-44-48-73,0.422,-1.144,PA-0027
48,DK,12-44-49-24,0.422,-1.144,none
49,DK,12-44-49-75,0.422,-1.144,none
50,DK,12-44-50-27,0.419,-1.794,none
51,DK,12-44-50-77,0.412,-3.294,none
52,DK,12-44-51-29,0.419,-3.644,none
53,DK,12-44-51-79,0.746,-3.77,none
54,DK,12-44-52-30,1.523,-3.69,none
55,DK,12-44-52-80,1.523,-3.69,none
56,DK,12-44-53-32,1.536,-3.738,none
57,DK,12-44-53-84,1.647,-4.73,PA-0023
58,DK,12-44-54-35,1.647,-4.73,PA-0023
59,DK,12-44-54-85,1.647,-4.73,PA-0023
60,DK,12-44-55-37,1.647,-4.73,PA-0023
61,DK,12-44-55-87,1.647,-4.73,PA-0023
62,DK,12-44-56-39,1.647,-4.73,PA-0023
63,DK,12-44-56-90,1.647,-4.73,PA-0023
64,DK,12-44-57-42,1.647,-4.73,PA-0023
65,DK,12-44-57-92,1.647,-4.73,PA-0023
66,DK,12-44-58-44,1.614,-5.58,PA-0023
67,DK,12-44-58-94,0.802,-6.523,PA-0023
68,DK,12-44-59-45,0.51,-7.5,PA-0023
69,DK,12-44-59-95,0.204,-8.87,none
70,DK,12-45-00-47,0.205,-8.97,none
71,DK,12-45-00-99,0.205,-8.97,none
72,DK,12-45-01-50,0.205,-8.97,none
73,DK,12-45-02-02,0.205,-8.97,none
74,DK,12-45-02-54,1.2,-8.87,PA-0023
75,DK,12-45-03-05,1.2,-8.87,PA-0023
76,DK,12-45-03-57,1.413,-8.763,PA-0023
77,DK,12-45-04-09,2.514,-7.848,none
78,DK,12-45-04-59,3.94,-7.384,PA-0026
79,DK,12-45-05-10,4.924,-7.453,PA-0026
80,DK,12-45-05-62,4.924,-7.453,PA-0026
81,DK,12-45-06-13,4.924,-7.453,PA-0026
82,DK,12-45-06-64,4.924,-7.453,PA-0026
83,DK,12-45-07-15,4.924,-7.453,PA-0026
84,DK,12-45-07-67,4.924,-7.453,PA-0026
85,DK,12-45-08-18,5.322,-7.412,PA-0026
86,DK,12-45-08-70,5.866,-7.437,PA-0026
87,DK,12-45-09-22,6.203,-7.532,PA-0026
88,DK,12-45-09-72,6.203,-7.532,PA-0026
89,DK,12-45-10-23,6.346,-7.575,PA-0026
90,DK,12-45-10-75,6.538,-7.633,PA-0026
91,DK,12-45-11-27,6.538,-7.633,PA-0026
92,DK,12-45-11-79,6.538,-7.633,PA-0026
