row,id,time,position_x,position_z,looking_at
1,J,12-44-30-18,0,0,PA-0027
2,J,12-44-30-80,0,0,PA-0027
3,J,12-44-32-97,0,0,PA-0027
4,J,12-44-33-55,0,0,PA-0027
5,J,12-44-34-08,0,0,PA-0027
6,J,12-44-34-61,0,0,PA-0027
7,J,12-44-35-13,0,0,PA-0027
8,J,12-44-35-64,0,0,PA-0025
9,J,12-44-36-16,0,0,PA-0089
10,J,12-44-36-66,0,0,none
11,J,12-44-37-18,0,0,none
12,J,12-44-37-74,0,0,PA-0023
13,J,12-44-38-29,0,0,PA-0023
14,J,12-44-38-80,0.174,-1.236,none
15,J,12-44-39-41,0.257,-1.83,PA-0023
16,J,12-44-39-94,0.306,-2.177,PA-0023
17,J,12-44-40-54,0.431,-3.068,PA-0023
18,J,12-44-41-06,0.473,-3.365,PA-0023
19,J,12-44-41-58,0.605,-4.305,PA-0023
20,J,12-44-42-13,0.605,-4.305,PA-0023
21,J,12-44-42-65,0.772,-5.493,PA-0023
22,J,12-44-43-17,0.856,-6.087,PA-0023
23,J,12-44-43-69,0.904,-6.434,PA-0023
24,J,12-44-44-19,0.821,-5.84,PA-0023
25,J,12-44-44-69,0.654,-4.653,PA-0023
26,J,12-44-45-28,0.487,-3.465,PA-0023
27,J,12-44-45-86,0.243,-1.732,PA-0023
28,J,12-44-46-40,0.202,-1.435,PA-0023
29,J,12-44-46-93,0.244,-1.732,PA-0023
30,J,12-44-47-52,0.383,-2.722,PA-0023
31,J,12-44-48-11,0.383,-2.722,none
32,J,12-44-48-71,0.383,-2.722,none
33,J,12-44-49-28,0.383,-2.722,PA-0023
34,J,12-44-49-79,0.383,-2.722,none
35,J,12-44-50-37,0.383,-2.722,KO-0007
36,J,12-44-50-87,0.383,-2.722,none
37,J,12-44-51-42,0.383,-2.722,none
38,J,12-44-51-93,0.383,-2.722,none
39,J,12-44-52-52,0.383,-2.722,none
40,J,12-44-53-04,0.383,-2.722,none
41,J,12-44-53-55,0.383,-2.722,none
42,J,12-44-54-06,0.383,-2.722,none
43,J,12-44-54-57,0.219,-1.232,none
44,J,12-44-55-08,0.176,-0.835,none
45,J,12-44-55-60,0.176,-0.835,none
46,J,12-44-56-21,0.111,-0.238,none
47,J,12-44-56-72,0.111,-0.238,none
48,J,12-44-57-22,0.111,-0.238,none
49,J,12-44-57-73,0.111,-0.238,none
50,J,12-44-58-24,-0.015,-1.431,none
51,J,12-44-58-76,-0.171,-2.922,none
52,J,12-44-59-32,-0.171,-2.922,PA-0023
53,J,12-44-59-91,0.021,-3.49,PA-0023
54,J,12-45-00-42,0.407,-4.626,none
55,J,12-45-01-02,0.503,-4.91,PA-0023
56,J,12-45-01-54,0.809,-5.809,PA-0023
57,J,12-45-02-12,1.489,-5.948,none
58,J,12-45-02-69,2.861,-5.482,none
59,J,12-45-03-19,2.861,-5.482,PA-0026
60,J,12-45-03-76,2.861,-5.482,none
61,J,12-45-04-32,2.861,-5.483,PA-0026
62,J,12-45-04-91,3.166,-6.382,PA-0026
63,J,12-45-05-43,3.166,-6.382,PA-0026
64,J,12-45-05-93,2.599,-6.575,none
65,J,12-45-06-47,2.314,-6.671,none
66,J,12-45-06-97,2.314,-6.671,none
67,J,12-45-07-48,2.314,-6.671,PA-0023
68,J,12-45-08-00,2.314,-6.671,PA-0023
69,J,12-45-08-62,2.314,-6.671,PA-0023
70,J,12-45-09-12,2.282,-7.02,PA-0023
71,J,12-45-09-63,2.25,-7.368,PA-0023
72,J,12-45-10-14,2.223,-7.667,PA-0023
73,J,12-45-10-68,2.223,-7.667,PA-0023
74,J,12-45-11-20,1.925,-7.639,PA-0023
75,J,12-45-11-72,1.925,-7.639,PA-0023
76,J,12-45-12-32,1.925,-7.639,PA-0023
77,J,12-45-12-83,1.925,-7.639,PA-0023
78,J,12-45-13-34,1.678,-8.186,PA-0023
79,J,12-45-13-87,1.555,-8.46,PA-0023
80,J,12-45-14-38,1.555,-8.46,none
81,J,12-45-14-91,1.555,-8.46,PA-0023
82,J,12-45-15-45,1.555,-8.46,PA-0023
83,J,12-45-15-96,1.555,-8.46,PA-0023
84,J,12-45-16-48,1.489,-8.752,PA-0023
85,J,12-45-17-02,1.478,-8.801,PA-0023
86,J,12-45-17-53,1.599,-8.265,PA-0023
87,J,12-45-18-05,1.808,-7.34,PA-0023
88,J,12-45-18-56,1.808,-7.34,PA-0023
89,J,12-45-19-11,1.808,-7.34,PA-0023
90,J,12-45-19-66,1.808,-7.34,PA-0023
91,J,12-45-20-20,1.211,-7.282,PA-0023
92,J,12-45-20-73,1.211,-7.282,PA-0023
93,J,12-45-21-25,1.211,-7.282,PA-0023
94,J,12-45-21-78,1.211,-7.282,PA-0023
95,J,12-45-22-29,1.211,-7.282,PA-0023
96,J,12-45-22-83,1.211,-7.282,PA-0023
97,J,12-45-23-36,1.211,-7.282,PA-0023
98,J,12-45-23-90,1.211,-7.282,PA-0023
99,J,12-45-24-43,1.211,-7.282,PA-0023
100,J,12-45-24-97,1.211,-7.282,PA-0023
101,J,12-45-25-50,1.211,-7.282,PA-0023
102,J,12-45-26-02,1.211,-7.282,PA-0023
103,J,12-45-26-52,1.81,-7.24,PA-0023
104,J,12-45-27-06,2.707,-7.178,none
105,J,12-45-27-60,3.405,-7.129,none
106,J,12-45-28-15,3.804,-7.101,none
107,J,12-45-28-72,4.452,-7.055,PA-0026
108,J,12-45-29-25,4.452,-7.055,PA-0026
109,J,12-45-29-81,4.752,-7.035,PA-0026
110,J,12-45-30-33,5.101,-7.01,PA-0026
111,J,12-45-30-89,5.101,-7.01,PA-0026
112,J,12-45-31-44,5.101,-7.01,PA-0026
113,J,12-45-31-97,5.101,-7.01,PA-0026
114,J,12-45-32-47,5.118,-7.259,PA-0026
115,J,12-45-32-97,4.89,-7.576,PA-0026
116,J,12-45-33-49,4.89,-7.576,PA-0026
117,J,12-45-34-00,4.89,-7.576,PA-0026
118,J,12-45-34-52,4.89,-7.576,PA-0026
119,J,12-45-35-09,4.89,-7.576,PA-0026
120,J,12-45-35-64,4.89,-7.576,PA-0026
121,J,12-45-36-19,4.89,-7.576,PA-0026
122,J,12-45-36-77,4.89,-7.576,PA-0026
123,J,12-45-37-32,4.89,-7.576,PA-0026
124,J,12-45-37-88,4.89,-7.576,PA-0026
125,J,12-45-38-44,4.89,-7.576,PA-0026
126,J,12-45-38-96,4.89,-7.576,PA-0026
127,J,12-45-39-46,4.89,-7.576,none
128,J,12-45-40-01,4.89,-7.576,PA-0026
129,J,12-45-40-54,4.89,-7.576,PA-0026
130,J,12-45-41-07,4.89,-7.576,PA-0026
131,J,12-45-41-64,4.89,-7.576,PA-0026
132,J,12-45-42-21,4.89,-7.576,PA-0026
133,J,12-45-42-78,4.89,-7.576,PA-0026
134,J,12-45-43-36,4.89,-7.576,PA-0026
135,J,12-45-43-94,4.89,-7.576,PA-0026
136,J,12-45-44-52,4.89,-7.576,PA-0026
137,J,12-45-45-09,4.89,-7.576,PA-0026
138,J,12-45-45-67,4.89,-7.576,none
139,J,12-45-46-20,4.89,-7.576,none
140,J,12-45-46-77,4.89,-7.576,none
141,J,12-45-47-35,5.584,-7.004,none
142,J,12-45-47-94,6.741,-6.05,none
143,J,12-45-48-54,7.436,-5.477,none
144,J,12-45-49-12,7.899,-5.096,none
145,J,12-45-49-70,8.774,-5.306,none
