row,id,time,position_x,position_z,looking_at
1,KGH,12-43-37-32,0,0,PA-0027
2,KGH,12-43-53-49,0,0,PA-0027
3,KGH,12-43-55-42,0,0,PA-0027
4,KGH,12-43-56-07,0,0,PA-0027
5,KGH,12-43-56-99,0,0,PA-0027
6,KGH,12-43-57-94,0,0,PA-0027
7,KGH,12-43-58-84,0,-0.3,PA-0027
8,KGH,12-43-59-70,0.212,-0.088,PA-0027
9,KGH,12-44-00-54,-0.088,-0.088,PA-0027
10,KGH,12-44-01-44,-0.088,-0.088,PA-0027
11,KGH,12-44-02-28,-0.088,-0.088,PA-0027
12,KGH,12-44-03-16,-0.088,-0.088,PA-0027
13,KGH,12-44-04-07,-0.088,-0.688,none
14,KGH,12-44-04-85,-0.088,-0.988,none
15,KGH,12-44-05-36,-0.088,-1.288,none
16,KGH,12-44-06-21,-0.088,-1.888,none
17,KGH,12-44-07-08,-0.088,-2.488,none
18,KGH,12-44-07-92,-0.388,-2.788,none
19,KGH,12-44-08-81,-0.688,-2.788,none
20,KGH,12-44-09-69,-0.988,-2.788,none
21,KGH,12-44-10-56,-0.988,-2.788,none
22,KGH,12-44-11-47,-0.988,-2.788,none
23,KGH,12-44-12-35,-0.688,-2.788,none
24,KGH,12-44-12-87,-0.388,-2.788,none
25,KGH,12-44-13-82,-0.388,-2.788,none
26,KGH,12-44-14-78,-0.088,-2.788,none
27,KGH,12-44-15-73,-0.088,-2.788,none
28,KGH,12-44-16-64,-0.088,-2.788,none
29,KGH,12-44-17-56,-0.088,-2.488,none
30,KGH,12-44-18-49,-0.088,-2.488,none
31,KGH,12-44-19-40,-0.088,-2.488,none
32,KGH,12-44-20-29,-0.088,-2.488,none
33,KGH,12-44-21-25,-0.088,-3.088,none
34,KGH,12-44-22-20,-0.088,-3.688,none
35,KGH,12-44-22-70,-0.088,-3.988,none
36,KGH,12-44-23-64,-0.088,-4.588,none
37,KGH,12-44-24-62,-0.088,-5.188,none
38,KGH,12-44-25-61,-0.088,-5.788,none
39,KGH,12-44-26-59,0.425,-6,PA-0027
40,KGH,12-44-27-56,0.425,-6,PA-0027
41,KGH,12-44-28-43,1.025,-6,none
42,KGH,12-44-28-96,1.325,-6,none
43,KGH,12-44-29-86,1.925,-6,PA-0025
44,KGH,12-44-30-77,2.224,-5.7,PA-0025
45,KGH,12-44-31-69,2.224,-5.1,PA-0025
46,KGH,12-44-32-63,2.437,-4.588,PA-0025
47,KGH,12-44-33-58,3.037,-4.588,PA-0025
48,KGH,12-44-34-49,3.636,-4.588,PA-0025
49,KGH,12-44-35-44,4.236,-4.588,PA-0090
50,KGH,12-44-36-36,4.836,-4.588,PA-0024
51,KGH,12-44-37-27,4.836,-4.588,PA-0024
52,KGH,12-44-38-22,4.836,-3.988,PA-0024
53,KGH,12-44-39-17,4.836,-3.388,PA-0024
54,KGH,12-44-40-12,4.836,-3.388,PA-0024
55,KGH,12-44-41-09,4.836,-2.788,PA-0024
56,KGH,12-44-41-62,4.836,-2.488,PA-0024
57,KGH,12-44-42-61,4.836,-1.888,PA-0024
58,KGH,12-44-43-60,4.836,-1.288,PA-0024
59,KGH,12-44-44-63,4.836,-0.688,PA-0024
60,KGH,12-44-45-60,4.836,-0.088,PA-0024
61,KGH,12-44-46-11,4.836,0.212,PA-0024
62,KGH,12-44-47-04,4.836,0.212,PA-0024
63,KGH,12-44-47-96,4.836,0.512,PA-0024
64,KGH,12-44-48-93,4.836,1.112,PA-0024
65,KGH,12-44-49-91,4.836,1.112,PA-0024
66,KGH,12-44-50-93,4.836,1.112,PA-0024
67,KGH,12-44-51-44,4.836,1.112,PA-0024
68,KGH,12-44-51-97,4.836,1.112,PA-0024
69,KGH,12-44-52-47,4.836,1.112,PA-0024
70,KGH,12-44-53-54,4.836,1.112,PA-0024
71,KGH,12-44-54-56,4.836,1.112,PA-0024
72,KGH,12-44-55-08,4.836,1.112,none
73,KGH,12-44-55-60,4.836,1.112,none
74,KGH,12-44-56-12,4.836,1.112,none
75,KGH,12-44-57-10,4.836,1.112,none
76,KGH,12-44-57-62,4.836,1.112,PA-0100
77,KGH,12-44-58-20,4.836,1.112,none
78,KGH,12-44-59-23,4.836,1.112,none
79,KGH,12-44-59-76,4.836,1.112,none
80,KGH,12-45-00-30,4.836,1.112,none
81,KGH,12-45-00-93,4.836,1.112,none
82,KGH,12-45-01-92,4.836,1.112,none
83,KGH,12-45-02-48,4.836,1.112,none
84,KGH,12-45-03-51,4.836,1.112,none
85,KGH,12-45-04-52,4.836,1.112,none
86,KGH,12-45-05-06,4.836,1.112,none
87,KGH,12-45-05-60,5.02,0.875,none
