row,id,time,position_x,position_z,looking_at
1,KKKK,12-51-17-56,0,0,PA-0027
2,KKKK,12-51-18-84,0,0,PA-0027
3,KKKK,12-51-19-36,0,0,PA-0027
4,KKKK,12-51-19-87,0,0,PA-0027
5,KKKK,12-51-20-39,0,0,PA-0027
6,KKKK,12-51-20-90,0,0,PA-0027
7,KKKK,12-51-21-42,0,0,PA-0027
8,KKKK,12-51-21-94,0,0,PA-0027
9,KKKK,12-51-22-44,0,0,PA-0027
10,KKKK,12-51-22-95,0,0,PA-0027
11,KKKK,12-51-23-47,-0.8,0,none
12,KKKK,12-51-23-99,-1.796,0,none
13,KKKK,12-51-24-50,-1.796,0,none
14,KKKK,12-51-25-01,-1.796,0,none
15,KKKK,12-51-25-51,-1.796,0,none
16,KKKK,12-51-26-02,-1.796,0,none
17,KKKK,12-51-26-52,-1.796,0,none
18,KKKK,12-51-27-04,-1.796,0,none
19,KKKK,12-51-27-55,-1.796,0,none
20,KKKK,12-51-28-07,-1.796,0,none
21,KKKK,12-51-28-57,-1.796,0,none
22,KKKK,12-51-29-09,-1.796,0,none
23,KKKK,12-51-29-60,-1.796,0,none
24,KKKK,12-51-30-12,-1.796,0,none
25,KKKK,12-51-30-62,-1.796,0,none
26,KKKK,12-51-31-14,-1.796,0,none
27,KKKK,12-51-31-64,-1.796,0,none
28,KKKK,12-51-32-15,-1.796,0,none
29,KKKK,12-51-32-67,-1.796,0,none
30,KKKK,12-51-33-19,-1.796,0,none
31,KKKK,12-51-33-69,-1.796,0,none
32,KKKK,12-51-34-20,-1.796,0,none
33,KKKK,12-51-34-72,-1.796,0,none
34,KKKK,12-51-35-24,-1.796,0,none
35,KKKK,12-51-35-75,-1.796,0,none
36,KKKK,12-51-36-27,-1.796,0,none
37,KKKK,12-51-36-77,-1.796,0,none
38,KKKK,12-51-37-29,-1.796,0,none
39,KKKK,12-51-37-79,-1.796,0,none
40,KKKK,12-51-38-30,-1.796,0,none
41,KKKK,12-51-38-82,-1.796,0,none
42,KKKK,12-51-39-32,-1.796,0,none
43,KKKK,12-51-39-84,-1.796,0,none
44,KKKK,12-51-40-35,-1.796,0,none
45,KKKK,12-51-40-87,-1.796,0,none
46,KKKK,12-51-41-39,-1.796,0,none
47,KKKK,12-51-41-89,-1.796,0,none
48,KKKK,12-51-42-40,-1.796,0,none
49,KKKK,12-51-42-92,-1.796,0,none
50,KKKK,12-51-43-44,-1.796,0,none
51,KKKK,12-51-43-95,-1.796,0,none
52,KKKK,12-51-44-45,-1.796,0,none
53,KKKK,12-51-44-97,-1.796,0,none
54,KKKK,12-51-45-49,-1.796,0,none
55,KKKK,12-51-46-00,-1.796,0,none
56,KKKK,12-51-46-51,-1.796,0,none
57,KKKK,12-51-47-02,-1.796,0,none
58,KKKK,12-51-47-55,-1.796,0,none
59,KKKK,12-51-48-07,-1.796,0,none
60,KKKK,12-51-48-59,-1.796,0,none
61,KKKK,12-51-49-10,-1.796,0,none
62,KKKK,12-51-49-62,-1.796,0,none
63,KKKK,12-51-50-15,-1.796,0,none
64,KKKK,12-51-50-65,-1.796,0,none
65,KKKK,12-51-51-17,-1.796,0,none
66,KKKK,12-51-51-69,-1.796,0,none
67,KKKK,12-51-52-20,-1.796,0,none
68,KKKK,12-51-52-72,-1.796,0,none
69,KKKK,12-51-53-22,-1.796,0.5,none
70,KKKK,12-51-53-74,-1.796,2.05,none
71,KKKK,12-51-54-25,-1.796,3.6,none
72,KKKK,12-51-54-77,-1.796,5.15,none
73,KKKK,12-51-55-29,-1.796,6.7,none
74,KKKK,12-51-55-80,-1.796,8.25,none
75,KKKK,12-51-56-32,-1.796,9.8,none
76,KKKK,12-51-56-84,-1.796,11.35,none
77,KKKK,12-51-57-35,-1.796,12.9,none
78,KKKK,12-51-57-87,-1.796,14.45,none
79,KKKK,12-51-58-37,-1.796,15.95,none
80,KKKK,12-51-58-89,-1.796,17.5,none
81,KKKK,12-51-59-40,-1.796,19.05,none
82,KKKK,12-51-59-90,-1.796,20.549,none
83,KKKK,12-52-00-42,-1.796,20.999,none
84,KKKK,12-52-00-92,-1.211,21.599,none
85,KKKK,12-52-01-44,-0.73,21.535,none
86,KKKK,12-52-01-94,0.47,21.535,none
87,KKKK,12-52-02-45,0.47,21.535,none
88,KKKK,12-52-02-95,0.47,21.535,none
89,KKKK,12-52-03-47,0.47,21.535,none
90,KKKK,12-52-03-97,0.47,21.535,none
91,KKKK,12-52-04-49,0.47,22.035,none
92,KKKK,12-52-05-00,0.47,22.635,none
93,KKKK,12-52-05-50,0.47,22.635,none
94,KKKK,12-52-06-02,0.12,22.235,none
95,KKKK,12-52-06-54,-0.88,22.235,none
96,KKKK,12-52-07-04,-0.53,22.235,none
97,KKKK,12-52-07-55,0.42,22.235,none
98,KKKK,12-52-08-05,0.42,21.485,none
99,KKKK,12-52-08-57,0.42,21.485,none
100,KKKK,12-52-09-07,0.42,21.485,none
101,KKKK,12-52-09-59,0.42,21.485,none
102,KKKK,12-52-10-10,0.42,21.485,none
103,KKKK,12-52-10-62,0.42,21.485,none
104,KKKK,12-52-11-14,0.42,21.485,none
105,KKKK,12-52-11-65,0.42,21.485,PA-0027
106,KKKK,12-52-12-15,0.354,20.588,PA-0027
107,KKKK,12-52-12-67,0.294,19.79,PA-0027
108,KKKK,12-52-13-19,0.294,19.79,none
109,KKKK,12-52-13-70,0.294,19.79,none
110,KKKK,12-52-14-22,0.294,19.79,none
111,KKKK,12-52-14-72,0.294,19.79,none
112,KKKK,12-52-15-24,0.294,19.79,none
