row,id,time,position_x,position_z,looking_at
1,LCN,19-03-29-62,0,0,PA-0027
2,LCN,19-03-30-76,0,0,PA-0027
3,LCN,19-03-31-28,0,0,PA-0027
4,LCN,19-03-31-80,0,0,PA-0027
5,LCN,19-03-32-31,0,0,PA-0027
6,LCN,19-03-32-81,0,0,PA-0027
7,LCN,19-03-33-33,0,0,PA-0027
8,LCN,19-03-33-87,0,0,PA-0027
9,LCN,19-03-34-41,0,0,none
10,LCN,19-03-34-93,0,0,PA-0027
11,LCN,19-03-35-45,0,0,PA-0027
12,LCN,19-03-35-98,0,0,PA-0027
13,LCN,19-03-36-51,0,-0.35,PA-0027
14,LCN,19-03-37-02,0,-0.7,none
15,LCN,19-03-37-53,0,-1.65,none
16,LCN,19-03-38-08,-0.55,-1.8,none
17,LCN,19-03-38-61,-0.55,-1.8,none
18,LCN,19-03-39-13,-0.55,-1.8,none
19,LCN,19-03-39-67,-0.55,-1.8,none
20,LCN,19-03-40-18,-0.8,-1.8,none
21,LCN,19-03-40-71,-0.8,-1.8,none
22,LCN,19-03-41-23,-0.8,-1.8,none
23,LCN,19-03-41-75,-0.55,-1.8,none
24,LCN,19-03-42-26,-1.25,-1.8,none
25,LCN,19-03-42-80,-1.25,-2.338,none
26,LCN,19-03-43-31,-1.25,-1.487,none
27,LCN,19-03-43-81,-2.6,-1.337,none
28,LCN,19-03-44-33,-2.6,-1.337,none
29,LCN,19-03-44-88,-3.45,-1.337,none
30,LCN,19-03-45-38,-4.35,-1.337,none
31,LCN,19-03-45-93,-4.35,-1.337,none
32,LCN,19-03-46-43,-4.35,-1.337,none
33,LCN,19-03-46-96,-4.35,-1.337,none
34,LCN,19-03-47-48,-4.35,-1.337,none
35,LCN,19-03-47-98,-4.35,-1.337,none
36,LCN,19-03-48-48,-4.35,-1.337,none
37,LCN,19-03-49-01,-4.35,-1.337,none
38,LCN,19-03-49-55,-4.35,-1.337,none
39,LCN,19-03-50-06,-4.35,-1.337,PA-0004
40,LCN,19-03-50-58,-4.35,-1.337,none
41,LCN,19-03-51-08,-4.35,-1.337,none
42,LCN,19-03-51-58,-4.35,-1.337,PA-0023
43,LCN,19-03-52-12,-4.35,-1.337,none
44,LCN,19-03-52-62,-4.35,-1.337,none
45,LCN,19-03-53-13,-4.35,-1.337,none
46,LCN,19-03-53-65,-4.35,-1.337,none
47,LCN,19-03-54-15,-4.35,-1.337,PA-0089
48,LCN,19-03-54-66,-4.512,-1.589,none
49,LCN,19-03-55-20,-4.26,-2.917,none
50,LCN,19-03-55-73,-4.26,-2.917,none
51,LCN,19-03-56-25,-4.26,-2.917,none
52,LCN,19-03-56-75,-4.26,-2.917,none
53,LCN,19-03-57-26,-4.26,-2.917,none
54,LCN,19-03-57-82,-4.26,-2.917,none
55,LCN,19-03-58-36,-4.26,-2.917,none
56,LCN,19-03-58-86,-4.26,-2.917,none
57,LCN,19-03-59-40,-4.26,-2.917,none
58,LCN,19-03-59-93,-4.26,-2.917,none
59,LCN,19-04-00-48,-4.26,-2.917,none
60,LCN,19-04-01-03,-4.26,-2.917,none
61,LCN,19-04-01-58,-4.26,-2.917,none
62,LCN,19-04-02-13,-5.188,-1.936,none
63,LCN,19-04-02-63,-6.134,-0.974,none
64,LCN,19-04-03-18,-6.771,-0.338,none
65,LCN,19-04-03-71,-6.771,-0.338,none
66,LCN,19-04-04-23,-6.771,-0.338,none
67,LCN,19-04-04-73,-7.088,-1.284,none
68,LCN,19-04-05-26,-7.148,-1.422,PA-0089
69,LCN,19-04-05-76,-7.148,-1.422,none
70,LCN,19-04-06-30,-6.258,-1.093,none
71,LCN,19-04-06-81,-5.658,0.221,none
72,LCN,19-04-07-33,-5.088,1.622,none
73,LCN,19-04-07-88,-4.04,2.868,none
74,LCN,19-04-08-43,-4.04,2.868,none
75,LCN,19-04-08-93,-3.466,3.043,none
76,LCN,19-04-09-48,-3.323,3.088,none
77,LCN,19-04-10-03,-3.323,3.088,none
78,LCN,19-04-10-58,-3.031,3.02,none
79,LCN,19-04-11-08,-2.586,2.951,none
80,LCN,19-04-11-63,-2.586,2.951,none
81,LCN,19-04-12-15,-2.586,2.951,none
82,LCN,19-04-12-65,-2.536,1.903,none
83,LCN,19-04-13-18,-2.536,1.903,none
84,LCN,19-04-13-73,-2.536,1.903,none
85,LCN,19-04-14-25,-1.344,1.042,none
86,LCN,19-04-14-76,-0.784,0.174,none
87,LCN,19-04-15-30,-0.784,0.174,none
88,LCN,19-04-15-80,-1.187,-0.449,none
89,LCN,19-04-16-31,-1.334,-0.349,none
90,LCN,19-04-16-81,-0.573,-0.276,none
91,LCN,19-04-17-31,-0.344,-1.229,none
92,LCN,19-04-17-86,-0.426,-0.938,none
93,LCN,19-04-18-38,-0.548,0.475,none
94,LCN,19-04-18-90,0.084,0.393,none
95,LCN,19-04-19-41,0.348,-0.923,none
96,LCN,19-04-19-93,0.608,-2.191,PA-0023
97,LCN,19-04-20-48,0.797,-3.714,none
98,LCN,19-04-20-98,0.862,-3.849,PA-0023
99,LCN,19-04-21-53,0.608,-5.281,PA-0023
100,LCN,19-04-22-08,0.679,-5.572,PA-0023
101,LCN,19-04-22-58,0.834,-6.204,PA-0023
102,LCN,19-04-23-10,0.834,-6.204,PA-0023
103,LCN,19-04-23-61,0.834,-6.204,PA-0023
104,LCN,19-04-24-15,1.224,-6.115,PA-0023
105,LCN,19-04-24-65,1.158,-6.56,none
106,LCN,19-04-25-18,1.158,-6.56,none
107,LCN,19-04-25-73,1.158,-6.56,none
108,LCN,19-04-26-25,1.158,-6.56,none
109,LCN,19-04-26-77,1.158,-6.56,none
110,LCN,19-04-27-30,1.158,-6.56,PA-0023
111,LCN,19-04-27-82,1.158,-6.56,none
112,LCN,19-04-28-36,1.158,-6.56,none
113,LCN,19-04-28-86,1.158,-6.56,PA-0023
114,LCN,19-04-29-38,1.158,-6.56,PA-0023
115,LCN,19-04-29-88,1.158,-6.56,PA-0023
116,LCN,19-04-30-38,1.158,-6.56,PA-0023
117,LCN,19-04-30-90,1.232,-7.607,PA-0023
118,LCN,19-04-31-43,1.232,-7.607,PA-0023
119,LCN,19-04-31-93,1.681,-7.576,PA-0023
120,LCN,19-04-32-45,1.681,-7.576,PA-0023
121,LCN,19-04-32-96,1.681,-7.576,PA-0023
122,LCN,19-04-33-51,2.126,-7.504,PA-0023
123,LCN,19-04-34-03,1.226,-7.51,PA-0023
124,LCN,19-04-34-56,1.226,-7.51,PA-0023
125,LCN,19-04-35-08,0.992,-6.545,PA-0023
126,LCN,19-04-35-61,0.688,-5.752,PA-0023
127,LCN,19-04-36-11,0.527,-5.331,PA-0023
128,LCN,19-04-36-65,0.527,-5.331,PA-0023
129,LCN,19-04-37-17,0.526,-5.331,PA-0023
130,LCN,19-04-37-68,0.526,-5.331,PA-0023
131,LCN,19-04-38-18,0.526,-5.331,none
132,LCN,19-04-38-71,0.526,-5.331,none
133,LCN,19-04-39-25,0.833,-6.591,PA-0023
134,LCN,19-04-39-80,0.765,-7.388,none
135,LCN,19-04-40-33,1.204,-7.53,PA-0023
136,LCN,19-04-40-86,1.204,-7.53,PA-0023
137,LCN,19-04-41-37,1.204,-7.53,none
138,LCN,19-04-41-88,0.901,-8.047,PA-0023
139,LCN,19-04-42-40,0.827,-8.338,none
140,LCN,19-04-42-91,0.789,-8.736,PA-0023
141,LCN,19-04-43-42,0.761,-8.934,none
142,LCN,19-04-43-95,0.761,-8.934,none
143,LCN,19-04-44-48,0.761,-8.934,none
144,LCN,19-04-44-98,0.761,-8.934,none
145,LCN,19-04-45-50,0.761,-8.934,none
146,LCN,19-04-46-01,0.761,-8.934,none
147,LCN,19-04-46-53,0.761,-8.934,none
148,LCN,19-04-47-05,0.761,-8.934,none
149,LCN,19-04-47-56,0.761,-8.934,none
150,LCN,19-04-48-07,1.15,-8.844,PA-0023
151,LCN,19-04-48-60,1.534,-8.73,PA-0023
152,LCN,19-04-49-15,2.863,-9.174,PA-0023
153,LCN,19-04-49-68,3.988,-8.529,none
154,LCN,19-04-50-18,4.559,-8.963,PA-0026
155,LCN,19-04-50-73,5.328,-8.512,PA-0026
156,LCN,19-04-51-28,5.884,-7.457,PA-0026
157,LCN,19-04-51-83,5.931,-7.315,PA-0026
158,LCN,19-04-52-36,5.944,-7.015,PA-0026
159,LCN,19-04-52-90,5.944,-7.015,PA-0026
160,LCN,19-04-53-45,5.944,-7.015,PA-0026
161,LCN,19-04-53-95,5.944,-7.015,PA-0026
162,LCN,19-04-54-50,5.944,-7.015,PA-0026
