row,id,time,position_x,position_z,looking_at
1,LJH,12-44-23-28,0,0,PA-0027
2,LJH,12-44-31-43,0,0,PA-0027
3,LJH,12-44-32-04,0,0,PA-0027
4,LJH,12-44-32-69,0,0,PA-0027
5,LJH,12-44-33-29,0,0,PA-0027
6,LJH,12-44-33-85,0,0,PA-0027
7,LJH,12-44-34-41,0,0,PA-0027
8,LJH,12-44-35-04,0,0,PA-0027
9,LJH,12-44-35-76,0,0,PA-0027
10,LJH,12-44-36-26,0,0,PA-0027
11,LJH,12-44-37-06,0,0.05,PA-0027
12,LJH,12-44-37-63,0,0.35,PA-0027
13,LJH,12-44-38-18,0.3,0.35,PA-0027
14,LJH,12-44-38-90,0.3,0.7,PA-0027
15,LJH,12-44-39-46,0.3,0.7,PA-0027
16,LJH,12-44-40-02,0.3,0.7,PA-0027
17,LJH,12-44-40-74,0.6,0.7,PA-0027
18,LJH,12-44-41-45,1.2,0.7,none
19,LJH,12-44-42-09,1.868,0.701,PA-0025
20,LJH,12-44-42-74,1.918,0.701,PA-0025
21,LJH,12-44-43-39,2.518,0.701,PA-0025
22,LJH,12-44-44-12,3.118,0.701,PA-0025
23,LJH,12-44-44-82,3.118,0.701,PA-0025
24,LJH,12-44-45-51,3.118,0.701,PA-0025
25,LJH,12-44-46-18,3.118,0.701,PA-0025
26,LJH,12-44-46-81,3.118,0.701,PA-0025
27,LJH,12-44-47-41,3.718,0.701,PA-0090
28,LJH,12-44-48-00,3.718,0.701,PA-0090
29,LJH,12-44-48-54,4.018,0.701,PA-0090
30,LJH,12-44-49-04,4.018,0.701,PA-0090
31,LJH,12-44-49-56,4.318,0.701,PA-0090
32,LJH,12-44-50-21,4.318,0.701,PA-0090
33,LJH,12-44-50-86,4.318,0.701,PA-0090
34,LJH,12-44-51-46,4.318,0.701,PA-0090
35,LJH,12-44-52-03,4.318,0.701,PA-0090
36,LJH,12-44-52-63,4.318,0.701,PA-0090
37,LJH,12-44-53-28,4.318,0.701,PA-0090
38,LJH,12-44-53-89,4.318,0.701,PA-0090
39,LJH,12-44-54-58,4.318,1.051,PA-0090
40,LJH,12-44-55-12,4.318,1.401,PA-0090
41,LJH,12-44-55-63,4.318,1.401,PA-0090
42,LJH,12-44-56-16,4.318,1.701,PA-0090
43,LJH,12-44-56-67,4.318,1.701,PA-0090
44,LJH,12-44-57-33,4.318,1.701,PA-0090
45,LJH,12-44-57-83,4.318,1.701,PA-0090
46,LJH,12-44-58-46,4.318,1.701,PA-0090
47,LJH,12-44-59-09,4.318,1.701,PA-0090
48,LJH,12-44-59-61,4.318,1.701,PA-0090
49,LJH,12-45-00-13,4.318,1.401,PA-0090
50,LJH,12-45-00-63,4.318,0.801,PA-0090
51,LJH,12-45-01-28,4.318,0.501,PA-0090
52,LJH,12-45-01-85,4.618,0.501,PA-0090
53,LJH,12-45-02-44,4.918,0.501,PA-0024
54,LJH,12-45-03-09,5.518,0.501,PA-0024
55,LJH,12-45-03-71,6.718,0.501,PA-0036
56,LJH,12-45-04-36,7.318,0.501,PA-0065
57,LJH,12-45-05-00,7.318,0.501,PA-0065
58,LJH,12-45-05-63,8.518,0.501,KO-0005
59,LJH,12-45-06-26,8.518,0.501,KO-0005
60,LJH,12-45-06-78,8.518,0.501,KO-0005
61,LJH,12-45-07-43,8.518,0.501,KO-0005
62,LJH,12-45-08-08,8.518,1.401,KO-0005
63,LJH,12-45-08-60,8.518,1.401,KO-0005
64,LJH,12-45-09-28,8.518,1.401,KO-0005
65,LJH,12-45-09-83,8.518,1.401,KO-0005
66,LJH,12-45-10-35,8.523,1.101,KO-0005
67,LJH,12-45-10-85,8.523,1.101,KO-0005
68,LJH,12-45-11-50,8.529,0.801,KO-0005
69,LJH,12-45-12-18,8.529,0.801,KO-0005
70,LJH,12-45-12-70,8.529,0.801,KO-0005
71,LJH,12-45-13-23,8.529,0.801,KO-0005
72,LJH,12-45-13-80,8.529,0.801,KO-0005
73,LJH,12-45-14-49,8.529,0.801,KO-0005
74,LJH,12-45-15-12,8.529,0.801,KO-0005
75,LJH,12-45-15-64,8.529,0.801,KO-0005
76,LJH,12-45-16-15,8.529,0.801,KO-0005
77,LJH,12-45-16-79,9.122,0.715,PA-0031
78,LJH,12-45-17-31,10.013,0.586,KO-0004
79,LJH,12-45-17-83,10.013,0.586,PA-0031
80,LJH,12-45-18-35,10.538,0.877,none
81,LJH,12-45-18-98,11.063,1.167,KO-0004
82,LJH,12-45-19-49,11.063,1.167,KO-0004
83,LJH,12-45-20-04,11.063,1.167,KO-0004
84,LJH,12-45-20-55,11.063,1.167,KO-0004
85,LJH,12-45-21-21,11.063,1.167,KO-0004
86,LJH,12-45-21-88,11.063,1.167,KO-0004
87,LJH,12-45-22-40,11.063,1.167,KO-0004
88,LJH,12-45-22-91,11.102,2.067,KO-0004
89,LJH,12-45-23-45,11.102,2.067,KO-0004
90,LJH,12-45-24-15,11.102,2.067,KO-0004
91,LJH,12-45-24-65,11.102,2.067,KO-0004
92,LJH,12-45-25-18,11.102,2.067,KO-0004
93,LJH,12-45-25-68,11.141,2.036,KO-0004
94,LJH,12-45-26-23,11.141,2.036,KO-0004
95,LJH,12-45-26-74,11.426,1.942,KO-0004
96,LJH,12-45-27-41,11.725,1.916,KO-0004
97,LJH,12-45-27-93,11.725,1.916,KO-0004
98,LJH,12-45-28-57,11.376,1.942,KO-0004
99,LJH,12-45-29-09,11.376,1.942,KO-0004
100,LJH,12-45-29-69,11.376,1.942,KO-0004
101,LJH,12-45-30-27,11.376,1.942,KO-0004
102,LJH,12-45-30-79,11.56,1.704,KO-0004
103,LJH,12-45-31-45,11.59,1.665,KO-0004
104,LJH,12-45-32-10,11.59,1.665,KO-0004
105,LJH,12-45-32-75,11.59,1.665,KO-0004
106,LJH,12-45-33-28,11.59,1.665,KO-0004
107,LJH,12-45-33-81,11.59,1.665,KO-0004
108,LJH,12-45-34-38,11.59,1.665,KO-0004
109,LJH,12-45-34-95,11.59,1.665,KO-0004
110,LJH,12-45-35-50,11.294,1.617,KO-0004
111,LJH,12-45-36-14,11.294,1.617,KO-0004
112,LJH,12-45-36-74,11.294,1.617,KO-0004
113,LJH,12-45-37-32,11.294,1.617,KO-0004
114,LJH,12-45-37-85,11.294,1.617,KO-0006
115,LJH,12-45-38-45,11.294,1.617,none
116,LJH,12-45-39-09,11.294,1.617,none
117,LJH,12-45-39-60,11.294,1.617,none
118,LJH,12-45-40-12,11.294,1.617,none
119,LJH,12-45-40-65,11.294,1.617,none
120,LJH,12-45-41-17,11.294,1.617,none
121,LJH,12-45-41-80,11.294,1.617,none
122,LJH,12-45-42-44,11.294,1.617,none
123,LJH,12-45-43-12,11.294,1.617,none
124,LJH,12-45-43-64,11.294,1.617,KO-0004
125,LJH,12-45-44-19,11.294,1.617,KO-0004
126,LJH,12-45-44-89,11.294,1.617,KO-0004
127,LJH,12-45-45-55,11.838,1.363,none
128,LJH,12-45-46-22,12.155,1.215,none
129,LJH,12-45-46-85,12.744,0.941,KO-0006
130,LJH,12-45-47-45,13.288,0.687,KO-0006
131,LJH,12-45-48-05,13.288,0.687,KO-0006
132,LJH,12-45-48-70,13.288,0.687,KO-0006
133,LJH,12-45-49-51,13.288,0.687,none
134,LJH,12-45-50-03,13.886,0.739,KO-0006
135,LJH,12-45-50-53,14.184,0.765,KO-0006
136,LJH,12-45-51-08,14.483,0.792,KO-0006
137,LJH,12-45-51-61,14.483,0.792,KO-0006
138,LJH,12-45-52-31,14.483,0.792,KO-0006
139,LJH,12-45-53-04,14.483,0.792,KO-0006
140,LJH,12-45-53-73,14.483,0.792,KO-0006
141,LJH,12-45-54-40,14.483,0.792,KO-0006
142,LJH,12-45-54-92,14.483,0.792,KO-0006
143,LJH,12-45-55-65,14.483,0.792,KO-0006
144,LJH,12-45-56-32,14.483,0.792,KO-0006
145,LJH,12-45-56-95,14.483,0.792,KO-0006
146,LJH,12-45-57-51,14.483,0.792,KO-0006
147,LJH,12-45-58-18,14.483,0.792,KO-0006
148,LJH,12-45-58-76,14.483,0.792,KO-0006
149,LJH,12-45-59-35,14.483,0.792,KO-0006
150,LJH,12-45-59-99,14.483,0.792,KO-0006
151,LJH,12-46-00-58,14.483,0.792,KO-0006
152,LJH,12-46-01-19,14.483,0.792,KO-0006
153,LJH,12-46-01-79,14.772,0.711,KO-0006
154,LJH,12-46-02-36,15.061,0.631,KO-0006
155,LJH,12-46-02-98,15.351,0.551,KO-0006
156,LJH,12-46-03-60,15.72,0.76,PA-0088
157,LJH,12-46-04-12,15.8,1.049,PA-0088
158,LJH,12-46-04-65,15.88,1.338,PA-0088
159,LJH,12-46-05-23,15.88,1.338,none
160,LJH,12-46-05-81,15.88,1.338,none
161,LJH,12-46-06-48,15.88,1.338,none
162,LJH,12-46-07-15,15.88,1.338,none
163,LJH,12-46-07-76,15.88,1.338,none
