row,id,time,position_x,position_z,looking_at
1,PRO피실험자,12-43-17-50,0,0,PA-0027
2,PRO피실험자,12-43-19-97,0,0,PA-0027
3,PRO피실험자,12-43-20-48,0,0,PA-0027
4,PRO피실험자,12-43-21-04,0,0,PA-0027
5,PRO피실험자,12-43-21-55,0,0,PA-0027
6,PRO피실험자,12-43-22-07,0,0,PA-0027
7,PRO피실험자,12-43-22-58,0,0,PA-0027
8,PRO피실험자,12-43-23-08,0,0,PA-0027
9,PRO피실험자,12-43-23-60,0,0,PA-0027
10,PRO피실험자,12-43-24-12,0,0,PA-0027
11,PRO피실험자,12-43-24-63,0,0,PA-0027
12,PRO피실험자,12-43-25-15,0,0,PA-0027
13,PRO피실험자,12-43-25-65,0,0,PA-0027
14,PRO피실험자,12-43-26-45,0,0,PA-0027
15,PRO피실험자,12-43-27-02,0,0,PA-0027
16,PRO피실험자,12-43-27-52,0,0,PA-0027
17,PRO피실험자,12-43-28-03,0,0,PA-0027
18,PRO피실험자,12-43-28-55,0,0,PA-0027
19,PRO피실험자,12-43-29-07,0,0,PA-0027
20,PRO피실험자,12-43-29-60,0,0,PA-0027
21,PRO피실험자,12-43-30-15,0,0,PA-0027
22,PRO피실험자,12-43-30-68,0,0,PA-0027
23,PRO피실험자,12-43-31-23,0,0,PA-0027
24,PRO피실험자,12-43-31-77,0,0,PA-0027
25,PRO피실험자,12-43-32-27,0,0,PA-0027
26,PRO피실험자,12-43-32-80,0,0,PA-0027
27,PRO피실험자,12-43-33-30,0,0,PA-0027
28,PRO피실험자,12-43-33-83,0,0,PA-0027
29,PRO피실험자,12-43-34-35,0,0,PA-0027
30,PRO피실험자,12-43-34-88,0,0,PA-0027
31,PRO피실험자,12-43-35-38,0,0,PA-0027
32,PRO피실험자,12-43-35-93,0,0,PA-0027
33,PRO피실험자,12-43-36-47,0,0,PA-0027
34,PRO피실험자,12-43-37-02,0,0,PA-0027
35,PRO피실험자,12-43-37-53,0,0,PA-0027
36,PRO피실험자,12-43-38-05,0,0,PA-0027
37,PRO피실험자,12-43-38-55,0,0,PA-0027
38,PRO피실험자,12-43-39-08,0,0,PA-0027
39,PRO피실험자,12-43-39-58,0,0,none
40,PRO피실험자,12-43-40-12,0,0,none
41,PRO피실험자,12-43-40-62,0,0,none
42,PRO피실험자,12-43-41-17,0,0,none
43,PRO피실험자,12-43-41-72,0,0,none
44,PRO피실험자,12-43-42-25,0,0,none
45,PRO피실험자,12-43-42-80,0,0,none
46,PRO피실험자,12-43-43-33,0.426,-1.438,none
47,PRO피실험자,12-43-43-87,-0.364,-1.857,PA-0023
48,PRO피실험자,12-43-44-40,-0.024,-3.379,PA-0023
49,PRO피실험자,12-43-44-93,0.387,-4.664,PA-0023
50,PRO피실험자,12-43-45-48,0.387,-4.664,PA-0023
51,PRO피실험자,12-43-46-00,0.387,-4.664,PA-0023
52,PRO피실험자,12-43-46-52,0.387,-4.664,PA-0023
53,PRO피실험자,12-43-47-05,0.387,-4.664,none
54,PRO피실험자,12-43-47-57,0.387,-4.664,none
55,PRO피실험자,12-43-48-08,0.387,-4.664,none
56,PRO피실험자,12-43-48-62,0.387,-4.664,PA-0024
57,PRO피실험자,12-43-49-13,0.387,-4.664,none
58,PRO피실험자,12-43-49-66,0.45,-3.716,none
59,PRO피실험자,12-43-50-20,0.232,-2.21,none
60,PRO피실험자,12-43-50-73,-0.563,-1.45,none
61,PRO피실험자,12-43-51-25,-1.545,-0.269,none
62,PRO피실험자,12-43-51-76,-1.901,0.447,none
63,PRO피실험자,12-43-52-30,-1.901,0.447,PA-0031
64,PRO피실험자,12-43-52-83,-1.901,0.447,none
65,PRO피실험자,12-43-53-35,-2.784,0.861,none
66,PRO피실험자,12-43-53-87,-4.332,0.78,none
67,PRO피실험자,12-43-54-40,-4.825,-0.614,PA-0026
68,PRO피실험자,12-43-54-93,-4.858,-1.337,PA-0026
69,PRO피실험자,12-43-55-45,-4.858,-1.337,PA-0026
70,PRO피실험자,12-43-55-98,-4.858,-1.337,none
71,PRO피실험자,12-43-56-50,-4.858,-1.337,none
72,PRO피실험자,12-43-57-05,-3.974,-1.169,none
73,PRO피실험자,12-43-57-55,-2.511,-0.85,PA-0088
74,PRO피실험자,12-43-58-07,-1.346,0.157,none
75,PRO피실험자,12-43-58-60,-0.107,0.935,PA-0031
76,PRO피실험자,12-43-59-12,0.565,0.938,none
77,PRO피실험자,12-43-59-62,0.565,0.938,none
78,PRO피실험자,12-44-00-15,0.474,-0.008,none
79,PRO피실험자,12-44-00-67,0.33,-1.501,none
80,PRO피실험자,12-44-01-20,0.347,-3.144,PA-0023
81,PRO피실험자,12-44-01-73,0.577,-4.727,PA-0023
82,PRO피실험자,12-44-02-25,1.011,-5.978,PA-0023
83,PRO피실험자,12-44-02-77,2.297,-5.791,none
84,PRO피실험자,12-44-03-28,2.297,-5.791,none
85,PRO피실험자,12-44-03-80,2.297,-5.791,none
86,PRO피실험자,12-44-04-33,2.297,-5.791,none
87,PRO피실험자,12-44-04-83,2.297,-5.791,none
88,PRO피실험자,12-44-05-36,2.297,-5.791,none
89,PRO피실험자,12-44-05-90,2.297,-5.791,none
90,PRO피실험자,12-44-06-45,2.297,-5.791,none
91,PRO피실험자,12-44-06-95,2.297,-5.791,none
92,PRO피실험자,12-44-07-46,2.297,-5.791,none
93,PRO피실험자,12-44-07-97,2.297,-5.791,none
94,PRO피실험자,12-44-08-47,2.425,-6.732,none
95,PRO피실험자,12-44-09-01,1.225,-7.377,PA-0023
96,PRO피실험자,12-44-09-51,0.828,-7.431,PA-0023
97,PRO피실험자,12-44-10-05,0.828,-7.431,PA-0023
98,PRO피실험자,12-44-10-58,0.828,-7.431,PA-0023
99,PRO피실험자,12-44-11-08,0.828,-7.431,PA-0023
100,PRO피실험자,12-44-11-60,0.828,-7.431,PA-0023
101,PRO피실험자,12-44-12-13,0.828,-7.431,PA-0023
102,PRO피실험자,12-44-12-65,0.828,-7.431,PA-0023
103,PRO피실험자,12-44-13-16,0.828,-7.431,PA-0023
104,PRO피실험자,12-44-13-68,0.828,-7.431,PA-0023
105,PRO피실험자,12-44-14-20,0.828,-7.431,PA-0023
106,PRO피실험자,12-44-14-70,0.828,-7.431,PA-0023
107,PRO피실험자,12-44-15-21,0.828,-7.431,PA-0023
108,PRO피실험자,12-44-15-73,0.828,-7.431,PA-0023
109,PRO피실험자,12-44-16-25,0.828,-7.431,PA-0023
110,PRO피실험자,12-44-16-76,0.828,-7.431,PA-0023
111,PRO피실험자,12-44-17-28,0.828,-7.431,PA-0023
112,PRO피실험자,12-44-17-80,0.828,-7.431,PA-0023
113,PRO피실험자,12-44-18-30,0.828,-7.431,PA-0023
114,PRO피실험자,12-44-18-81,0.828,-7.431,PA-0023
115,PRO피실험자,12-44-19-33,0.828,-7.431,PA-0023
116,PRO피실험자,12-44-19-86,0.828,-7.431,PA-0023
117,PRO피실험자,12-44-20-36,0.828,-7.431,PA-0023
118,PRO피실험자,12-44-20-88,0.828,-7.431,PA-0023
119,PRO피실험자,12-44-21-38,0.828,-7.431,PA-0023
120,PRO피실험자,12-44-21-90,0.828,-7.431,PA-0023
121,PRO피실험자,12-44-22-43,0.828,-7.431,PA-0023
122,PRO피실험자,12-44-22-96,0.828,-7.431,PA-0023
123,PRO피실험자,12-44-23-50,0.828,-7.431,PA-0023
124,PRO피실험자,12-44-24-03,0.828,-7.431,PA-0023
125,PRO피실험자,12-44-24-55,0.828,-7.431,PA-0023
126,PRO피실험자,12-44-25-05,0.828,-7.431,PA-0023
127,PRO피실험자,12-44-25-60,0.828,-7.431,PA-0023
128,PRO피실험자,12-44-26-13,1.378,-7.433,PA-0023
129,PRO피실험자,12-44-26-65,1.778,-7.435,PA-0023
130,PRO피실험자,12-44-27-16,1.778,-7.435,PA-0023
131,PRO피실험자,12-44-27-70,1.778,-7.435,PA-0023
132,PRO피실험자,12-44-28-21,1.778,-7.435,PA-0023
133,PRO피실험자,12-44-28-75,1.778,-7.435,PA-0023
134,PRO피실험자,12-44-29-26,1.778,-7.435,PA-0023
135,PRO피실험자,12-44-29-81,1.576,-8.261,PA-0023
136,PRO피실험자,12-44-30-35,0.223,-8.296,none
137,PRO피실험자,12-44-30-88,0.069,-8.927,none
138,PRO피실험자,12-44-31-38,0.069,-8.927,none
139,PRO피실험자,12-44-31-88,0.069,-8.927,none
140,PRO피실험자,12-44-32-41,0.069,-8.927,none
141,PRO피실험자,12-44-32-91,0.069,-8.927,none
142,PRO피실험자,12-44-33-46,0.069,-8.927,none
143,PRO피실험자,12-44-34-00,0.069,-8.927,none
144,PRO피실험자,12-44-34-55,0.069,-8.927,none
145,PRO피실험자,12-44-35-10,1.322,-8.536,PA-0023
146,PRO피실험자,12-44-35-65,0.718,-7.813,none
147,PRO피실험자,12-44-36-16,0.98,-7.287,none
148,PRO피실험자,12-44-36-71,0.98,-7.287,none
149,PRO피실험자,12-44-37-21,0.98,-7.287,none
150,PRO피실험자,12-44-37-75,0.98,-7.287,PA-0023
151,PRO피실험자,12-44-38-25,0.98,-7.287,PA-0023
152,PRO피실험자,12-44-38-80,0.98,-7.287,PA-0023
153,PRO피실험자,12-44-39-35,1.673,-7.189,PA-0023
154,PRO피실험자,12-44-39-85,3.14,-7.055,none
155,PRO피실험자,12-44-40-38,4.446,-7.906,PA-0026
156,PRO피실험자,12-44-40-90,4.446,-7.906,PA-0026
157,PRO피실험자,12-44-41-45,4.446,-7.906,PA-0026
158,PRO피실험자,12-44-41-96,4.446,-7.906,PA-0026
159,PRO피실험자,12-44-42-48,5.139,-7.806,PA-0026
160,PRO피실험자,12-44-42-98,6.181,-8.452,none
161,PRO피실험자,12-44-43-50,6.226,-8.749,none
162,PRO피실험자,12-44-44-01,6.226,-8.749,PA-0026
163,PRO피실험자,12-44-44-53,6.226,-8.749,PA-0026
164,PRO피실험자,12-44-45-05,6.226,-8.749,PA-0026
165,PRO피실험자,12-44-45-56,7.301,-9.156,none
166,PRO피실험자,12-44-46-10,7.365,-10.416,none
167,PRO피실험자,12-44-46-61,6.8,-10.393,none
168,PRO피실험자,12-44-47-13,6.769,-9.376,PA-0026
169,PRO피실험자,12-44-47-68,6.769,-9.376,PA-0026
170,PRO피실험자,12-44-48-20,6.769,-9.376,PA-0026
171,PRO피실험자,12-44-48-75,6.769,-9.376,PA-0026
172,PRO피실험자,12-44-49-26,6.769,-9.376,PA-0026
173,PRO피실험자,12-44-49-78,6.769,-9.376,PA-0026
174,PRO피실험자,12-44-50-31,6.769,-9.376,PA-0026
175,PRO피실험자,12-44-50-86,6.769,-9.376,PA-0026
176,PRO피실험자,12-44-51-38,6.769,-9.376,PA-0026
177,PRO피실험자,12-44-51-90,6.769,-9.376,PA-0026
178,PRO피실험자,12-44-52-41,6.769,-9.376,none
179,PRO피실험자,12-44-52-95,6.769,-9.376,none
180,PRO피실험자,12-44-53-50,6.769,-9.376,none
181,PRO피실험자,12-44-54-01,6.363,-8.63,PA-0089
182,PRO피실험자,12-44-54-55,5.6,-7.224,PA-0089
183,PRO피실험자,12-44-55-10,6.03,-5.646,none
184,PRO피실험자,12-44-55-61,5.291,-4.284,none
185,PRO피실험자,12-44-56-13,3.944,-3.888,none
186,PRO피실험자,12-44-56-66,3.171,-3.206,none
187,PRO피실험자,12-44-57-21,2.923,-1.727,none
188,PRO피실험자,12-44-57-75,2.684,-0.297,PA-0089
189,PRO피실험자,12-44-58-30,2.684,-0.297,PA-0089
190,PRO피실험자,12-44-58-85,2.684,-0.297,PA-0089
191,PRO피실험자,12-44-59-36,3.721,-0.392,PA-0089
192,PRO피실험자,12-44-59-90,3.721,-0.392,none
193,PRO피실험자,12-45-00-45,3.647,-0.938,PA-0089
194,PRO피실험자,12-45-00-96,3.607,-1.235,PA-0089
195,PRO피실험자,12-45-01-51,3.607,-1.235,none
196,PRO피실험자,12-45-02-01,3.607,-1.235,PA-0090
197,PRO피실험자,12-45-02-51,4.144,-1.349,none
198,PRO피실험자,12-45-03-05,4.88,-0.239,none
199,PRO피실험자,12-45-03-55,4.045,0.528,PA-0090
200,PRO피실험자,12-45-04-08,4.045,0.528,PA-0090
201,PRO피실험자,12-45-04-61,4.338,0.466,PA-0036
202,PRO피실험자,12-45-05-15,5.729,1.074,none
203,PRO피실험자,12-45-05-65,6.562,0.509,PA-0031
204,PRO피실험자,12-45-06-18,7.246,-0.867,KO-0005
205,PRO피실험자,12-45-06-71,8.461,-0.205,KO-0005
206,PRO피실험자,12-45-07-25,8.378,0.637,KO-0005
207,PRO피실험자,12-45-07-78,8.378,0.637,KO-0005
208,PRO피실험자,12-45-08-33,8.378,0.637,KO-0005
209,PRO피실험자,12-45-08-86,8.378,0.637,KO-0005
210,PRO피실험자,12-45-09-38,8.378,0.637,KO-0005
211,PRO피실험자,12-45-09-91,8.378,0.637,KO-0005
212,PRO피실험자,12-45-10-43,8.378,0.637,KO-0005
213,PRO피실험자,12-45-10-95,8.378,0.637,KO-0005
214,PRO피실험자,12-45-11-48,8.378,0.637,none
215,PRO피실험자,12-45-12-00,9.532,1.049,PA-0088
216,PRO피실험자,12-45-12-50,10.925,0.565,KO-0006
217,PRO피실험자,12-45-13-05,10.925,0.565,KO-0004
218,PRO피실험자,12-45-13-58,10.925,0.565,KO-0004
219,PRO피실험자,12-45-14-08,11.612,1.276,PA-0088
220,PRO피실험자,12-45-14-63,11.493,0.842,KO-0007
221,PRO피실험자,12-45-15-15,11.97,-0.538,none
222,PRO피실험자,12-45-15-68,13.147,-1.433,none
223,PRO피실험자,12-45-16-18,14.017,-2.53,none
224,PRO피실험자,12-45-16-68,14.092,-4.018,PA-0074
225,PRO피실험자,12-45-17-23,13.919,-4.952,PA-0074
226,PRO피실험자,12-45-17-78,13.919,-4.952,PA-0074
227,PRO피실험자,12-45-18-30,13.919,-4.952,none
228,PRO피실험자,12-45-18-84,13.919,-4.952,PA-0095
229,PRO피실험자,12-45-19-39,14.036,-5.334,PA-0095
230,PRO피실험자,12-45-19-90,13.181,-6.263,none
231,PRO피실험자,12-45-20-43,12.894,-6.351,none
232,PRO피실험자,12-45-20-95,12.894,-6.351,PA-0095
233,PRO피실험자,12-45-21-46,12.894,-6.351,PA-0095
234,PRO피실험자,12-45-21-99,12.894,-6.351,PA-0095
235,PRO피실험자,12-45-22-51,12.894,-6.351,PA-0095
236,PRO피실험자,12-45-23-03,12.894,-6.351,PA-0095
237,PRO피실험자,12-45-23-56,12.894,-6.351,none
238,PRO피실험자,12-45-24-08,12.894,-6.351,none
