row,id,time,position_x,position_z,looking_at
1,펩시콜라맛있다,19-04-46-30,0,0,PA-0027
2,펩시콜라맛있다,19-04-48-67,0,0,PA-0027
3,펩시콜라맛있다,19-04-49-19,0,0,PA-0027
4,펩시콜라맛있다,19-04-49-69,0,0,PA-0027
5,펩시콜라맛있다,19-04-50-21,0,0,PA-0027
6,펩시콜라맛있다,19-04-50-71,0,0,PA-0027
7,펩시콜라맛있다,19-04-51-21,0,0,PA-0027
8,펩시콜라맛있다,19-04-51-72,0,0,PA-0027
9,펩시콜라맛있다,19-04-52-22,0,0,PA-0027
10,펩시콜라맛있다,19-04-52-74,0,0,PA-0027
11,펩시콜라맛있다,19-04-53-24,0,0,PA-0027
12,펩시콜라맛있다,19-04-53-74,0,0,PA-0027
13,펩시콜라맛있다,19-04-54-26,0,0,PA-0027
14,펩시콜라맛있다,19-04-54-76,0,0,PA-0027
15,펩시콜라맛있다,19-04-55-26,0,0,PA-0027
16,펩시콜라맛있다,19-04-55-77,0,0,PA-0027
17,펩시콜라맛있다,19-04-56-27,0,0,PA-0027
18,펩시콜라맛있다,19-04-56-77,0,0,PA-0027
19,펩시콜라맛있다,19-04-57-29,0,0,PA-0027
20,펩시콜라맛있다,19-04-57-81,0,0,PA-0027
21,펩시콜라맛있다,19-04-58-33,0,0,PA-0027
22,펩시콜라맛있다,19-04-58-84,0,0,PA-0027
23,펩시콜라맛있다,19-04-59-36,0,0,PA-0027
24,펩시콜라맛있다,19-04-59-86,0,0,PA-0027
25,펩시콜라맛있다,19-05-00-38,0,0,PA-0027
26,펩시콜라맛있다,19-05-00-88,0,0,PA-0027
27,펩시콜라맛있다,19-05-01-38,0,0,PA-0027
28,펩시콜라맛있다,19-05-01-89,0,0,PA-0027
29,펩시콜라맛있다,19-05-02-39,0,0,PA-0027
30,펩시콜라맛있다,19-05-02-89,0,0,PA-0027
31,펩시콜라맛있다,19-05-03-39,0,0,PA-0027
32,펩시콜라맛있다,19-05-03-91,0,0,PA-0027
33,펩시콜라맛있다,19-05-04-41,0,0,PA-0027
34,펩시콜라맛있다,19-05-04-91,0,0,PA-0027
35,펩시콜라맛있다,19-05-05-41,0,0,PA-0027
36,펩시콜라맛있다,19-05-05-91,0,0,PA-0027
37,펩시콜라맛있다,19-05-06-41,0,0,PA-0027
38,펩시콜라맛있다,19-05-06-91,0,0,PA-0027
39,펩시콜라맛있다,19-05-07-41,0,0,PA-0027
40,펩시콜라맛있다,19-05-07-93,0,0,PA-0027
41,펩시콜라맛있다,19-05-08-43,0,0,PA-0027
42,펩시콜라맛있다,19-05-08-95,0,0,PA-0027
43,펩시콜라맛있다,19-05-09-45,0,0,PA-0027
44,펩시콜라맛있다,19-05-09-96,0,0,PA-0027
45,펩시콜라맛있다,19-05-10-48,0,0,PA-0027
46,펩시콜라맛있다,19-05-10-98,0,0,PA-0027
47,펩시콜라맛있다,19-05-11-50,0,0,PA-0027
48,펩시콜라맛있다,19-05-12-00,0,0,PA-0027
49,펩시콜라맛있다,19-05-12-50,0,0,PA-0027
50,펩시콜라맛있다,19-05-13-01,0,0,PA-0027
51,펩시콜라맛있다,19-05-13-51,0.05,-1.2,none
52,펩시콜라맛있다,19-05-14-01,0.05,-1.2,none
53,펩시콜라맛있다,19-05-14-53,0.05,-1.2,none
54,펩시콜라맛있다,19-05-15-03,0.05,-1.2,none
55,펩시콜라맛있다,19-05-15-55,0.05,-1.2,none
56,펩시콜라맛있다,19-05-16-05,0.05,-1.2,none
57,펩시콜라맛있다,19-05-16-57,0.05,-1.2,none
58,펩시콜라맛있다,19-05-17-07,0.05,-1.2,none
59,펩시콜라맛있다,19-05-17-57,0.05,-1.2,none
60,펩시콜라맛있다,19-05-18-07,0.05,-1.2,none
61,펩시콜라맛있다,19-05-18-58,-0.021,-2.098,none
62,펩시콜라맛있다,19-05-19-08,0.089,-3.261,none
63,펩시콜라맛있다,19-05-19-60,0.886,-3.323,none
64,펩시콜라맛있다,19-05-20-12,0.886,-3.323,none
65,펩시콜라맛있다,19-05-20-62,1.187,-3.843,none
66,펩시콜라맛있다,19-05-21-12,2.096,-3.318,none
67,펩시콜라맛있다,19-05-21-63,2.096,-3.318,none
68,펩시콜라맛있다,19-05-22-13,2.096,-3.318,none
69,펩시콜라맛있다,19-05-22-65,2.096,-3.318,none
