row,id,time,position_x,position_z,looking_at
1,TWJ,12-44-25-60,0,0,PA-0027
2,TWJ,12-44-28-41,0,0,PA-0027
3,TWJ,12-44-28-94,0,0,PA-0027
4,TWJ,12-44-29-47,0,0,PA-0027
5,TWJ,12-44-29-98,0,0,PA-0027
6,TWJ,12-44-30-49,0,0,PA-0027
7,TWJ,12-44-31-02,0,0,PA-0027
8,TWJ,12-44-31-52,0,0,PA-0027
9,TWJ,12-44-32-04,0,0,PA-0027
10,TWJ,12-44-32-55,0,0,PA-0027
11,TWJ,12-44-33-10,0,0,PA-0027
12,TWJ,12-44-33-64,0,0,PA-0027
13,TWJ,12-44-34-17,0,0,PA-0027
14,TWJ,12-44-34-67,0,0,PA-0027
15,TWJ,12-44-35-18,0,0,PA-0027
16,TWJ,12-44-35-70,0,0,PA-0027
17,TWJ,12-44-36-22,0,0,PA-0027
18,TWJ,12-44-36-72,0,0,PA-0027
19,TWJ,12-44-37-23,0,0,PA-0027
20,TWJ,12-44-37-75,0,0,PA-0027
21,TWJ,12-44-38-26,0,0,PA-0027
22,TWJ,12-44-38-80,0,0,PA-0027
23,TWJ,12-44-39-30,0,0,PA-0027
24,TWJ,12-44-39-83,0,0,PA-0027
25,TWJ,12-44-40-35,0,0,PA-0027
26,TWJ,12-44-40-85,0,0,PA-0027
27,TWJ,12-44-41-37,0,0,PA-0027
28,TWJ,12-44-41-88,0,0,PA-0027
29,TWJ,12-44-42-40,0,0,PA-0027
30,TWJ,12-44-42-97,0,0,PA-0027
31,TWJ,12-44-43-50,0,0,PA-0027
32,TWJ,12-44-44-03,0,0,PA-0027
33,TWJ,12-44-44-57,0,0,PA-0027
34,TWJ,12-44-45-12,0,0,PA-0027
35,TWJ,12-44-45-65,1.05,0,none
36,TWJ,12-44-46-25,0.65,0,PA-0027
37,TWJ,12-44-46-83,2.627,0.003,PA-0025
38,TWJ,12-44-47-35,3.277,0.003,PA-0025
39,TWJ,12-44-47-87,3.777,0.003,none
40,TWJ,12-44-48-43,4.277,0.003,none
41,TWJ,12-44-49-00,4.277,0.003,none
42,TWJ,12-44-49-57,4.277,0.003,none
43,TWJ,12-44-50-12,4.277,0.003,none
44,TWJ,12-44-50-68,4.277,0.003,none
45,TWJ,12-44-51-25,4.277,1.702,PA-0090
46,TWJ,12-44-51-76,4.277,1.702,PA-0090
47,TWJ,12-44-52-28,4.277,1.003,PA-0090
48,TWJ,12-44-52-86,4.277,0.503,PA-0090
49,TWJ,12-44-53-36,4.277,0.503,PA-0090
50,TWJ,12-44-53-93,4.277,0.503,PA-0090
51,TWJ,12-44-54-43,4.277,0.503,PA-0090
52,TWJ,12-44-55-01,4.277,0.503,PA-0090
53,TWJ,12-44-55-51,4.277,0.503,PA-0090
54,TWJ,12-44-56-10,4.277,0.503,none
55,TWJ,12-44-56-63,4.277,0.503,none
56,TWJ,12-44-57-23,4.277,0.503,none
57,TWJ,12-44-57-74,4.277,0.503,none
58,TWJ,12-44-58-33,4.277,0.503,PA-0090
59,TWJ,12-44-58-89,4.277,0.503,PA-0090
60,TWJ,12-44-59-48,4.277,0.503,PA-0090
61,TWJ,12-45-00-04,4.277,0.503,PA-0090
62,TWJ,12-45-00-61,4.277,0.503,PA-0090
63,TWJ,12-45-01-11,4.277,0.503,PA-0090
64,TWJ,12-45-01-68,4.277,0.503,PA-0090
65,TWJ,12-45-02-24,4.277,0.503,PA-0090
66,TWJ,12-45-02-82,4.277,0.503,PA-0090
67,TWJ,12-45-03-34,3.231,0.412,PA-0025
68,TWJ,12-45-03-84,2.485,0.346,none
69,TWJ,12-45-04-36,1.339,0.246,PA-0027
70,TWJ,12-45-04-94,1.339,0.246,PA-0027
71,TWJ,12-45-05-51,2.397,0.321,none
72,TWJ,12-45-06-09,3.294,0.269,PA-0025
73,TWJ,12-45-06-62,4.638,0.387,PA-0090
74,TWJ,12-45-07-19,4.937,0.413,PA-0025
75,TWJ,12-45-07-69,4.937,0.413,PA-0025
76,TWJ,12-45-08-27,4.937,0.413,none
77,TWJ,12-45-08-77,4.937,0.413,KO-0005
78,TWJ,12-45-09-29,4.937,0.413,KO-0005
79,TWJ,12-45-09-81,4.937,0.413,none
80,TWJ,12-45-10-33,4.937,0.413,none
81,TWJ,12-45-10-90,4.937,0.413,none
82,TWJ,12-45-11-42,4.937,0.413,none
83,TWJ,12-45-11-96,4.937,0.413,none
84,TWJ,12-45-12-49,4.937,0.413,none
85,TWJ,12-45-12-99,4.937,0.413,none
86,TWJ,12-45-13-57,4.937,0.413,none
87,TWJ,12-45-14-17,4.937,0.413,none
88,TWJ,12-45-14-67,4.937,0.413,none
89,TWJ,12-45-15-26,4.937,0.413,none
90,TWJ,12-45-15-82,5.45,-0.133,KO-0005
91,TWJ,12-45-16-34,5.93,-0.643,none
92,TWJ,12-45-16-92,5.93,-0.643,none
93,TWJ,12-45-17-44,6.443,-1.189,none
94,TWJ,12-45-17-95,6.785,-1.553,none
95,TWJ,12-45-18-49,7.402,-2.208,none
96,TWJ,12-45-19-07,8.053,-2.9,none
97,TWJ,12-45-19-59,9.046,-3.955,none
98,TWJ,12-45-20-15,9.662,-4.611,none
99,TWJ,12-45-20-74,9.604,-5.352,none
100,TWJ,12-45-21-25,8.985,-5.934,none
101,TWJ,12-45-21-84,8.84,-6.07,none
102,TWJ,12-45-22-42,10.041,-4.94,none
103,TWJ,12-45-22-93,10.869,-4.065,none
104,TWJ,12-45-23-45,11.04,-4.247,none
105,TWJ,12-45-23-97,11.588,-4.829,none
106,TWJ,12-45-24-55,12.273,-5.557,none
