row,id,time,position_x,position_z,looking_at
1,a,19-09-42-65,0,0,PA-0027
2,a,19-09-43-27,0,0,PA-0027
3,a,19-09-43-80,0,0,PA-0027
4,a,19-09-44-30,0,0,PA-0027
5,a,19-09-44-83,0,0,PA-0027
6,a,19-09-45-40,0,0,PA-0027
7,a,19-09-45-93,0,-0.4,PA-0027
8,a,19-09-46-50,0,-2.1,PA-0027
9,a,19-09-47-00,0,-3.6,PA-0027
10,a,19-09-47-55,0,-4,none
11,a,19-09-48-10,-0.421,-3.572,none
12,a,19-09-48-62,-0.421,-3.572,none
13,a,19-09-49-18,-0.421,-3.572,none
14,a,19-09-49-73,-0.421,-3.572,none
15,a,19-09-50-28,-0.432,-2.722,none
16,a,19-09-50-82,-0.825,-2.14,none
17,a,19-09-51-32,-0.797,-2.14,none
18,a,19-09-51-83,-0.222,-1.213,none
19,a,19-09-52-35,-1.75,-1.166,none
20,a,19-09-52-92,-4.148,-1.093,none
21,a,19-09-53-52,-7.522,-2.597,none
22,a,19-09-54-06,-8.065,-4.154,none
23,a,19-09-54-57,-8.56,-5.57,none
24,a,19-09-55-11,-9.087,-7.119,none
25,a,19-09-55-69,-10.369,-7.692,none
26,a,19-09-56-25,-11.555,-7.934,none
27,a,19-09-56-76,-12.407,-9.107,none
28,a,19-09-57-28,-13.284,-9.687,none
29,a,19-09-57-83,-14.985,-10.098,none
30,a,19-09-58-35,-16.168,-10.996,none
31,a,19-09-58-88,-16.616,-12.47,none
32,a,19-09-59-42,-18.171,-12.743,none
33,a,19-09-59-98,-19.731,-12.066,none
34,a,19-10-00-52,-20.923,-11.162,none
35,a,19-10-01-03,-21.497,-10.187,none
36,a,19-10-01-56,-21.615,-10.127,none
37,a,19-10-02-07,-20.377,-10.665,none
38,a,19-10-02-62,-20.377,-10.665,none
39,a,19-10-03-14,-20.39,-10.465,none
40,a,19-10-03-65,-19.706,-9.883,none
41,a,19-10-04-17,-18.382,-9.62,none
42,a,19-10-04-69,-16.998,-9.203,none
43,a,19-10-05-22,-15.648,-8.678,none
44,a,19-10-05-74,-12.951,-8.548,none
45,a,19-10-06-30,-9.769,-7.892,none
46,a,19-10-06-81,-8.598,-7.125,none
47,a,19-10-07-32,-4.77,-4.256,none
48,a,19-10-07-85,-1.659,-0.604,none
49,a,19-10-08-35,-0.958,-0.149,none
50,a,19-10-08-90,-0.958,-0.149,none
51,a,19-10-09-40,-0.958,-0.149,none
52,a,19-10-09-93,0.464,-2.36,none
53,a,19-10-10-45,1.125,-6.443,PA-0023
54,a,19-10-10-96,1.164,-7.092,PA-0023
55,a,19-10-11-52,1.164,-7.092,none
56,a,19-10-12-05,1.164,-7.092,none
57,a,19-10-12-57,1.078,-7.431,none
58,a,19-10-13-09,0.734,-8.788,none
59,a,19-10-13-62,0.684,-8.982,none
60,a,19-10-14-13,0.684,-8.982,none
61,a,19-10-14-68,0.684,-8.982,none
62,a,19-10-15-22,0.684,-8.982,none
63,a,19-10-15-77,0.684,-8.982,none
