row,id,time,position_x,position_z,looking_at
1,ainlee,12-44-15-99,0,0,PA-0027
2,ainlee,12-44-17-30,0,0,PA-0027
3,ainlee,12-44-17-81,0,0,PA-0027
4,ainlee,12-44-18-33,0,0,PA-0027
5,ainlee,12-44-18-84,0,0,PA-0027
6,ainlee,12-44-19-36,0,0,none
7,ainlee,12-44-19-86,0,0,none
8,ainlee,12-44-20-38,0,0,none
9,ainlee,12-44-20-88,0,0,none
10,ainlee,12-44-21-39,0,0,none
11,ainlee,12-44-21-89,0,0,none
12,ainlee,12-44-22-41,0,0,none
13,ainlee,12-44-22-93,0,0,none
14,ainlee,12-44-23-44,0,0,none
15,ainlee,12-44-23-96,0,0,none
16,ainlee,12-44-24-46,0,0,none
17,ainlee,12-44-24-98,0,0,none
18,ainlee,12-44-25-49,0,0,none
19,ainlee,12-44-25-99,0,0,none
20,ainlee,12-44-26-51,0,0,none
21,ainlee,12-44-27-01,0,0,none
22,ainlee,12-44-27-51,0,0,none
23,ainlee,12-44-28-01,0,0,none
24,ainlee,12-44-28-53,0,0,none
25,ainlee,12-44-29-03,0,0,none
26,ainlee,12-44-29-54,0,0,none
27,ainlee,12-44-30-06,0,0,none
28,ainlee,12-44-30-58,0,0,none
29,ainlee,12-44-31-09,0,0,none
30,ainlee,12-44-31-61,0,0,none
31,ainlee,12-44-32-13,0,0,none
32,ainlee,12-44-32-63,-0.865,-0.248,none
33,ainlee,12-44-33-14,-1.587,-0.434,none
34,ainlee,12-44-33-66,-1.587,-0.434,none
35,ainlee,12-44-34-16,-1.626,-0.403,none
36,ainlee,12-44-34-68,-2.675,0.447,none
37,ainlee,12-44-35-18,-2.675,0.447,none
38,ainlee,12-44-35-69,-2.675,0.447,none
39,ainlee,12-44-36-19,-1.597,0.232,none
40,ainlee,12-44-36-70,-0.372,-0.583,none
41,ainlee,12-44-37-21,0.23,-1.953,none
42,ainlee,12-44-37-73,0.882,-2.91,PA-0089
43,ainlee,12-44-38-23,1.118,-2.911,none
44,ainlee,12-44-38-74,1.059,-2.94,none
45,ainlee,12-44-39-26,1.122,-2.639,none
46,ainlee,12-44-39-78,1.061,-2.611,none
47,ainlee,12-44-40-29,1.118,-2.963,none
48,ainlee,12-44-40-81,1.157,-2.6,none
49,ainlee,12-44-41-33,1.128,-2.268,none
50,ainlee,12-44-41-83,1.124,-2.916,none
51,ainlee,12-44-42-34,1.077,-3.219,none
52,ainlee,12-44-42-84,1.51,-4.651,none
53,ainlee,12-44-43-36,2.867,-4.634,none
54,ainlee,12-44-43-88,3.295,-4.496,none
55,ainlee,12-44-44-39,3.295,-4.496,none
56,ainlee,12-44-44-89,3.295,-4.496,KO-0006
57,ainlee,12-44-45-41,3.295,-4.496,none
58,ainlee,12-44-45-93,3.295,-4.496,none
59,ainlee,12-44-46-44,3.295,-4.496,none
60,ainlee,12-44-46-96,3.295,-4.496,none
61,ainlee,12-44-47-48,3.295,-4.496,none
62,ainlee,12-44-47-98,4.428,-4.307,none
63,ainlee,12-44-48-49,5.956,-4.051,PA-0025
64,ainlee,12-44-49-01,6.899,-3.276,none
65,ainlee,12-44-49-53,6.899,-3.276,none
66,ainlee,12-44-50-04,6.899,-3.276,none
67,ainlee,12-44-50-56,6.606,-2.935,none
68,ainlee,12-44-51-06,6.247,-2.519,none
69,ainlee,12-44-51-58,6.247,-2.519,none
70,ainlee,12-44-52-08,6.247,-2.519,none
71,ainlee,12-44-52-59,6.247,-2.519,none
72,ainlee,12-44-53-11,6.247,-2.519,none
73,ainlee,12-44-53-63,6.247,-2.519,none
74,ainlee,12-44-54-13,6.247,-2.519,none
75,ainlee,12-44-54-64,6.247,-2.519,none
76,ainlee,12-44-55-16,6.247,-2.519,none
77,ainlee,12-44-55-68,6.247,-2.519,none
78,ainlee,12-44-56-18,5.66,-1.838,none
79,ainlee,12-44-56-69,5.66,-1.838,none
80,ainlee,12-44-57-21,5.66,-1.838,PA-0089
81,ainlee,12-44-57-71,5.66,-1.838,PA-0089
82,ainlee,12-44-58-23,5.85,-0.543,none
83,ainlee,12-44-58-74,5.479,-0.348,none
84,ainlee,12-44-59-26,5.479,-0.348,PA-0089
85,ainlee,12-44-59-78,5.479,-0.348,PA-0089
86,ainlee,12-45-00-29,5.133,-0.403,PA-0089
87,ainlee,12-45-00-81,3.8,-0.614,PA-0089
88,ainlee,12-45-01-33,3.8,-0.614,PA-0089
89,ainlee,12-45-01-83,3.8,-0.614,PA-0089
90,ainlee,12-45-02-34,3.8,-0.614,PA-0089
91,ainlee,12-45-02-86,3.8,-0.614,PA-0089
92,ainlee,12-45-03-38,3.8,-0.614,PA-0089
93,ainlee,12-45-03-89,3.5,-0.626,PA-0089
94,ainlee,12-45-04-41,3.5,-0.626,PA-0089
95,ainlee,12-45-04-91,3.5,-0.626,PA-0089
96,ainlee,12-45-05-43,3.5,-0.626,PA-0089
97,ainlee,12-45-05-94,3.5,-0.626,PA-0089
98,ainlee,12-45-06-44,3.5,-0.626,PA-0089
99,ainlee,12-45-06-96,3.5,-0.626,PA-0089
100,ainlee,12-45-07-46,3.5,-0.626,PA-0089
101,ainlee,12-45-07-98,3.5,-0.626,PA-0089
102,ainlee,12-45-08-48,3.5,-0.626,PA-0089
103,ainlee,12-45-08-99,3.5,-0.626,PA-0089
104,ainlee,12-45-09-49,3.5,-0.626,PA-0089
105,ainlee,12-45-10-01,3.5,-0.626,PA-0089
106,ainlee,12-45-10-53,3.5,-0.626,PA-0089
107,ainlee,12-45-11-04,3.75,-0.623,PA-0089
108,ainlee,12-45-11-56,3.75,-0.623,PA-0089
109,ainlee,12-45-12-08,4.049,-0.619,PA-0089
110,ainlee,12-45-12-59,4.049,-0.619,PA-0089
