row,id,time,position_x,position_z,looking_at
1,asdfa,19-05-49-47,0,0,PA-0027
2,asdfa,19-05-49-98,0,0,PA-0027
3,asdfa,19-05-50-50,0,0,PA-0027
4,asdfa,19-05-51-01,0,0,PA-0027
5,asdfa,19-05-51-52,0,0,none
6,asdfa,19-05-52-03,0,0,none
7,asdfa,19-05-52-53,0.302,-0.34,none
8,asdfa,19-05-53-04,-0.338,-1.03,none
9,asdfa,19-05-53-55,-0.884,-2.391,none
10,asdfa,19-05-54-06,-0.869,-2.349,none
11,asdfa,19-05-54-57,-0.869,-2.349,none
12,asdfa,19-05-55-08,-0.869,-2.349,none
13,asdfa,19-05-55-59,-0.434,-2.482,none
14,asdfa,19-05-56-10,-0.434,-2.482,none
15,asdfa,19-05-56-61,-0.434,-2.482,none
16,asdfa,19-05-57-12,-0.434,-2.482,none
17,asdfa,19-05-57-63,-0.434,-2.482,none
18,asdfa,19-05-58-14,-0.071,-2.484,none
19,asdfa,19-05-58-64,-0.267,-1.673,none
20,asdfa,19-05-59-15,-0.077,-1.169,none
21,asdfa,19-05-59-66,-0.077,-1.169,none
22,asdfa,19-06-00-17,-0.077,-1.169,none
23,asdfa,19-06-00-68,-0.077,-1.169,none
24,asdfa,19-06-01-19,-1.087,-1.366,none
25,asdfa,19-06-01-70,-0.949,-1.461,none
26,asdfa,19-06-02-21,0.231,-2.275,none
27,asdfa,19-06-02-72,1.042,-3.075,none
28,asdfa,19-06-03-22,0.678,-3.951,PA-0026
29,asdfa,19-06-03-73,0.998,-5.414,PA-0023
30,asdfa,19-06-04-23,0.957,-6.196,PA-0023
31,asdfa,19-06-04-74,1.14,-7.458,PA-0023
32,asdfa,19-06-05-25,1.511,-8.853,PA-0023
33,asdfa,19-06-05-76,1.474,-9.05,PA-0023
34,asdfa,19-06-06-27,1.557,-9.958,none
35,asdfa,19-06-06-78,1.557,-9.958,none
36,asdfa,19-06-07-29,1.557,-9.958,none
37,asdfa,19-06-07-80,1.557,-9.958,none
38,asdfa,19-06-08-31,1.557,-9.958,PA-0023
39,asdfa,19-06-08-81,1.557,-9.958,PA-0023
40,asdfa,19-06-09-32,1.287,-9.341,PA-0023
41,asdfa,19-06-09-82,0.678,-7.957,PA-0023
42,asdfa,19-06-10-32,0.448,-6.879,none
43,asdfa,19-06-10-83,0.448,-6.879,PA-0023
44,asdfa,19-06-11-33,0.905,-5.927,none
45,asdfa,19-06-11-84,1.749,-6.142,PA-0023
46,asdfa,19-06-12-35,1.117,-6.278,none
47,asdfa,19-06-12-86,0.118,-7.371,none
48,asdfa,19-06-13-36,0.744,-8.696,PA-0023
49,asdfa,19-06-13-86,1.364,-8.789,PA-0023
50,asdfa,19-06-14-37,1.364,-8.789,PA-0023
51,asdfa,19-06-14-87,1.364,-8.789,PA-0023
52,asdfa,19-06-15-38,1.349,-8.462,PA-0023
53,asdfa,19-06-15-89,2.62,-8.378,none
54,asdfa,19-06-16-39,3.805,-7.543,PA-0026
