row,id,time,position_x,position_z,looking_at
1,cactus,12-44-30-23,0,0,PA-0027
2,cactus,12-44-31-41,0,0,PA-0027
3,cactus,12-44-32-95,0,0,PA-0027
4,cactus,12-44-33-87,0,0,PA-0027
5,cactus,12-44-34-44,0,0,PA-0027
6,cactus,12-44-35-27,0,0,PA-0027
7,cactus,12-44-36-00,0,0,PA-0027
8,cactus,12-44-36-73,0,0,PA-0027
9,cactus,12-44-37-47,0,0,PA-0027
10,cactus,12-44-38-17,0,0,PA-0027
11,cactus,12-44-38-91,0,0,PA-0027
12,cactus,12-44-39-63,0,0,PA-0027
13,cactus,12-44-40-34,0,-0.3,PA-0027
14,cactus,12-44-41-04,0,-0.6,none
15,cactus,12-44-41-71,0,-0.6,none
16,cactus,12-44-42-40,0,-0.6,none
17,cactus,12-44-43-05,0,-0.6,none
18,cactus,12-44-43-72,0,-0.6,none
19,cactus,12-44-44-42,0,-0.6,none
20,cactus,12-44-45-10,0,-0.6,none
21,cactus,12-44-45-77,0,-0.6,none
22,cactus,12-44-46-46,0,-0.6,none
23,cactus,12-44-47-12,0,-0.6,none
24,cactus,12-44-47-79,0,-0.6,none
25,cactus,12-44-48-46,0,-0.6,none
26,cactus,12-44-49-21,0,-0.6,none
27,cactus,12-44-49-95,0,-0.6,none
28,cactus,12-44-50-67,0,-0.6,none
29,cactus,12-44-51-42,0,-0.6,none
30,cactus,12-44-52-16,0,-0.6,none
31,cactus,12-44-52-91,0,-0.6,none
32,cactus,12-44-53-68,0,-0.6,none
33,cactus,12-44-54-42,0,-0.6,PA-0031
34,cactus,12-44-55-13,0,-0.6,PA-0090
35,cactus,12-44-55-85,0,-0.6,none
36,cactus,12-44-56-57,0,-0.6,PA-0089
37,cactus,12-44-57-28,0,-0.6,none
38,cactus,12-44-57-97,0,-0.6,PA-0023
39,cactus,12-44-58-65,0,-0.6,PA-0026
40,cactus,12-44-59-31,0,-0.6,PA-0026
41,cactus,12-44-59-98,0,-0.6,PA-0026
42,cactus,12-45-00-65,0,-0.6,PA-0026
43,cactus,12-45-01-32,0.135,-0.868,PA-0026
44,cactus,12-45-01-98,0.135,-0.868,PA-0026
45,cactus,12-45-02-65,0.27,-1.136,PA-0026
46,cactus,12-45-03-30,0.002,-1.271,PA-0026
47,cactus,12-45-03-98,0.002,-1.271,PA-0026
48,cactus,12-45-04-65,0.137,-1.539,PA-0026
49,cactus,12-45-05-36,0.043,-1.824,none
50,cactus,12-45-06-03,0.043,-1.824,none
51,cactus,12-45-06-68,0.178,-2.092,none
52,cactus,12-45-07-35,0.045,-2.494,none
53,cactus,12-45-08-01,0.045,-2.494,none
54,cactus,12-45-08-71,-0.087,-2.897,none
55,cactus,12-45-09-37,0.183,-3.433,none
56,cactus,12-45-10-04,0.453,-3.969,none
57,cactus,12-45-10-71,0.723,-4.505,none
58,cactus,12-45-11-39,0.993,-5.04,none
59,cactus,12-45-12-06,0.457,-5.311,none
60,cactus,12-45-12-72,0.457,-5.311,none
61,cactus,12-45-13-39,0.592,-5.578,none
62,cactus,12-45-14-08,0.862,-6.114,none
63,cactus,12-45-14-74,0.862,-6.114,none
64,cactus,12-45-15-44,0.862,-6.114,none
65,cactus,12-45-16-11,0.594,-6.249,none
66,cactus,12-45-16-79,0.594,-6.249,none
67,cactus,12-45-17-45,0.594,-6.249,PA-0023
68,cactus,12-45-18-09,0.594,-6.249,PA-0023
69,cactus,12-45-18-76,0.594,-6.249,PA-0023
70,cactus,12-45-19-44,0.594,-6.249,PA-0023
71,cactus,12-45-20-09,0.594,-6.249,PA-0023
72,cactus,12-45-20-76,0.594,-6.249,none
73,cactus,12-45-21-40,0.654,-6.846,none
74,cactus,12-45-22-08,0.714,-7.443,PA-0023
75,cactus,12-45-22-75,0.714,-7.443,PA-0023
76,cactus,12-45-23-42,0.775,-8.04,PA-0023
77,cactus,12-45-24-05,0.775,-8.04,PA-0023
78,cactus,12-45-24-71,0.775,-8.04,none
79,cactus,12-45-25-35,0.775,-8.04,none
80,cactus,12-45-26-00,0.775,-8.04,none
81,cactus,12-45-26-64,0.775,-8.04,none
82,cactus,12-45-27-27,0.775,-8.04,PA-0023
83,cactus,12-45-27-90,0.775,-8.04,PA-0023
84,cactus,12-45-28-56,0.775,-8.04,PA-0023
85,cactus,12-45-29-22,0.775,-8.04,PA-0023
86,cactus,12-45-29-90,0.775,-8.04,PA-0023
87,cactus,12-45-30-57,0.775,-8.04,PA-0023
88,cactus,12-45-31-25,0.775,-8.04,PA-0023
89,cactus,12-45-31-92,0.73,-8.639,PA-0023
90,cactus,12-45-32-62,0.708,-8.938,PA-0023
91,cactus,12-45-33-27,0.708,-8.938,PA-0023
92,cactus,12-45-33-93,0.708,-8.938,PA-0023
93,cactus,12-45-34-60,0.708,-8.938,PA-0023
94,cactus,12-45-35-26,0.708,-8.938,none
95,cactus,12-45-35-95,0.708,-8.938,none
96,cactus,12-45-36-64,0.708,-8.938,none
97,cactus,12-45-37-23,0.708,-8.938,PA-0023
98,cactus,12-45-37-90,0.708,-8.938,PA-0023
99,cactus,12-45-38-58,0.708,-8.938,PA-0023
100,cactus,12-45-39-28,0.708,-8.938,PA-0023
101,cactus,12-45-39-99,0.708,-8.938,PA-0023
102,cactus,12-45-40-67,0.708,-8.938,PA-0023
103,cactus,12-45-41-35,0.708,-8.938,none
104,cactus,12-45-42-08,0.708,-8.938,none
105,cactus,12-45-42-78,0.708,-8.938,none
106,cactus,12-45-43-46,0.708,-8.938,none
107,cactus,12-45-44-12,0.708,-8.938,none
108,cactus,12-45-44-77,0.708,-8.938,none
109,cactus,12-45-45-45,0.896,-8.704,none
110,cactus,12-45-46-15,1.271,-8.236,none
111,cactus,12-45-46-80,1.271,-8.236,none
112,cactus,12-45-47-48,1.271,-8.236,none
113,cactus,12-45-48-15,1.505,-8.424,none
114,cactus,12-45-48-83,1.505,-8.424,none
115,cactus,12-45-49-52,1.505,-8.424,none
116,cactus,12-45-50-20,1.505,-8.424,none
117,cactus,12-45-50-84,1.505,-8.424,none
118,cactus,12-45-51-55,1.505,-8.424,none
119,cactus,12-45-52-23,2.105,-8.45,none
120,cactus,12-45-52-96,2.704,-8.476,none
121,cactus,12-45-53-68,3.004,-8.489,none
122,cactus,12-45-54-39,3.004,-8.489,none
123,cactus,12-45-55-11,3.004,-8.489,none
124,cactus,12-45-55-84,3.004,-8.489,none
125,cactus,12-45-56-56,3.004,-8.489,none
126,cactus,12-45-57-28,3.004,-8.489,PA-0026
127,cactus,12-45-57-97,3.004,-8.489,PA-0026
128,cactus,12-45-58-67,3.004,-8.489,PA-0026
129,cactus,12-45-59-35,3.004,-8.489,PA-0026
130,cactus,12-46-00-06,3.004,-8.489,PA-0026
131,cactus,12-46-00-76,3.213,-8.704,PA-0026
132,cactus,12-46-01-44,3.422,-8.919,PA-0026
133,cactus,12-46-02-13,3.422,-8.919,PA-0026
134,cactus,12-46-02-83,3.422,-8.919,PA-0026
135,cactus,12-46-03-54,3.422,-8.919,none
136,cactus,12-46-04-22,3.422,-8.919,PA-0023
137,cactus,12-46-04-92,3.422,-8.919,PA-0023
138,cactus,12-46-05-60,3.422,-8.919,none
139,cactus,12-46-06-34,3.422,-8.919,none
140,cactus,12-46-07-01,3.422,-8.919,none
141,cactus,12-46-07-70,3.422,-8.919,none
142,cactus,12-46-08-38,3.422,-8.919,none
143,cactus,12-46-09-07,3.422,-8.919,none
144,cactus,12-46-09-72,3.422,-8.919,none
145,cactus,12-46-10-40,3.422,-8.919,none
146,cactus,12-46-11-07,3.422,-8.919,none
147,cactus,12-46-11-73,3.277,-8.337,none
148,cactus,12-46-12-40,3.132,-7.754,none
149,cactus,12-46-13-09,3.441,-7.24,none
150,cactus,12-46-13-80,4.023,-7.095,none
151,cactus,12-46-14-48,3.878,-6.513,none
152,cactus,12-46-15-20,3.733,-5.931,none
153,cactus,12-46-15-89,3.588,-5.349,none
154,cactus,12-46-16-59,3.443,-4.766,none
155,cactus,12-46-17-28,4.025,-4.621,none
156,cactus,12-46-18-00,4.243,-4.258,none
157,cactus,12-46-18-71,4.171,-3.966,none
158,cactus,12-46-19-42,4.098,-3.675,none
159,cactus,12-46-20-14,4.026,-3.384,none
160,cactus,12-46-20-85,4.026,-3.384,none
161,cactus,12-46-21-55,3.88,-2.802,none
162,cactus,12-46-22-26,3.88,-2.802,none
163,cactus,12-46-22-98,3.808,-2.511,none
164,cactus,12-46-23-72,3.735,-2.22,none
165,cactus,12-46-24-45,3.735,-2.22,none
166,cactus,12-46-25-15,3.735,-2.22,none
167,cactus,12-46-25-90,3.735,-2.22,none
168,cactus,12-46-26-59,3.735,-2.22,none
169,cactus,12-46-27-33,3.735,-2.22,none
170,cactus,12-46-28-04,3.735,-2.22,none
