row,id,time,position_x,position_z,looking_at
1,cy,12-43-26-75,0,0,PA-0027
2,cy,12-43-27-62,0,0,PA-0027
3,cy,12-43-35-33,0,0,PA-0027
4,cy,12-43-35-86,0,0,PA-0027
5,cy,12-43-36-39,0,0,PA-0027
6,cy,12-43-36-90,0,0,PA-0027
7,cy,12-43-37-41,0,0,PA-0027
8,cy,12-43-37-99,0,0,PA-0027
9,cy,12-43-38-56,0,0,PA-0027
10,cy,12-43-39-07,0,0,PA-0027
11,cy,12-43-39-57,0,0,PA-0027
12,cy,12-43-40-14,0,0,PA-0027
13,cy,12-43-40-64,0,0,PA-0027
14,cy,12-43-41-20,0,0,PA-0027
15,cy,12-43-41-74,0,0,PA-0027
16,cy,12-43-42-32,0,0,PA-0027
17,cy,12-43-42-86,0,0,PA-0027
18,cy,12-43-43-42,0,0,PA-0027
19,cy,12-43-44-03,0,0,PA-0027
20,cy,12-43-44-56,0,0,PA-0027
21,cy,12-43-45-08,0,0,PA-0027
22,cy,12-43-45-65,0,0,PA-0027
23,cy,12-43-46-15,-1.15,0,none
24,cy,12-43-46-74,-2,0,none
25,cy,12-43-47-29,-2,0,none
26,cy,12-43-47-80,-2,0,none
27,cy,12-43-48-39,-2,-0.65,none
28,cy,12-43-48-96,-2,-1.75,none
29,cy,12-43-49-46,-2,-3.3,none
30,cy,12-43-50-04,-2,-4.05,none
31,cy,12-43-50-56,-2.2,-5.2,none
32,cy,12-43-51-12,-3.75,-5.2,none
33,cy,12-43-51-70,-2.25,-5.2,none
34,cy,12-43-52-24,-2.25,-5.2,none
35,cy,12-43-52-77,-2.25,-5.2,none
36,cy,12-43-53-27,-2.25,-5.2,none
37,cy,12-43-53-79,-2.25,-5.2,none
38,cy,12-43-54-29,-2.25,-5.2,none
39,cy,12-43-54-83,-2.25,-5.2,none
40,cy,12-43-55-44,-2.25,-5.2,none
41,cy,12-43-55-97,-2.25,-5.2,none
42,cy,12-43-56-51,-2.25,-5.2,none
43,cy,12-43-57-09,-2.25,-5.2,none
44,cy,12-43-57-60,-2.25,-5.2,none
45,cy,12-43-58-12,-2.25,-5.2,none
46,cy,12-43-58-65,-1.572,-5.2,none
47,cy,12-43-59-19,-5.025,-5.2,none
48,cy,12-43-59-72,-6.972,-5.2,none
49,cy,12-44-00-25,-6.723,-5.2,none
50,cy,12-44-00-79,-6.723,-5.2,none
51,cy,12-44-01-32,-6.723,-5.2,none
52,cy,12-44-01-87,-6.523,-5.2,none
53,cy,12-44-02-39,-5.622,-5.2,none
54,cy,12-44-02-92,-5.622,-5.2,none
55,cy,12-44-03-42,-4.972,-5.2,none
56,cy,12-44-03-99,-4.972,-5.2,none
57,cy,12-44-04-52,-4.972,-5.2,none
58,cy,12-44-05-04,-4.972,-3.599,none
59,cy,12-44-05-55,-4.321,-3.599,none
60,cy,12-44-06-08,-4.321,-3.599,none
61,cy,12-44-06-59,-4.321,-3.599,none
62,cy,12-44-07-10,-3.871,-3.599,none
63,cy,12-44-07-62,-3.22,-3.599,none
64,cy,12-44-08-14,-3.22,-3.599,none
65,cy,12-44-08-65,-3.22,-3.599,none
66,cy,12-44-09-17,-3.22,-3.599,none
67,cy,12-44-09-69,-3.22,-3.599,none
68,cy,12-44-10-21,-3.22,-3.599,none
69,cy,12-44-10-72,-3.22,-3.599,none
70,cy,12-44-11-31,-3.22,-3.599,none
71,cy,12-44-11-84,-3.22,-3.599,none
72,cy,12-44-12-37,-3.22,-3.599,none
73,cy,12-44-12-89,-3.22,-3.599,none
74,cy,12-44-13-41,-3.22,-3.599,none
75,cy,12-44-13-99,-3.22,-3.599,none
76,cy,12-44-14-50,-3.22,-3.599,none
77,cy,12-44-15-02,-3.22,-3.599,none
