row,id,time,position_x,position_z,looking_at
1,dabinii,12-44-24-52,0,0,PA-0027
2,dabinii,12-44-25-33,0,0,PA-0027
3,dabinii,12-44-25-84,0,0,PA-0027
4,dabinii,12-44-26-35,0,0,PA-0027
5,dabinii,12-44-26-86,0,0,PA-0027
6,dabinii,12-44-27-36,0,0,PA-0027
7,dabinii,12-44-27-87,0,0,PA-0027
8,dabinii,12-44-28-37,0,0,PA-0027
9,dabinii,12-44-28-88,0,0,PA-0027
10,dabinii,12-44-29-39,0,0,PA-0027
11,dabinii,12-44-29-89,0,0,PA-0027
12,dabinii,12-44-30-40,0,0,PA-0027
13,dabinii,12-44-30-91,0,0,PA-0027
14,dabinii,12-44-31-42,0,0,PA-0027
15,dabinii,12-44-31-93,0,0,PA-0027
16,dabinii,12-44-32-44,0,0,PA-0027
17,dabinii,12-44-32-96,0,0,PA-0027
18,dabinii,12-44-33-47,0,0,PA-0027
19,dabinii,12-44-33-99,0,0,PA-0027
20,dabinii,12-44-34-50,0,0,PA-0027
21,dabinii,12-44-35-01,0,0,PA-0027
22,dabinii,12-44-35-52,0,0,PA-0027
23,dabinii,12-44-36-03,0,0,PA-0027
24,dabinii,12-44-36-53,0,0,PA-0027
25,dabinii,12-44-37-03,0,0,none
26,dabinii,12-44-37-54,0,0,none
27,dabinii,12-44-38-04,0,0,none
28,dabinii,12-44-38-55,0,0,none
29,dabinii,12-44-39-06,0,0,none
30,dabinii,12-44-39-57,0,0,none
31,dabinii,12-44-40-08,0,0,none
32,dabinii,12-44-40-58,0,0,none
33,dabinii,12-44-41-08,0,0,none
34,dabinii,12-44-41-59,0,0,PA-0023
35,dabinii,12-44-42-10,0,0,none
36,dabinii,12-44-42-61,0,0,none
37,dabinii,12-44-43-12,-0.052,-1.408,none
38,dabinii,12-44-43-63,-0.011,-1.642,none
39,dabinii,12-44-44-15,0.094,-2.362,none
40,dabinii,12-44-44-66,0.731,-3.013,none
41,dabinii,12-44-45-16,1.021,-3.316,none
42,dabinii,12-44-45-68,1.021,-3.316,none
43,dabinii,12-44-46-19,0.87,-3.417,none
44,dabinii,12-44-46-70,0.795,-3.474,none
45,dabinii,12-44-47-22,0.411,-2.729,none
46,dabinii,12-44-47-72,0.183,-2.579,none
47,dabinii,12-44-48-23,0.183,-2.579,none
48,dabinii,12-44-48-73,0.183,-2.579,none
49,dabinii,12-44-49-24,0.82,-3.138,none
50,dabinii,12-44-49-75,1.058,-3.025,none
51,dabinii,12-44-50-25,1.058,-3.025,none
52,dabinii,12-44-50-77,1.058,-3.025,none
53,dabinii,12-44-51-27,0.661,-3.636,none
54,dabinii,12-44-51-78,0.304,-4.186,none
55,dabinii,12-44-52-29,-0.048,-4.759,none
56,dabinii,12-44-52-79,0.76,-5.041,none
57,dabinii,12-44-53-30,2.113,-5.416,none
58,dabinii,12-44-53-81,1.689,-6.885,none
59,dabinii,12-44-54-31,1.467,-7.58,PA-0023
60,dabinii,12-44-54-82,1.467,-7.58,PA-0023
61,dabinii,12-44-55-33,1.252,-7.938,none
62,dabinii,12-44-55-83,1.014,-8.47,PA-0023
63,dabinii,12-44-56-34,1.014,-8.47,none
64,dabinii,12-44-56-85,1.014,-8.47,none
65,dabinii,12-44-57-36,1.014,-8.47,none
66,dabinii,12-44-57-87,1.014,-8.47,PA-0023
67,dabinii,12-44-58-37,1.014,-8.47,PA-0023
68,dabinii,12-44-58-88,1.014,-8.47,PA-0023
69,dabinii,12-44-59-39,1.014,-8.47,PA-0023
70,dabinii,12-44-59-90,1.014,-8.47,PA-0023
71,dabinii,12-45-00-41,1.014,-8.47,PA-0023
72,dabinii,12-45-00-92,1.014,-8.47,PA-0023
73,dabinii,12-45-01-43,1.014,-8.47,PA-0023
74,dabinii,12-45-01-94,1.014,-8.47,PA-0023
75,dabinii,12-45-02-45,1.014,-8.47,PA-0023
76,dabinii,12-45-02-96,1.014,-8.47,none
77,dabinii,12-45-03-47,1.014,-8.47,PA-0023
78,dabinii,12-45-03-99,1.005,-8.524,PA-0023
79,dabinii,12-45-04-49,0.912,-9.081,PA-0023
80,dabinii,12-45-05-01,0.912,-9.081,PA-0023
81,dabinii,12-45-05-51,0.912,-9.081,PA-0023
82,dabinii,12-45-06-03,0.517,-8.404,PA-0023
