row,id,time,position_x,position_z,looking_at
1,dfadf,12-52-10-56,0,0,PA-0027
2,dfadf,12-52-11-16,0,0,PA-0027
3,dfadf,12-52-12-04,0,0,PA-0027
4,dfadf,12-52-12-58,0,0,PA-0027
5,dfadf,12-52-13-15,0,0,PA-0027
6,dfadf,12-52-13-68,0,0,PA-0027
7,dfadf,12-52-14-21,0,0,PA-0027
8,dfadf,12-52-14-73,0.949,0,none
9,dfadf,12-52-15-26,0.949,-1.499,none
10,dfadf,12-52-15-81,1.263,-1.799,none
11,dfadf,12-52-16-33,1.463,-2.948,none
12,dfadf,12-52-16-89,2.244,-4.098,PA-0025
13,dfadf,12-52-17-46,2.993,-3.148,PA-0025
14,dfadf,12-52-17-99,2.993,-2.549,PA-0025
15,dfadf,12-52-18-53,2.993,-2.549,PA-0025
16,dfadf,12-52-19-04,2.993,-2.549,PA-0025
17,dfadf,12-52-19-56,2.394,-2.549,PA-0025
18,dfadf,12-52-20-07,2.394,-2.549,PA-0025
19,dfadf,12-52-20-59,2.394,-2.549,PA-0025
20,dfadf,12-52-21-09,2.394,-2.549,PA-0025
21,dfadf,12-52-21-61,2.394,-2.549,none
22,dfadf,12-52-22-12,2.394,-2.549,none
23,dfadf,12-52-22-65,2.732,-2.762,none
24,dfadf,12-52-23-19,3.798,-2.086,PA-0089
25,dfadf,12-52-23-74,3.78,-1.366,none
26,dfadf,12-52-24-25,3.4,-1.126,none
27,dfadf,12-52-24-82,3.4,-1.126,none
28,dfadf,12-52-25-39,3.4,-1.126,none
29,dfadf,12-52-25-95,3.4,-1.126,none
30,dfadf,12-52-26-47,3.4,-1.126,none
31,dfadf,12-52-27-04,3.4,-1.126,none
32,dfadf,12-52-27-58,3.78,-1.366,none
33,dfadf,12-52-28-13,3.273,-1.046,none
34,dfadf,12-52-28-70,3.273,-1.046,none
35,dfadf,12-52-29-23,3.273,-1.046,none
36,dfadf,12-52-29-75,3.273,-1.046,none
37,dfadf,12-52-30-31,3.273,-1.046,none
38,dfadf,12-52-30-85,3.273,-1.046,none
39,dfadf,12-52-31-38,3.273,-1.046,none
40,dfadf,12-52-31-91,3.273,-1.046,none
41,dfadf,12-52-32-43,3.273,-1.046,none
42,dfadf,12-52-32-95,3.273,-1.046,none
43,dfadf,12-52-33-50,3.273,-1.046,none
44,dfadf,12-52-34-06,3.273,-1.046,none
45,dfadf,12-52-34-61,3.273,-1.046,none
46,dfadf,12-52-35-14,3.273,-1.046,none
47,dfadf,12-52-35-66,3.273,-1.046,none
48,dfadf,12-52-36-20,3.273,-1.046,none
49,dfadf,12-52-36-74,3.273,-1.046,none
50,dfadf,12-52-37-26,3.273,-1.046,none
51,dfadf,12-52-37-79,3.273,-1.046,none
52,dfadf,12-52-38-30,3.273,-1.046,none
53,dfadf,12-52-38-83,3.273,-1.046,none
54,dfadf,12-52-39-35,3.273,-1.046,none
55,dfadf,12-52-39-86,3.273,-1.046,none
56,dfadf,12-52-40-36,3.273,-1.046,none
57,dfadf,12-52-40-88,3.273,-1.046,none
58,dfadf,12-52-41-44,3.273,-1.046,none
59,dfadf,12-52-41-96,3.273,-1.046,none
60,dfadf,12-52-42-48,3.273,-1.046,none
61,dfadf,12-52-42-99,3.273,-1.046,none
62,dfadf,12-52-43-51,3.273,-1.046,none
63,dfadf,12-52-44-01,3.273,-1.046,none
64,dfadf,12-52-44-57,3.273,-1.046,none
65,dfadf,12-52-45-16,3.273,-1.046,none
66,dfadf,12-52-45-67,3.273,-1.046,none
67,dfadf,12-52-46-21,3.273,-1.046,none
68,dfadf,12-52-46-74,3.273,-1.046,none
69,dfadf,12-52-47-30,3.273,-1.046,none
70,dfadf,12-52-47-82,3.273,-1.046,none
71,dfadf,12-52-48-34,3.273,-1.046,none
72,dfadf,12-52-48-85,3.273,-1.046,none
73,dfadf,12-52-49-43,3.273,-1.046,none
74,dfadf,12-52-49-94,3.273,-1.046,none
