row,id,time,position_x,position_z,looking_at
1,godot,19-07-11-40,0,0,PA-0027
2,godot,19-07-12-84,0,0,PA-0027
3,godot,19-07-13-36,0,0,PA-0027
4,godot,19-07-13-88,0,0,PA-0027
5,godot,19-07-14-39,0,0,PA-0027
6,godot,19-07-14-91,0,0,PA-0027
7,godot,19-07-15-43,0,0,PA-0027
8,godot,19-07-15-94,0,0,PA-0027
9,godot,19-07-16-46,0,0,PA-0027
10,godot,19-07-16-96,0,0,PA-0027
11,godot,19-07-17-46,0,0,PA-0027
12,godot,19-07-17-99,0,0,PA-0027
13,godot,19-07-18-51,0,0,PA-0027
14,godot,19-07-19-03,0,0,PA-0027
15,godot,19-07-19-54,0,0,PA-0027
16,godot,19-07-20-06,0,0,PA-0027
17,godot,19-07-20-56,0,0,PA-0027
18,godot,19-07-21-06,0,0,PA-0027
19,godot,19-07-21-58,0,0,PA-0027
20,godot,19-07-22-09,0,0,PA-0027
21,godot,19-07-22-61,0,0,PA-0027
22,godot,19-07-23-11,0,0,PA-0027
23,godot,19-07-23-61,0,0,PA-0027
24,godot,19-07-24-11,0,0,PA-0027
25,godot,19-07-24-63,0,0,PA-0027
26,godot,19-07-25-14,0.75,0,PA-0027
27,godot,19-07-25-64,1.126,-0.015,none
28,godot,19-07-26-16,0.71,-0.014,PA-0027
29,godot,19-07-26-68,-0.84,-0.014,none
30,godot,19-07-27-19,-2.386,-0.014,none
31,godot,19-07-27-69,-3.886,-0.014,none
32,godot,19-07-28-21,-3.935,1.136,none
33,godot,19-07-28-73,-3.935,2.686,none
34,godot,19-07-29-24,-3.935,4.236,none
35,godot,19-07-29-76,-3.935,5.786,none
36,godot,19-07-30-26,-3.935,7.286,none
37,godot,19-07-30-78,-3.935,8.836,none
38,godot,19-07-31-29,-3.935,10.386,none
39,godot,19-07-31-79,-3.935,11.886,none
40,godot,19-07-32-31,-3.935,13.436,none
41,godot,19-07-32-81,-3.935,14.936,none
42,godot,19-07-33-33,-3.935,16.486,none
43,godot,19-07-33-85,-3.935,18.036,none
44,godot,19-07-34-36,-3.935,19.386,none
45,godot,19-07-34-88,-3.935,19.386,none
46,godot,19-07-35-38,-3.935,19.386,PA-0024
47,godot,19-07-35-89,-3.935,19.386,none
48,godot,19-07-36-41,-4.011,20.547,none
49,godot,19-07-36-91,-3.581,21.613,none
50,godot,19-07-37-43,-3.581,21.613,none
51,godot,19-07-37-95,-3.581,21.613,none
52,godot,19-07-38-46,-3.551,22.963,none
53,godot,19-07-38-96,-2.617,23.564,none
54,godot,19-07-39-48,-2.367,23.568,none
55,godot,19-07-39-99,-2.367,23.568,none
56,godot,19-07-40-49,-2.367,23.568,none
57,godot,19-07-41-00,-2.52,22.681,none
58,godot,19-07-41-51,-2.511,22.731,none
59,godot,19-07-42-03,-1.397,23.202,none
60,godot,19-07-42-53,-1.003,23.131,none
61,godot,19-07-43-03,-1.003,23.131,PA-0025
62,godot,19-07-43-54,-0.072,23.342,PA-0025
63,godot,19-07-44-04,0.266,22.347,PA-0025
64,godot,19-07-44-56,-0.41,21.695,PA-0025
65,godot,19-07-45-06,-0.169,20.985,PA-0025
66,godot,19-07-45-58,-0.169,20.985,PA-0026
67,godot,19-07-46-09,-0.063,20.293,PA-0026
68,godot,19-07-46-61,0.135,19.008,PA-0026
69,godot,19-07-47-11,0.188,18.662,PA-0026
70,godot,19-07-47-63,0.188,18.662,PA-0087
71,godot,19-07-48-14,0.275,18.428,PA-0087
72,godot,19-07-48-64,0.5,17.818,PA-0087
73,godot,19-07-49-16,0.431,18.005,PA-0087
74,godot,19-07-49-66,0.656,17.396,PA-0087
75,godot,19-07-50-16,0.656,17.396,PA-0087
76,godot,19-07-50-68,0.631,17.644,PA-0087
77,godot,19-07-51-19,0.133,18.097,PA-0087
78,godot,19-07-51-71,0.183,17.599,PA-0087
79,godot,19-07-52-23,0.183,17.599,PA-0087
80,godot,19-07-52-74,0.183,17.599,PA-0087
81,godot,19-07-53-26,0.183,17.599,PA-0087
82,godot,19-07-53-76,0.183,17.599,PA-0087
83,godot,19-07-54-28,0.183,17.599,PA-0087
84,godot,19-07-54-78,0.183,17.599,PA-0087
85,godot,19-07-55-29,0.183,17.599,PA-0087
86,godot,19-07-55-79,0.29,17.768,none
87,godot,19-07-56-30,0.423,17.98,none
88,godot,19-07-56-81,0.101,18.284,none
89,godot,19-07-57-33,-0.38,18.646,none
90,godot,19-07-57-83,-0.594,18.308,none
91,godot,19-07-58-34,-0.594,18.308,none
92,godot,19-07-58-86,-0.594,18.308,none
93,godot,19-07-59-38,-0.594,18.308,none
94,godot,19-07-59-89,-0.095,18.332,none
95,godot,19-08-00-41,0.329,17.851,PA-0087
96,godot,19-08-00-91,-0.493,17.261,PA-0087
97,godot,19-08-01-41,-0.493,17.261,PA-0087
98,godot,19-08-01-93,-0.493,17.261,PA-0087
99,godot,19-08-02-44,-0.493,17.261,PA-0087
100,godot,19-08-02-94,-0.493,17.261,PA-0087
101,godot,19-08-03-44,-0.493,17.261,PA-0087
102,godot,19-08-03-96,-0.493,17.261,PA-0087
103,godot,19-08-04-48,-0.493,17.261,PA-0087
104,godot,19-08-04-98,0.506,16.801,none
105,godot,19-08-05-49,0.506,16.801,PA-0087
106,godot,19-08-06-01,0.506,16.801,PA-0087
107,godot,19-08-06-51,0.506,16.801,PA-0087
108,godot,19-08-07-03,0.506,16.801,PA-0087
109,godot,19-08-07-54,0.506,16.801,PA-0087
110,godot,19-08-08-06,0.506,16.801,PA-0087
111,godot,19-08-08-58,0.506,16.801,PA-0027
112,godot,19-08-09-09,0.506,16.801,none
113,godot,19-08-09-61,0.506,16.801,PA-0027
114,godot,19-08-10-13,1.347,16.678,PA-0027
115,godot,19-08-10-64,0.802,16.757,PA-0027
116,godot,19-08-11-15,1.738,16.095,none
117,godot,19-08-11-66,1.666,15.6,PA-0027
118,godot,19-08-12-18,1.666,15.6,PA-0027
119,godot,19-08-12-68,1.071,16.057,none
120,godot,19-08-13-18,1.587,15.661,PA-0027
121,godot,19-08-13-68,1.309,15.874,PA-0027
122,godot,19-08-14-19,1.309,15.874,PA-0027
123,godot,19-08-14-71,1.845,15.604,PA-0027
124,godot,19-08-15-23,1.175,15.942,PA-0027
125,godot,19-08-15-73,0.86,15.316,PA-0027
126,godot,19-08-16-24,0.86,15.316,PA-0027
127,godot,19-08-16-76,0.57,14.679,PA-0027
128,godot,19-08-17-28,0.445,14.406,PA-0027
129,godot,19-08-17-79,0.445,14.406,PA-0027
130,godot,19-08-18-31,0.445,14.406,PA-0027
131,godot,19-08-18-81,0.445,14.406,PA-0027
132,godot,19-08-19-33,0.446,14.406,PA-0027
133,godot,19-08-19-83,0.446,14.406,PA-0027
134,godot,19-08-20-34,0.446,14.406,PA-0027
135,godot,19-08-20-86,0.446,14.406,PA-0027
136,godot,19-08-21-36,0.446,14.406,PA-0027
137,godot,19-08-21-86,0.446,14.406,PA-0027
138,godot,19-08-22-38,0.446,14.406,PA-0027
139,godot,19-08-22-90,0.446,14.406,PA-0027
140,godot,19-08-23-41,0.446,14.406,PA-0027
141,godot,19-08-23-91,0.446,14.406,PA-0027
142,godot,19-08-24-41,0.446,14.406,PA-0027
143,godot,19-08-24-91,0.446,14.406,PA-0027
144,godot,19-08-25-43,0.446,14.406,PA-0027
145,godot,19-08-25-95,0.446,14.406,PA-0027
146,godot,19-08-26-46,0.446,14.406,PA-0027
147,godot,19-08-26-96,0.446,14.406,PA-0027
148,godot,19-08-27-48,0.446,14.406,PA-0027
149,godot,19-08-28-00,0.446,14.406,PA-0027
150,godot,19-08-28-51,0.446,14.406,PA-0027
151,godot,19-08-29-01,0.446,14.406,PA-0027
