row,id,time,position_x,position_z,looking_at
1,minyung,19-03-46-37,0,0,PA-0027
2,minyung,19-03-47-03,0,0,PA-0027
3,minyung,19-03-47-55,0,0,PA-0027
4,minyung,19-03-48-05,0,0,PA-0027
5,minyung,19-03-48-57,0,0,PA-0027
6,minyung,19-03-49-08,0,0,PA-0027
7,minyung,19-03-49-58,0,0,none
8,minyung,19-03-50-10,0,0,PA-0027
9,minyung,19-03-50-60,0,0,PA-0027
10,minyung,19-03-51-11,0,0,PA-0027
11,minyung,19-03-51-62,0,0,PA-0027
12,minyung,19-03-52-13,0,0,PA-0027
13,minyung,19-03-52-65,-1,0,none
14,minyung,19-03-53-16,0.4,0,PA-0027
15,minyung,19-03-53-68,0.4,0,PA-0027
16,minyung,19-03-54-20,0.4,0,none
17,minyung,19-03-54-70,0.4,0,none
18,minyung,19-03-55-20,0.4,0,none
19,minyung,19-03-55-70,0.4,0,none
20,minyung,19-03-56-21,0.4,0,PA-0089
21,minyung,19-03-56-73,0.4,0,none
22,minyung,19-03-57-23,0.4,0,none
23,minyung,19-03-57-75,0.4,0,none
24,minyung,19-03-58-25,0.4,0,none
25,minyung,19-03-58-76,0.4,0,none
26,minyung,19-03-59-28,0.4,0,none
27,minyung,19-03-59-78,0.4,0,none
28,minyung,19-04-00-31,0.4,0,none
29,minyung,19-04-00-81,0.4,0,none
30,minyung,19-04-01-31,0.4,0,none
31,minyung,19-04-01-83,0.4,0,none
32,minyung,19-04-02-33,0.4,0,none
33,minyung,19-04-02-85,0.4,0,none
34,minyung,19-04-03-35,0.4,0,none
35,minyung,19-04-03-86,0.4,0,none
36,minyung,19-04-04-37,0.416,-1.2,none
37,minyung,19-04-04-88,0.427,-2.05,none
38,minyung,19-04-05-38,0.447,-3.55,none
39,minyung,19-04-05-90,0.454,-4.1,none
40,minyung,19-04-06-40,0.454,-4.1,none
41,minyung,19-04-06-90,0.454,-4.1,none
42,minyung,19-04-07-41,0.454,-4.1,PA-0027
43,minyung,19-04-07-93,0.454,-4.1,none
44,minyung,19-04-08-45,0.454,-4.1,none
45,minyung,19-04-08-95,0.454,-4.1,none
46,minyung,19-04-09-45,0.454,-4.1,none
47,minyung,19-04-09-95,0.454,-4.1,none
48,minyung,19-04-10-46,0.553,-4.085,none
49,minyung,19-04-10-98,-0.041,-4.171,none
50,minyung,19-04-11-48,0.85,-4.042,none
51,minyung,19-04-12-00,-0.239,-4.2,none
52,minyung,19-04-12-50,-1.752,-4.415,none
53,minyung,19-04-13-01,-2.495,-4.523,none
54,minyung,19-04-13-51,-1.505,-4.379,none
55,minyung,19-04-14-03,-0.253,-4.187,none
56,minyung,19-04-14-55,-0.088,-5.325,none
57,minyung,19-04-15-06,-0.124,-5.078,none
58,minyung,19-04-15-57,-0.317,-3.741,none
59,minyung,19-04-16-08,-0.317,-3.741,none
60,minyung,19-04-16-60,-0.317,-3.741,none
61,minyung,19-04-17-10,-0.317,-3.741,none
62,minyung,19-04-17-62,-0.317,-3.741,none
63,minyung,19-04-18-13,-0.317,-3.741,none
64,minyung,19-04-18-65,-0.317,-3.741,none
65,minyung,19-04-19-16,-0.317,-3.741,none
66,minyung,19-04-19-68,-0.317,-3.741,none
67,minyung,19-04-20-20,-0.317,-3.741,none
68,minyung,19-04-20-71,-0.331,-3.091,none
69,minyung,19-04-21-21,-0.35,-2.241,none
70,minyung,19-04-21-73,-0.609,-1.797,none
71,minyung,19-04-22-23,-2.109,-1.83,none
72,minyung,19-04-22-75,-3.659,-1.864,none
73,minyung,19-04-23-25,-3.159,-1.853,none
74,minyung,19-04-23-76,-1.609,-1.819,none
75,minyung,19-04-24-26,-0.26,-1.789,none
76,minyung,19-04-24-78,-0.26,-1.789,none
77,minyung,19-04-25-30,-0.26,-1.789,none
78,minyung,19-04-25-80,-0.26,-1.789,none
79,minyung,19-04-26-31,-0.26,-1.789,none
80,minyung,19-04-26-83,-0.26,-1.789,none
81,minyung,19-04-27-35,-0.26,-1.789,none
82,minyung,19-04-27-85,-0.26,-1.789,none
83,minyung,19-04-28-37,-0.26,-1.789,none
84,minyung,19-04-28-88,-0.26,-1.789,none
85,minyung,19-04-29-40,0.066,-2.84,none
86,minyung,19-04-29-90,0.08,-3.726,none
87,minyung,19-04-30-41,-0.315,-4.477,PA-0023
88,minyung,19-04-30-92,0.13,-5.909,PA-0023
89,minyung,19-04-31-43,0.322,-6.53,PA-0023
90,minyung,19-04-31-93,0.322,-6.53,PA-0023
91,minyung,19-04-32-45,0.322,-6.53,none
92,minyung,19-04-32-97,0.322,-6.53,PA-0023
93,minyung,19-04-33-47,0.322,-6.53,PA-0023
94,minyung,19-04-33-98,-0.029,-7.104,PA-0023
95,minyung,19-04-34-48,0.172,-8.185,PA-0023
96,minyung,19-04-35-00,0.172,-8.185,none
97,minyung,19-04-35-50,0.172,-8.185,PA-0023
98,minyung,19-04-36-01,0.172,-8.185,PA-0023
99,minyung,19-04-36-53,0.221,-8.379,PA-0023
100,minyung,19-04-37-03,0.381,-9.009,PA-0023
101,minyung,19-04-37-55,0.381,-9.009,PA-0023
102,minyung,19-04-38-05,0.381,-9.009,PA-0023
103,minyung,19-04-38-56,0.381,-9.009,PA-0023
104,minyung,19-04-39-06,0.381,-9.009,PA-0023
105,minyung,19-04-39-58,0.381,-9.009,PA-0023
106,minyung,19-04-40-08,0.381,-9.009,PA-0023
107,minyung,19-04-40-58,0.181,-8.444,PA-0023
108,minyung,19-04-41-10,-0.253,-7.218,PA-0023
109,minyung,19-04-41-61,-0.253,-7.218,PA-0023
110,minyung,19-04-42-11,-0.253,-7.218,none
111,minyung,19-04-42-63,-0.253,-7.218,PA-0023
112,minyung,19-04-43-13,-0.253,-7.218,PA-0023
113,minyung,19-04-43-65,-0.253,-7.218,PA-0023
114,minyung,19-04-44-16,-0.253,-7.218,PA-0023
115,minyung,19-04-44-66,-0.253,-7.218,PA-0023
116,minyung,19-04-45-18,-0.253,-7.218,PA-0023
117,minyung,19-04-45-68,-0.253,-7.218,PA-0023
118,minyung,19-04-46-18,-0.253,-7.218,PA-0023
119,minyung,19-04-46-70,-0.253,-7.218,PA-0023
120,minyung,19-04-47-20,-0.253,-7.218,PA-0023
121,minyung,19-04-47-70,-0.253,-7.218,PA-0023
122,minyung,19-04-48-20,-0.253,-7.218,PA-0023
123,minyung,19-04-48-71,-0.253,-7.218,PA-0023
124,minyung,19-04-49-23,-0.253,-7.218,PA-0023
125,minyung,19-04-49-73,-0.253,-7.218,PA-0023
126,minyung,19-04-50-23,-0.253,-7.218,PA-0023
127,minyung,19-04-50-75,-0.253,-7.218,PA-0023
128,minyung,19-04-51-26,-0.253,-7.218,PA-0023
129,minyung,19-04-51-78,-0.253,-7.218,PA-0023
130,minyung,19-04-52-28,-0.253,-7.218,PA-0023
131,minyung,19-04-52-80,-0.253,-7.218,PA-0023
132,minyung,19-04-53-31,-0.253,-7.218,PA-0023
133,minyung,19-04-53-83,-0.253,-7.218,PA-0023
134,minyung,19-04-54-33,-0.253,-7.218,PA-0023
135,minyung,19-04-54-85,-0.253,-7.218,PA-0023
136,minyung,19-04-55-36,-0.253,-7.218,PA-0023
137,minyung,19-04-55-87,-0.253,-7.218,PA-0023
138,minyung,19-04-56-38,-0.253,-7.218,PA-0023
139,minyung,19-04-56-88,-0.253,-7.218,PA-0023
140,minyung,19-04-57-40,-0.253,-7.218,PA-0023
141,minyung,19-04-57-90,-0.253,-7.218,PA-0023
142,minyung,19-04-58-41,-0.253,-7.218,none
143,minyung,19-04-58-91,-0.253,-7.218,none
144,minyung,19-04-59-41,-0.253,-7.218,none
145,minyung,19-04-59-93,-0.253,-7.218,none
146,minyung,19-05-00-45,-0.253,-7.218,none
147,minyung,19-05-00-96,-0.253,-7.218,none
148,minyung,19-05-01-47,-0.253,-7.218,none
149,minyung,19-05-01-98,-0.253,-7.218,none
150,minyung,19-05-02-50,-0.253,-7.218,none
151,minyung,19-05-03-01,-0.253,-7.218,none
152,minyung,19-05-03-51,-0.253,-7.218,none
153,minyung,19-05-04-03,-0.253,-7.218,PA-0023
154,minyung,19-05-04-55,-0.253,-7.218,PA-0023
155,minyung,19-05-05-06,-0.253,-7.218,PA-0023
156,minyung,19-05-05-58,-0.253,-7.218,PA-0023
157,minyung,19-05-06-10,-0.253,-7.218,PA-0023
158,minyung,19-05-06-61,-0.253,-7.218,PA-0023
159,minyung,19-05-07-13,-0.253,-7.218,PA-0023
160,minyung,19-05-07-65,-0.253,-7.218,PA-0023
161,minyung,19-05-08-15,-0.253,-7.218,PA-0023
162,minyung,19-05-08-66,-0.253,-7.218,PA-0023
163,minyung,19-05-09-18,-0.253,-7.218,PA-0023
164,minyung,19-05-09-70,-0.253,-7.218,PA-0023
165,minyung,19-05-10-20,-0.253,-7.218,none
166,minyung,19-05-10-71,-0.253,-7.218,PA-0023
167,minyung,19-05-11-23,-0.253,-7.218,PA-0023
168,minyung,19-05-11-73,-0.253,-7.218,none
169,minyung,19-05-12-23,-0.253,-7.218,PA-0023
170,minyung,19-05-12-75,-0.253,-7.218,PA-0023
171,minyung,19-05-13-27,-0.253,-7.218,PA-0023
172,minyung,19-05-13-78,-0.253,-7.218,PA-0023
173,minyung,19-05-14-30,-0.253,-7.218,PA-0023
174,minyung,19-05-14-80,-0.253,-7.218,PA-0023
175,minyung,19-05-15-30,-0.253,-7.218,PA-0023
176,minyung,19-05-15-81,-0.253,-7.218,PA-0023
177,minyung,19-05-16-31,-0.253,-7.218,PA-0023
178,minyung,19-05-16-81,-0.253,-7.218,PA-0023
179,minyung,19-05-17-33,-0.253,-7.218,PA-0023
180,minyung,19-05-17-85,-0.332,-7.091,PA-0023
181,minyung,19-05-18-35,-0.14,-6.736,PA-0023
182,minyung,19-05-18-86,0.753,-6.184,none
183,minyung,19-05-19-37,1.731,-5.579,PA-0026
184,minyung,19-05-19-88,2.454,-5.132,PA-0026
185,minyung,19-05-20-38,3.032,-6.067,PA-0026
186,minyung,19-05-20-90,3.868,-6.373,none
187,minyung,19-05-21-41,4.124,-6.215,none
188,minyung,19-05-21-93,3.656,-6.504,PA-0026
189,minyung,19-05-22-43,3.656,-6.504,none
190,minyung,19-05-22-95,3.656,-6.504,none
191,minyung,19-05-23-46,4.254,-6.549,none
192,minyung,19-05-23-98,5.351,-6.63,PA-0026
193,minyung,19-05-24-50,5.651,-6.653,PA-0026
194,minyung,19-05-25-01,5.651,-6.653,PA-0026
195,minyung,19-05-25-53,5.674,-7.005,PA-0026
196,minyung,19-05-26-05,6.422,-7.061,PA-0026
197,minyung,19-05-26-55,5.974,-7.027,PA-0026
198,minyung,19-05-27-06,5.774,-7.013,PA-0026
199,minyung,19-05-27-57,5.774,-7.013,none
200,minyung,19-05-28-07,5.774,-7.013,PA-0026
201,minyung,19-05-28-58,5.774,-7.013,PA-0026
202,minyung,19-05-29-10,5.774,-7.013,PA-0026
203,minyung,19-05-29-60,5.774,-7.013,PA-0026
204,minyung,19-05-30-10,5.774,-7.013,PA-0026
205,minyung,19-05-30-61,5.774,-7.013,PA-0026
206,minyung,19-05-31-13,5.774,-7.013,PA-0026
207,minyung,19-05-31-63,5.774,-7.013,PA-0026
208,minyung,19-05-32-15,5.774,-7.013,PA-0026
209,minyung,19-05-32-65,5.774,-7.013,PA-0026
210,minyung,19-05-33-16,5.774,-7.013,PA-0026
211,minyung,19-05-33-68,5.774,-7.013,PA-0026
212,minyung,19-05-34-18,5.774,-7.013,none
213,minyung,19-05-34-68,5.774,-7.013,none
214,minyung,19-05-35-20,5.774,-7.013,none
215,minyung,19-05-35-70,5.774,-7.013,none
216,minyung,19-05-36-21,5.774,-7.013,none
217,minyung,19-05-36-73,5.774,-7.013,PA-0095
218,minyung,19-05-37-25,5.774,-7.013,KO-0005
219,minyung,19-05-37-75,5.774,-7.013,none
