row,id,time,position_x,position_z,looking_at
1,pilsungwang,12-43-16-11,0,0,PA-0027
2,pilsungwang,12-43-17-43,0,0,PA-0027
3,pilsungwang,12-43-17-94,0,0,PA-0027
4,pilsungwang,12-43-18-48,0,0,PA-0027
5,pilsungwang,12-43-18-98,0,0,PA-0027
6,pilsungwang,12-43-19-51,0,0,PA-0027
7,pilsungwang,12-43-20-01,0,0,PA-0027
8,pilsungwang,12-43-20-54,0,0,PA-0027
9,pilsungwang,12-43-21-17,0,0,PA-0027
10,pilsungwang,12-43-21-68,0,0,PA-0027
11,pilsungwang,12-43-22-23,0,0,PA-0027
12,pilsungwang,12-43-22-78,0,0,PA-0027
13,pilsungwang,12-43-23-33,0,0,PA-0027
14,pilsungwang,12-43-23-88,0,0,PA-0027
15,pilsungwang,12-43-24-43,0,0,PA-0027
16,pilsungwang,12-43-24-98,0,0,PA-0027
17,pilsungwang,12-43-25-53,0,0,PA-0027
18,pilsungwang,12-43-26-08,0,0,PA-0027
19,pilsungwang,12-43-26-63,0,0,PA-0027
20,pilsungwang,12-43-27-18,0,0,PA-0027
21,pilsungwang,12-43-27-73,0,0,PA-0027
22,pilsungwang,12-43-28-28,0,0,PA-0027
23,pilsungwang,12-43-28-83,0,0,PA-0027
24,pilsungwang,12-43-29-38,0,0,PA-0027
25,pilsungwang,12-43-29-93,0,0,PA-0027
26,pilsungwang,12-43-30-48,0,0,PA-0027
27,pilsungwang,12-43-31-03,0,0,PA-0027
28,pilsungwang,12-43-31-58,0,0,PA-0027
29,pilsungwang,12-43-32-13,0,0,PA-0027
30,pilsungwang,12-43-32-68,0,0,PA-0027
31,pilsungwang,12-43-33-23,0,0,PA-0027
32,pilsungwang,12-43-33-78,0,0,PA-0027
33,pilsungwang,12-43-34-33,0,0,PA-0027
34,pilsungwang,12-43-34-88,0,0,PA-0027
35,pilsungwang,12-43-35-44,0,0,PA-0027
36,pilsungwang,12-43-35-99,0,0,PA-0027
37,pilsungwang,12-43-36-55,0,0,PA-0027
38,pilsungwang,12-43-37-10,0,0,PA-0027
39,pilsungwang,12-43-37-65,0,0,PA-0027
40,pilsungwang,12-43-38-21,0.5,0,PA-0027
41,pilsungwang,12-43-38-76,1.85,0,PA-0025
42,pilsungwang,12-43-39-31,3.281,0.034,PA-0025
43,pilsungwang,12-43-39-90,3.531,0.034,PA-0025
44,pilsungwang,12-43-40-46,4.781,0.034,PA-0024
45,pilsungwang,12-43-41-03,4.231,0.034,PA-0090
46,pilsungwang,12-43-41-61,4.231,0.034,PA-0090
47,pilsungwang,12-43-42-18,3.981,0.034,PA-0090
48,pilsungwang,12-43-42-75,4.231,0.034,PA-0090
49,pilsungwang,12-43-43-33,4.231,-0.266,PA-0090
50,pilsungwang,12-43-43-89,4.231,-1.466,PA-0090
51,pilsungwang,12-43-44-45,4.231,-1.466,PA-0090
52,pilsungwang,12-43-45-01,4.231,0.083,PA-0090
53,pilsungwang,12-43-45-60,4.231,0.184,PA-0090
54,pilsungwang,12-43-46-16,4.231,0.184,PA-0090
55,pilsungwang,12-43-46-75,4.231,0.184,PA-0090
56,pilsungwang,12-43-47-31,4.231,0.184,PA-0090
57,pilsungwang,12-43-47-90,4.231,0.184,PA-0090
58,pilsungwang,12-43-48-46,4.231,0.184,PA-0090
59,pilsungwang,12-43-49-05,4.231,0.184,PA-0090
60,pilsungwang,12-43-49-61,4.231,0.184,PA-0090
61,pilsungwang,12-43-50-20,4.231,0.184,PA-0090
62,pilsungwang,12-43-50-76,4.231,0.184,PA-0090
63,pilsungwang,12-43-51-35,4.231,0.184,PA-0090
64,pilsungwang,12-43-51-91,4.231,0.184,PA-0090
65,pilsungwang,12-43-52-50,4.231,0.184,PA-0090
66,pilsungwang,12-43-53-06,4.231,0.184,PA-0090
67,pilsungwang,12-43-53-65,4.231,0.184,PA-0090
68,pilsungwang,12-43-54-21,4.231,0.184,PA-0090
69,pilsungwang,12-43-54-80,4.231,0.184,PA-0090
70,pilsungwang,12-43-55-36,4.231,0.184,PA-0090
71,pilsungwang,12-43-55-95,4.231,0.184,PA-0090
72,pilsungwang,12-43-56-53,4.231,0.184,PA-0090
73,pilsungwang,12-43-57-10,4.231,0.184,PA-0090
74,pilsungwang,12-43-57-68,4.231,0.184,PA-0090
