row,id,time,position_x,position_z,looking_at
1,전성,12-44-24-24,0,0,PA-0027
2,전성,12-44-33-10,0,0,PA-0027
3,전성,12-44-33-64,0,0,PA-0027
4,전성,12-44-34-17,0,0,PA-0027
5,전성,12-44-34-69,0,0,PA-0027
6,전성,12-44-35-20,0,0,PA-0027
7,전성,12-44-35-72,0,0,PA-0027
8,전성,12-44-36-24,0,0,PA-0027
9,전성,12-44-36-75,0,0,PA-0027
10,전성,12-44-37-29,0,0,PA-0027
11,전성,12-44-37-80,0,0,PA-0027
12,전성,12-44-38-32,0,0,PA-0027
13,전성,12-44-38-85,0,0,PA-0027
14,전성,12-44-39-37,0,-1.1,none
15,전성,12-44-39-89,0,-1.7,none
16,전성,12-44-40-39,0,-1.7,none
17,전성,12-44-40-90,0,-2.45,none
18,전성,12-44-41-42,0,-2.899,none
19,전성,12-44-41-97,0,-3.35,none
20,전성,12-44-42-49,0,-3.35,none
21,전성,12-44-43-00,0,-3.35,none
22,전성,12-44-43-56,0,-3.35,none
23,전성,12-44-44-07,0,-3.35,none
24,전성,12-44-44-59,0,-3.35,none
25,전성,12-44-45-10,0,-3.35,none
26,전성,12-44-45-62,0,-3.35,none
27,전성,12-44-46-14,0,-3.35,none
28,전성,12-44-46-71,0,-3.35,KO-0007
29,전성,12-44-47-26,0,-3.35,none
30,전성,12-44-47-77,0,-3.35,PA-0098
31,전성,12-44-48-30,0,-3.35,none
32,전성,12-44-48-86,0,-3.35,PA-0098
33,전성,12-44-49-36,0,-3.35,PA-0026
34,전성,12-44-49-89,0,-3.35,PA-0026
35,전성,12-44-50-44,0.747,-4.289,PA-0026
36,전성,12-44-50-96,0.8,-5.078,PA-0026
37,전성,12-44-51-46,0.095,-5.638,none
38,전성,12-44-51-97,0.095,-5.638,none
39,전성,12-44-52-52,1.035,-4.891,PA-0026
40,전성,12-44-53-07,1.504,-4.518,PA-0026
41,전성,12-44-53-59,1.504,-4.518,none
42,전성,12-44-54-10,1.504,-4.518,none
43,전성,12-44-54-65,1.504,-4.518,PA-0023
44,전성,12-44-55-17,1.504,-4.518,PA-0023
45,전성,12-44-55-72,1.504,-4.518,PA-0023
46,전성,12-44-56-24,2.106,-4.49,PA-0023
47,전성,12-44-56-74,2.133,-5.09,PA-0023
48,전성,12-44-57-26,2.204,-6.638,PA-0023
49,전성,12-44-57-79,2.278,-8.249,PA-0023
50,전성,12-44-58-31,1.092,-8.303,PA-0023
51,전성,12-44-58-84,1.078,-8.004,none
52,전성,12-44-59-39,1.062,-7.654,none
53,전성,12-44-59-92,1.024,-6.809,none
54,전성,12-45-00-44,2.073,-6.761,PA-0023
55,전성,12-45-00-97,2.119,-7.76,PA-0023
56,전성,12-45-01-52,1.82,-7.774,PA-0023
57,전성,12-45-02-07,1.469,-7.79,PA-0023
58,전성,12-45-02-60,1.469,-7.79,PA-0023
59,전성,12-45-03-16,2.318,-7.751,PA-0023
60,전성,12-45-03-67,2.341,-8.251,PA-0023
61,전성,12-45-04-20,2.04,-8.765,PA-0023
62,전성,12-45-04-72,1.341,-8.797,PA-0023
63,전성,12-45-05-29,1.341,-8.797,PA-0023
64,전성,12-45-05-84,1.304,-7.998,PA-0023
65,전성,12-45-06-39,1.295,-7.799,PA-0023
66,전성,12-45-06-90,1.238,-6.551,PA-0023
67,전성,12-45-07-41,1.238,-6.551,PA-0023
68,전성,12-45-07-92,0.439,-6.588,PA-0023
69,전성,12-45-08-42,0.889,-6.567,PA-0023
70,전성,12-45-08-94,0.91,-7.02,PA-0023
71,전성,12-45-09-46,0.98,-8.565,PA-0023
72,전성,12-45-09-96,0.98,-8.565,PA-0023
73,전성,12-45-10-49,0.98,-8.565,PA-0023
74,전성,12-45-11-04,0.98,-8.565,PA-0023
75,전성,12-45-11-59,0.98,-8.565,PA-0023
76,전성,12-45-12-10,0.98,-8.565,PA-0023
77,전성,12-45-12-62,0.98,-8.565,none
78,전성,12-45-13-16,0.98,-8.565,none
79,전성,12-45-13-69,0.98,-8.565,none
80,전성,12-45-14-22,0.98,-8.565,none
81,전성,12-45-14-76,0.98,-8.565,PA-0023
82,전성,12-45-15-29,0.98,-8.565,PA-0023
83,전성,12-45-15-82,0.98,-8.565,PA-0023
84,전성,12-45-16-32,0.98,-8.565,PA-0023
85,전성,12-45-16-89,0.98,-8.565,PA-0023
86,전성,12-45-17-44,0.775,-7.897,PA-0023
87,전성,12-45-17-97,0.308,-7.57,PA-0023
88,전성,12-45-18-49,-0.457,-7.806,none
89,전성,12-45-19-04,-0.722,-6.946,none
90,전성,12-45-19-54,-0.722,-6.946,none
91,전성,12-45-20-07,-0.722,-6.946,none
92,전성,12-45-20-61,-0.722,-6.946,none
93,전성,12-45-21-11,-0.722,-6.946,none
94,전성,12-45-21-66,-0.722,-6.946,none
95,전성,12-45-22-16,-0.722,-6.946,none
96,전성,12-45-22-69,-0.722,-6.946,none
97,전성,12-45-23-26,-0.722,-6.946,none
98,전성,12-45-23-80,-0.638,-7.234,none
99,전성,12-45-24-36,-0.18,-8.819,none
100,전성,12-45-24-89,-0.18,-8.819,none
101,전성,12-45-25-40,-0.18,-8.819,none
102,전성,12-45-25-92,-0.18,-8.819,none
103,전성,12-45-26-44,-0.42,-8.108,none
104,전성,12-45-26-95,-0.579,-7.634,none
105,전성,12-45-27-46,-0.579,-7.634,none
106,전성,12-45-28-01,-0.579,-7.634,none
107,전성,12-45-28-52,-0.404,-8.2,none
108,전성,12-45-29-04,-0.404,-8.2,none
109,전성,12-45-29-59,-0.404,-8.2,none
110,전성,12-45-30-10,-0.404,-8.2,none
111,전성,12-45-30-62,-0.404,-8.2,none
112,전성,12-45-31-14,-0.404,-8.2,none
113,전성,12-45-31-71,-0.404,-8.2,none
114,전성,12-45-32-26,-0.404,-8.2,none
115,전성,12-45-32-76,-0.404,-8.2,none
116,전성,12-45-33-30,-0.404,-8.2,none
117,전성,12-45-33-84,-0.404,-8.2,none
118,전성,12-45-34-34,-0.266,-8.632,none
119,전성,12-45-34-89,0.053,-9.629,none
120,전성,12-45-35-39,-0.023,-9.39,none
