row,id,time,position_x,position_z,looking_at
1,sso,12-44-04-98,0,0,PA-0027
2,sso,12-44-05-50,0,0,PA-0027
3,sso,12-44-06-01,0,0,PA-0027
4,sso,12-44-06-52,0,0,PA-0027
5,sso,12-44-07-02,0,-0.964,none
6,sso,12-44-07-53,0,-1.382,none
7,sso,12-44-08-03,0,-0.8,none
8,sso,12-44-08-53,-0.6,-0.545,none
9,sso,12-44-09-04,-0.255,-0.545,PA-0027
10,sso,12-44-09-54,0.29,-0.545,PA-0027
11,sso,12-44-10-04,0.29,-0.545,PA-0027
12,sso,12-44-10-55,0.29,-0.545,PA-0027
13,sso,12-44-11-06,0.29,-0.545,PA-0027
14,sso,12-44-11-56,0.29,-0.545,PA-0027
15,sso,12-44-12-06,0.29,-0.545,PA-0027
16,sso,12-44-12-56,0.29,-0.545,PA-0027
17,sso,12-44-13-07,0.29,-0.545,PA-0027
18,sso,12-44-13-58,0.29,-0.545,PA-0027
19,sso,12-44-14-09,0.29,-0.545,PA-0027
20,sso,12-44-14-60,0.29,-0.545,PA-0027
21,sso,12-44-15-11,-0.073,-0.545,none
22,sso,12-44-15-61,-0.746,-0.545,none
23,sso,12-44-16-12,-1.544,-0.545,none
24,sso,12-44-16-62,-0.871,-0.545,none
25,sso,12-44-17-13,-0.326,-0.545,none
26,sso,12-44-17-64,0.129,-0.545,PA-0027
27,sso,12-44-18-14,0.129,-1.327,PA-0027
28,sso,12-44-18-64,0.129,-2.217,PA-0027
29,sso,12-44-19-16,0.129,-3.053,PA-0027
30,sso,12-44-19-66,0.129,-4.034,PA-0027
31,sso,12-44-20-17,0.129,-5.561,PA-0027
32,sso,12-44-20-67,0.129,-7.07,PA-0027
33,sso,12-44-21-18,0.129,-7.525,PA-0027
34,sso,12-44-21-68,0.129,-8.089,PA-0027
35,sso,12-44-22-18,0.129,-9.598,PA-0027
36,sso,12-44-22-68,0.129,-9.834,PA-0027
37,sso,12-44-23-19,0.129,-9.834,PA-0027
38,sso,12-44-23-70,0.132,-10.451,PA-0027
39,sso,12-44-24-21,0.66,-10.394,PA-0027
40,sso,12-44-24-72,2.042,-10.394,PA-0025
41,sso,12-44-25-22,2.66,-10.394,PA-0025
42,sso,12-44-25-72,2.733,-9.922,PA-0025
43,sso,12-44-26-23,3.34,-9.169,PA-0025
44,sso,12-44-26-73,3.43,-7.679,PA-0025
45,sso,12-44-27-24,3.43,-6.151,PA-0025
46,sso,12-44-27-75,4.067,-5.806,PA-0090
47,sso,12-44-28-25,4.067,-5.351,PA-0090
48,sso,12-44-28-76,4.067,-3.824,PA-0090
49,sso,12-44-29-26,4.067,-3.006,PA-0090
50,sso,12-44-29-76,3.249,-2.697,PA-0025
51,sso,12-44-30-27,2.83,-2.697,PA-0025
52,sso,12-44-30-78,2.83,-2.697,PA-0025
53,sso,12-44-31-29,2.83,-2.697,PA-0025
54,sso,12-44-31-80,2.83,-2.697,PA-0025
55,sso,12-44-32-30,2.83,-2.697,PA-0025
56,sso,12-44-32-81,2.176,-2.697,PA-0025
57,sso,12-44-33-31,2.176,-2.134,PA-0025
58,sso,12-44-33-81,2.776,-1.77,PA-0025
59,sso,12-44-34-32,2.776,-1.625,PA-0025
60,sso,12-44-34-83,2.776,-1.225,PA-0025
61,sso,12-44-35-34,2.776,-1.806,PA-0025
62,sso,12-44-35-84,2.776,-1.806,PA-0025
63,sso,12-44-36-35,2.776,-1.806,PA-0025
64,sso,12-44-36-86,2.776,-1.806,PA-0025
65,sso,12-44-37-37,2.776,-1.806,PA-0025
66,sso,12-44-37-88,2.776,-1.806,PA-0025
67,sso,12-44-38-39,2.776,-1.806,PA-0025
68,sso,12-44-38-90,2.958,-1.806,PA-0025
69,sso,12-44-39-40,3.885,-1.806,PA-0090
70,sso,12-44-39-90,4.249,-1.806,PA-0090
71,sso,12-44-40-41,4.249,-1.806,PA-0090
72,sso,12-44-40-92,4.249,-1.806,PA-0090
73,sso,12-44-41-42,4.249,-1.806,PA-0090
74,sso,12-44-41-92,4.249,-1.697,PA-0090
75,sso,12-44-42-43,4.249,-0.17,PA-0090
76,sso,12-44-42-93,4.249,0.939,PA-0090
77,sso,12-44-43-44,4.249,1.339,PA-0090
78,sso,12-44-43-95,4.249,1.339,PA-0090
79,sso,12-44-44-45,4.249,1.339,PA-0090
80,sso,12-44-44-96,4.249,1.339,PA-0090
81,sso,12-44-45-47,4.249,1.866,PA-0090
82,sso,12-44-45-98,4.249,1.393,PA-0090
83,sso,12-44-46-49,4.249,1.393,PA-0090
84,sso,12-44-46-99,4.249,1.393,PA-0090
85,sso,12-44-47-49,4.249,1.393,PA-0090
86,sso,12-44-48-00,4.249,0.884,PA-0090
87,sso,12-44-48-50,4.249,0.884,PA-0090
88,sso,12-44-49-01,4.249,1.321,PA-0090
89,sso,12-44-49-52,4.249,1.321,PA-0090
90,sso,12-44-50-02,4.249,0.575,PA-0090
91,sso,12-44-50-53,4.249,0.575,PA-0090
92,sso,12-44-51-03,4.249,0.575,PA-0090
93,sso,12-44-51-54,4.249,0.575,PA-0090
94,sso,12-44-52-05,4.249,0.575,none
95,sso,12-44-52-55,4.249,0.575,none
96,sso,12-44-53-06,4.249,0.575,PA-0090
97,sso,12-44-53-56,4.249,0.575,none
98,sso,12-44-54-07,4.249,0.575,none
99,sso,12-44-54-58,4.249,0.575,none
100,sso,12-44-55-08,4.249,0.575,none
101,sso,12-44-55-58,4.249,0.575,none
102,sso,12-44-56-08,4.249,0.575,none
103,sso,12-44-56-59,4.275,-0.188,PA-0089
104,sso,12-44-57-09,4.275,-0.188,PA-0089
105,sso,12-44-57-59,3.894,-0.201,PA-0089
106,sso,12-44-58-10,3.219,-0.68,PA-0089
107,sso,12-44-58-61,3.221,-0.734,PA-0089
108,sso,12-44-59-12,2.803,-0.749,PA-0089
109,sso,12-44-59-62,2.948,-0.744,PA-0089
110,sso,12-45-00-12,4.184,-0.703,none
111,sso,12-45-00-62,4.184,-0.703,PA-0090
112,sso,12-45-01-13,4.184,-0.703,PA-0031
113,sso,12-45-01-64,4.184,-0.703,none
114,sso,12-45-02-15,4.184,-0.703,PA-0089
115,sso,12-45-02-65,4.184,-0.703,PA-0089
116,sso,12-45-03-16,4.183,-0.612,PA-0089
117,sso,12-45-03-67,4.214,-0.23,PA-0089
118,sso,12-45-04-18,4.669,-0.224,PA-0089
