row,id,time,position_x,position_z,looking_at
1,sun,12-43-22-10,0,0,PA-0027
2,sun,12-43-22-94,0,0,PA-0027
3,sun,12-43-23-44,0,0,PA-0027
4,sun,12-43-23-94,0,0,PA-0027
5,sun,12-43-24-44,0,0,PA-0027
6,sun,12-43-24-95,0,0,PA-0027
7,sun,12-43-25-45,0,0,PA-0027
8,sun,12-43-25-95,0,0,PA-0027
9,sun,12-43-26-45,0,0,PA-0027
10,sun,12-43-26-96,0,0,PA-0027
11,sun,12-43-27-46,0,0,PA-0027
12,sun,12-43-27-97,0,0,PA-0027
13,sun,12-43-28-47,0,0,PA-0027
14,sun,12-43-28-99,0,0,PA-0027
15,sun,12-43-29-49,0,0,PA-0027
16,sun,12-43-29-99,0,0,PA-0027
17,sun,12-43-30-49,0,0,PA-0027
18,sun,12-43-31-01,0,-0.751,none
19,sun,12-43-31-51,0,-1.051,none
20,sun,12-43-32-03,0,-1.051,none
21,sun,12-43-32-53,0,-1.051,none
22,sun,12-43-33-04,0,-1.051,none
23,sun,12-43-33-54,0,-1.051,none
24,sun,12-43-34-04,0,-1.051,none
25,sun,12-43-34-55,0,-1.051,none
26,sun,12-43-35-06,-0.352,-1.311,none
27,sun,12-43-35-56,-0.352,-1.311,none
28,sun,12-43-36-06,-0.324,-1.61,none
29,sun,12-43-36-56,-0.258,-2.055,none
30,sun,12-43-37-08,-0.258,-2.055,none
31,sun,12-43-37-58,-0.258,-2.055,none
32,sun,12-43-38-10,-0.192,-3.003,none
33,sun,12-43-38-60,-0.174,-3.253,none
34,sun,12-43-39-10,-0.174,-3.253,none
35,sun,12-43-39-60,-0.174,-3.253,none
36,sun,12-43-40-10,-0.178,-4.054,none
37,sun,12-43-40-60,0.067,-5.06,none
38,sun,12-43-41-10,0.067,-5.06,PA-0089
39,sun,12-43-41-62,0.067,-5.06,none
40,sun,12-43-42-12,0.067,-5.06,none
41,sun,12-43-42-62,0.067,-5.06,none
42,sun,12-43-43-12,0.289,-6.422,PA-0023
43,sun,12-43-43-62,0.588,-7.055,PA-0023
44,sun,12-43-44-12,0.934,-7.777,PA-0023
45,sun,12-43-44-64,0.934,-7.777,PA-0023
46,sun,12-43-45-14,0.934,-7.777,none
47,sun,12-43-45-64,0.934,-7.777,none
48,sun,12-43-46-14,0.934,-7.777,none
49,sun,12-43-46-64,0.934,-7.777,none
50,sun,12-43-47-14,0.934,-7.777,none
51,sun,12-43-47-64,0.934,-7.777,none
52,sun,12-43-48-14,0.934,-7.777,none
53,sun,12-43-48-64,0.934,-7.777,none
54,sun,12-43-49-14,0.934,-7.777,PA-0023
55,sun,12-43-49-66,0.934,-7.777,PA-0023
56,sun,12-43-50-16,0.934,-7.777,PA-0023
57,sun,12-43-50-66,0.934,-7.777,PA-0023
58,sun,12-43-51-18,1.284,-7.756,PA-0023
59,sun,12-43-51-69,1.634,-7.751,PA-0023
60,sun,12-43-52-19,1.834,-7.749,PA-0023
61,sun,12-43-52-69,1.834,-7.749,PA-0023
62,sun,12-43-53-19,1.834,-7.749,PA-0023
63,sun,12-43-53-69,1.834,-7.749,PA-0023
64,sun,12-43-54-19,1.834,-7.749,PA-0023
65,sun,12-43-54-71,1.834,-7.749,PA-0023
66,sun,12-43-55-21,1.834,-7.749,PA-0023
67,sun,12-43-55-73,1.834,-7.749,PA-0023
68,sun,12-43-56-23,1.834,-7.749,PA-0023
69,sun,12-43-56-73,1.834,-7.749,PA-0023
70,sun,12-43-57-23,1.834,-7.749,none
71,sun,12-43-57-75,1.834,-7.749,none
72,sun,12-43-58-25,1.834,-7.749,none
73,sun,12-43-58-75,1.834,-7.749,none
74,sun,12-43-59-25,2.175,-7.044,none
75,sun,12-43-59-75,2.55,-5.677,none
76,sun,12-44-00-25,2.967,-4.272,none
77,sun,12-44-00-75,3.256,-3.17,none
78,sun,12-44-01-27,3.256,-3.17,none
79,sun,12-44-01-77,4.084,-2.726,PA-0089
80,sun,12-44-02-27,4.496,-2.099,PA-0089
81,sun,12-44-02-77,4.061,-1.607,none
82,sun,12-44-03-28,4.218,-1.149,PA-0089
83,sun,12-44-03-80,4.218,-1.149,PA-0089
84,sun,12-44-04-30,4.304,-0.706,PA-0089
85,sun,12-44-04-80,4.304,-0.706,PA-0089
86,sun,12-44-05-30,4.36,-0.26,PA-0089
87,sun,12-44-05-82,4.36,-0.26,PA-0089
88,sun,12-44-06-32,4.36,-0.26,PA-0089
89,sun,12-44-06-84,4.412,-0.757,PA-0089
